ShortName,PlusMinus,Minutes
"Karl-Anthony Towns, OG Anunoby, Josh Hart, Mikal Bridges, Jalen Brunson",3.0790548530959683,940
"Anthony Edwards, Jaden McDaniels, Mike Conley, Rudy Gobert, Julius Randle",2.6137147366106888,714
"Cade Cunningham, Jalen Duren, Ausar Thompson, Tobias Harris, Tim Hardaway Jr.",5.601475729546365,491
"Fred VanVleet, Dillon Brooks, Jalen Green, Alperen Sengun, Jabari Smith Jr.",4.01010101010101,450
"Myles Turner, Pascal Siakam, Andrew Nembhard, Tyrese Haliburton, Bennedict Mathurin",12.03506827228297,435
"Domantas Sabonis, De'Aaron Fox, Malik Monk, Keegan Murray, DeMar DeRozan",0.3061009843105182,431
"Jamal Murray, Michael Porter Jr., Christian Braun, Aaron Gordon, Nikola Jokić",11.655764936306907,426
"Myles Turner, Pascal Siakam, Andrew Nembhard, Tyrese Haliburton, Aaron Nesmith",8.859210663334366,383
"Jamal Murray, Michael Porter Jr., Christian Braun, Russell Westbrook, Nikola Jokić",1.8254274990767243,368
"Jaylen Brown, Jayson Tatum, Derrick White, Jrue Holiday, Kristaps Porziņģis",0.196385796815548,357
"Norman Powell, Kris Dunn, Ivica Zubac, Derrick Jones Jr., James Harden",10.723793603622724,326
"Fred VanVleet, Dillon Brooks, Jalen Green, Alperen Sengun, Amen Thompson",-10.995164654954124,323
"Isaiah Hartenstein, Shai Gilgeous-Alexander, Luguentz Dort, Jalen Williams, Cason Wallace",15.763993948562783,316
"Taurean Prince, Andre Jackson Jr., Brook Lopez, Damian Lillard, Giannis Antetokounmpo",-1.5452527767798614,311
"Norman Powell, Kris Dunn, Ivica Zubac, James Harden, Kawhi Leonard",9.413382438783684,286
"Trae Young, Jalen Johnson, Dyson Daniels, Zaccharie Risacher, Clint Capela",0.0248206638845687,282
"Jaylen Brown, Jayson Tatum, Derrick White, Al Horford, Jrue Holiday",16.97230934370964,268
"Cade Cunningham, Jaden Ivey, Jalen Duren, Tobias Harris, Tim Hardaway Jr.",-2.416863258088199,261
"Anfernee Simons, Deandre Ayton, Deni Avdija, Toumani Camara, Jerami Grant",-13.865174223739956,251
