Name,TeamAbbreviation,Turnovers,LiveBallTurnovers,Fouls,Charge Fouls,FoulsDrawn,OnDefRtg,Blocks,Steals,Points,FG2A,Fg2Pct,FG3A,NonHeaveFg3Pct,FtPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsUnassisted3s,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,FG3APct,ShotQualityAvg,EfgPct,TsPct,PtsPutbacks,Usage,Rebounds,DefRebounds,DefTwoPtRebounds,DefTwoPtReboundPct,DefThreePtRebounds,DefThreePtReboundPct,OffRebounds,OffTwoPtRebounds,OffTwoPtReboundPct,OffThreePtRebounds,OffThreePtReboundPct,OffFGReboundPct,DefAtRimReboundPct,OffAtRimReboundPct,Assists,AssistPoints,TwoPtAssists,ThreePtAssists,FTA,TwoPtShootingFoulsDrawn,2pt And 1 Free Throw Trips,ThreePtShootingFoulsDrawn,3pt And 1 Free Throw Trips,NonShootingFoulsDrawn,ShootingFoulsDrawnPct,AtRimFG3AFrequency,Avg2ptShotDistance,Avg3ptShotDistance,AtRimFGA,AtRimFrequency,AtRimAccuracy,AtRimPctAssisted,ShortMidRangeFGA,ShortMidRangeFrequency,ShortMidRangeAccuracy,LongMidRangeFGA,LongMidRangeFrequency,LongMidRangeAccuracy,LongMidRangePctAssisted,LongMidRangePctBlocked,Corner3FGA,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3FGA,Arc3Accuracy,NonHeaveArc3FGA,NonHeaveArc3Accuracy,Pos
Mikal Bridges,NYK,2.167487684729060,1.2315270935960600,1.0403014416775900,0.0328407224958949,2.134646962233170,114.5472376593660,0.7028440666884600,1.2258908139915000,23.711001642036100,11.822660098522200,0.5944444444444440,7.602627257799670,0.3636363636363640,1.5763546798029600,9.589490968801310,4.466338259441710,7.733990147783250,0.3448275862068970,0.6822429906542060,0.7209876543209880,0.9573170731707320,0.3913778529163140,0.5381367532467530,0.569737954353339,0.5851581508515820,0.7553366174055830,19.71403812824960,2.121559633027520,3.072899640405360,1.1278195488721800,0.0474552957359009,1.8960444589735200,0.0849816849816849,1.1658456486042700,0.5090311986863710,0.020694259012016,0.6568144499178980,0.0319233838786911,0.0258087968011632,0.0488656195462478,0.028169014084507,5.024630541871920,12.233169129720900,2.840722495894910,2.183908045977010,1.9376026272578,0.8374384236453200,0.2298850574712640,0.0328407224958949,0.0,0.180623973727422,0.0433715220949263,0.5942519019442100,7.916805555555560,25.282251082251100,3.940886699507390,0.2028740490278950,0.7583333333333330,0.7747252747252750,5.862068965517240,0.301775147928994,0.5154061624649860,2.019704433497540,0.1039729501267960,0.5040650406504070,0.6290322580645160,0.0,3.5632183908046000,0.1834319526627220,0.4285714285714290,0.4285714285714290,0.978494623655914,4.039408866995070,0.2886178861788620,234,0.3034188034188030,SF
Josh Hart,NYK,2.72648835202761,1.7601380500431400,1.730967964174990,0.0,3.1406384814495300,116.0735774454190,0.4641567818463130,2.045728038507820,18.10181190681620,8.921484037963760,0.6170212765957450,4.348576358930110,0.336,2.7437446074201900,6.764452113891290,4.245038826574630,3.7791199309749800,0.5694564279551340,0.6144200626959250,0.6829268292682930,0.8690476190476190,0.3276983094928480,0.5846714097496710,0.5786736020806240,0.6120186697782960,1.104400345125110,15.420844728046200,6.346882535308300,9.902011346054670,5.208870551830840,0.2231222385861560,4.091456077015640,0.180576631259484,2.778257118205350,1.639344262295080,0.0660639777468706,1.104400345125110,0.0536912751677852,0.0604562737642585,0.1965973534971640,0.0812274368231047,7.799827437446070,18.861087144089700,4.53839516824849,3.2614322691975800,3.537532355478860,1.7773943054357200,0.5004314063848150,0.0,0.0,0.2415875754961170,0.1221826809015420,0.7776332899869960,4.494197292069630,25.22301587301590,5.970664365832610,0.4499349804941480,0.708092485549133,0.5959183673469390,2.191544434857640,0.165149544863459,0.4409448818897640,0.7592752372735120,0.0572171651495448,0.4090909090909090,0.6666666666666670,0.0227272727272727,1.1389128559102700,0.0858257477243173,0.303030303030303,0.3076923076923080,0.95,3.209663503019850,0.3440860215053760,184,0.3478260869565220,SG
Anthony Edwards,MIN,4.29088402550405,2.739962088574880,1.2938842404899500,0.1033947957952780,5.876270894364980,113.03972366148500,0.8808290155440420,1.5716753022452500,37.51507840772020,13.803205238669700,0.5006242197253430,13.975529898328500,0.3995006242197250,7.151473375840080,5.307599517490950,8.512838187144580,7.858004480441150,8.685162846803380,0.3840399002493770,0.3938618925831200,0.475,0.5031017369727050,0.5365980612883050,0.5465260545905710,0.5945574491478830,0.3446493193175940,31.355289118227300,3.8816527214698500,6.718480138169260,2.884283246977550,0.1176885130373500,3.661485319516410,0.1612167300380230,1.0511804239186600,0.4997415130105120,0.0229067930489731,0.5169739789763920,0.0212765957446808,0.0220478325859491,0.0903732809430255,0.0296610169491525,6.186455281750820,15.302429777701200,3.2569360675512700,2.929519214199550,8.54730311907634,3.877304842322940,0.9650180940892640,0.1378597277270380,0.0344649319317594,0.551438910908151,0.1303861219921660,0.7245657568238210,7.6604244694132300,25.947472256473500,6.151990349819060,0.2214640198511170,0.6330532212885150,0.4601769911504420,4.687230742719280,0.1687344913151370,0.4191176470588240,2.9639841461313100,0.1066997518610420,0.3546511627906980,0.2950819672131150,0.0116279069767441,1.7232465965879700,0.0620347394540942,0.43,0.4432989690721650,0.7906976744186050,12.252283301740500,0.3895921237693390,701,0.3951497860199710,SG
Devin Booker,PHX,3.886239180356830,2.5613849143260900,1.7526777020447900,0.0883236177353824,7.136548313018900,120.77714691270400,0.2838892831795600,1.1887863733144100,33.969263381028100,15.350644762409500,0.5420023014959720,9.733262674439140,0.3321234119782210,7.631160572337040,7.171877760113060,9.468291821233000,6.94223635400106,2.755696873343930,0.4309978768577500,0.4422657952069720,0.7158469945355190,0.3880281690140850,0.5077161028893590,0.525,0.5869833436150520,0.4239533651298360,29.05469490989570,2.699831813755870,4.063165365507450,1.8807665010645800,0.0797592174567344,2.111426543647980,0.0896759608138658,1.3425189895778100,0.6535947712418300,0.0304276315789473,0.688924218335983,0.0284671532846715,0.0293890177880897,0.069377990430622,0.0528301886792452,9.344638756403460,23.88270623564740,4.151210033562980,5.193428722840490,8.532061473237940,3.1973149620208400,0.724253665430136,0.3709591944886060,0.0883236177353824,0.794912559618442,0.1270648030495550,0.5295774647887320,10.101035673187600,25.93085299455540,3.550609432962370,0.1415492957746480,0.6915422885572140,0.5179856115107910,7.224871930754280,0.2880281690140850,0.4743276283618580,4.57516339869281,0.1823943661971830,0.5328185328185330,0.4855072463768120,0.0308880308880308,1.3248542660307400,0.0528169014084507,0.3466666666666670,0.3466666666666670,0.9615384615384620,8.408408408408410,0.3298319327731090,476,0.3298319327731090,SG
James Harden,LAC,6.013048845000880,4.355492858402400,1.4295799505824200,0.0881678716275789,6.542056074766360,110.8991344285460,0.9715597950892070,2.0844373785550300,31.77570093457940,11.056251102098400,0.4720893141945770,11.779227649444500,0.3523238380809600,8.90495503438547,1.8338917298536400,8.605184270851700,4.602362898959620,7.829307000529010,0.1756756756756760,0.1818181818181820,0.3702127659574470,0.5158301158301160,0.5061250775193800,0.5007722007722010,0.5838794233289650,0.3526714865103160,29.179046129788900,4.024002823861630,7.083554142377670,3.038332450097160,0.1328185328185330,3.02066772655008,0.1309341500765700,0.969846587903368,0.5995415270675370,0.0261337432744043,0.3350379121848000,0.0156895127993393,0.0210987261146496,0.1326781326781330,0.0354609929078014,12.114265561629300,27.68471169105980,8.658084993828250,3.456180567801090,10.192205960148100,3.174043378592840,0.5995415270675370,1.0580144595309500,0.1939693175806740,0.6348086757185680,0.1610738255033560,0.6710424710424710,7.371451355661880,26.599251497006000,3.5443484394286700,0.1552123552123550,0.5870646766169150,0.1610169491525420,6.277552459883620,0.2749034749034750,0.4157303370786520,1.2343502027861000,0.054054054054054,0.4285714285714290,0.1,0.0285714285714285,0.5290072297654730,0.0231660231660231,0.4,0.4137931034482760,0.5833333333333330,11.250220419679100,0.3495297805642630,637,0.3500784929356360,PG
DeMar DeRozan,SAC,1.8593943686913400,1.2218877279971700,1.3329778725673200,0.0354170355941207,5.595891623871080,117.6061362825540,0.5708169818052090,1.1059579022475900,30.28156543297330,18.629360722507500,0.5133079847908750,4.533380556047460,0.336,6.693819727288830,6.941738976447670,12.183460244377500,3.931290950947410,0.5312555339118120,0.362962962962963,0.3712121212121210,0.8809523809523810,0.1957186544342510,0.4627820373250390,0.5091743119266050,0.5676312247644680,0.4250044271294490,24.949003608975400,2.648182706833730,4.423831608990370,1.783803068141280,0.0788022064617809,2.4438102033535500,0.1038665655799850,0.8854258898530190,0.5135470161147510,0.0203508771929824,0.3541703559412080,0.016764459346186,0.0187165775401069,0.0539772727272727,0.027027027027027,6.056313086594650,15.282450858863100,2.886488400920840,3.169824685673810,7.80945634850363,3.754205772976800,0.9562599610412610,0.1593766601735430,0.0354170355941207,0.230210731361785,0.1500339443312970,0.2874617737003060,12.657794676806100,26.385490196078400,2.1250221356472500,0.091743119266055,0.7166666666666670,0.4767441860465120,7.667788206127150,0.3310397553516820,0.5127020785219400,8.836550380733130,0.3814984709480120,0.4649298597194390,0.3922413793103450,0.0200400801603206,1.4875154949530700,0.0642201834862385,0.3571428571428570,0.3571428571428570,1.0,3.0458650610943900,0.313953488372093,166,0.3253012048192770,SF
Trae Young,ATL,6.018989487962020,4.306544591386910,1.230690884399930,0.0339097999321804,7.290606985418790,117.33514615907500,0.203942895989123,1.5465669612508500,31.21397083757210,12.444896575110200,0.4741144414168940,10.885045778229900,0.3433544303797470,8.324855883350290,3.39097999321804,8.409630383180740,3.2553407934893200,7.833163784333670,0.2873563218390800,0.2898550724637680,0.2935779816513760,0.4665697674418600,0.5132298876404490,0.4905523255813950,0.5614197530864200,0.1017293997965410,29.22048997772830,2.003055508402650,3.399048266485380,1.1386811692726000,0.0514592933947772,2.2093813732155,0.1026856240126380,0.6103763987792470,0.339097999321804,0.0146735143066764,0.254323499491353,0.0113550340651021,0.0130402384500745,0.0543689320388349,0.0106382978723404,14.920311970159400,34.4354018311292,10.325534079348900,4.594777890810450,9.511698880976610,2.8314682943370600,0.6103763987792470,0.339097999321804,0.0169548999660902,1.5937605968124800,0.1225425950196590,0.6242732558139540,8.154768392370570,27.67710280373830,3.6792132926415700,0.157703488372093,0.5253456221198160,0.3684210526315790,6.917599186164800,0.2965116279069770,0.4656862745098040,1.848084096303830,0.0792151162790697,0.4036697247706420,0.2272727272727270,0.018348623853211,0.8646998982706000,0.037063953488372,0.4313725490196080,0.44,0.6818181818181820,10.020345879959300,0.3316412859560070,580,0.3362068965517240,PG
Tyler Herro,MIA,3.615117765199930,2.483111192258540,0.7778896311887980,0.0182581705313127,4.1446047106080000,114.45871559633000,0.3119266055045870,1.2660550458715600,33.595033777615500,12.908526565638100,0.5657708628005660,12.232974255979600,0.3757485029940120,5.240094942486760,5.513967500456450,9.092568924593760,10.352382691254300,3.396019718824170,0.3775,0.3871794871794870,0.7529880478087650,0.4865649963689180,0.5200104105571850,0.5639070442992010,0.6055962691538970,0.3651634106262550,27.668241811960200,3.6515054452274200,6.678899082568810,2.7522935779816500,0.1137225170583780,3.63302752293578,0.1552941176470590,0.6390359685959470,0.2738725579696910,0.0120481927710843,0.3469052400949430,0.014809041309431,0.0134493670886075,0.0880361173814898,0.004750593824228,7.741464305276610,19.09804637575320,4.1263465400766800,3.615117765199930,5.970421763739270,2.1179477816322800,0.5112287748767570,0.4564542632828190,0.1278071937191890,0.3286470695636300,0.0944669365721997,0.6499636891793750,7.477086280056580,26.49252615844540,4.108088369545370,0.1633986928104580,0.6577777777777780,0.3851351351351350,7.0293956545554100,0.279593318809005,0.5376623376623380,1.771042541537340,0.0704429920116194,0.4639175257731960,0.4,0.0618556701030927,1.460653642505020,0.0580973129992737,0.45,0.4675324675324680,0.9166666666666670,10.77232061347450,0.3644067796610170,588,0.3656462585034010,SG
OG Anunoby,NYK,1.882266100756600,0.9964938180476100,1.5873015873015900,0.1107215353386230,3.229378114043180,114.2145098763150,1.199926158390250,2.030644268045040,24.43255213138960,10.389370732607500,0.5577264653641210,8.488651042627790,0.3725490196078430,3.3770068278280100,8.304115150396750,3.284738881712490,8.802362059420560,0.6643292120317400,0.7165605095541400,0.7679180887372010,0.9298245614035090,0.4496578690127080,0.5938665169660680,0.5576735092864130,0.589572192513369,0.7750507473703640,19.86690472325920,3.3038021410114400,4.818165035997790,1.7906590363669900,0.0763779527559055,2.6582979508953300,0.1158487530168950,1.7899981546410800,0.9226794611551950,0.037174721189591,0.8488651042627790,0.0404929577464788,0.0386940749697702,0.0632653061224489,0.0520231213872832,3.026388632589040,7.2338069754567300,1.8453589223103900,1.1810297102786500,4.17051116442148,2.140616349880050,0.4797933198007010,0.0184535892231038,0.0,0.1476287137848310,0.1050269299820470,0.8260019550342130,4.523268206039080,24.65645514223200,7.104631850895000,0.3763440860215050,0.6545454545454550,0.7301587301587300,2.0483484037645300,0.1085043988269790,0.3783783783783780,1.2363904779479600,0.0654936461388074,0.2985074626865670,0.65,0.0149253731343283,3.930614504521130,0.2082111436950150,0.3708920187793430,0.3744075829383890,0.9493670886075950,4.558036538106660,0.3724696356275300,246,0.3739837398373980,PF
Jalen Green,HOU,3.6808703535811400,2.556663644605620,1.1550704865848100,0.0725294650951949,4.496826835902090,113.48540145985400,0.4927007299270070,1.2956204379562000,31.242067089755200,14.070716228467800,0.4819587628865980,11.98549410698100,0.3545454545454550,4.950135992747050,3.5539437896645500,10.0090661831369,6.85403445149592,5.8748866727107900,0.2620320855614970,0.2648648648648650,0.5384615384615380,0.4599860821155180,0.5327952448545070,0.5045233124565070,0.5433818872704240,0.1450589301903900,27.316023966815200,3.428831286948610,6.0583941605839400,2.718978102189780,0.1055240793201130,3.083941605839420,0.1461937716262980,0.8159564823209430,0.4533091568449680,0.0161812297734627,0.3445149592021760,0.0155102040816326,0.015884476534296,0.0816777041942604,0.0148148148148148,5.1133272892112400,12.130553037171400,3.2094288304623800,1.9038984587488700,6.092475067996370,2.411604714415230,0.4533091568449680,0.3263825929283770,0.1087941976427920,0.3989120580235720,0.0969813744380218,0.7000695894224080,7.953092783505160,26.1428139183056,6.255666364460560,0.2400835073068890,0.6434782608695650,0.2837837837837840,4.116047144152310,0.1579679888656920,0.3524229074889870,3.699002719854940,0.1419624217119000,0.3529411764705880,0.3055555555555560,0.0294117647058823,1.341795104261110,0.0514961725817675,0.3783783783783780,0.3835616438356160,0.6785714285714290,10.643699002719900,0.3509369676320270,586,0.3515358361774740,SG
