"Name","TeamAbbreviation","GamesPlayed","Minutes","ShotQualityAvg","AtRimFG3AFrequency","Avg2ptShotDistance","Avg3ptShotDistance","AtRimFGM","AtRimFGA","AtRimFrequency","AtRimAccuracy","UnblockedAtRimAccuracy","AtRimPctAssisted","AtRimPctBlocked","ShortMidRangeFGM","ShortMidRangeFGA","ShortMidRangeFrequency","ShortMidRangeAccuracy","UnblockedShortMidRangeAccuracy","ShortMidRangePctAssisted","ShortMidRangePctBlocked","LongMidRangeFGM","LongMidRangeFGA","LongMidRangeFrequency","LongMidRangeAccuracy","UnblockedLongMidRangeAccuracy","LongMidRangePctAssisted","LongMidRangePctBlocked","Corner3FGM","Corner3FGA","Corner3Frequency","Corner3Accuracy","UnblockedCorner3Accuracy","Corner3PctAssisted","Corner3PctBlocked","Arc3FGM","Arc3FGA","Arc3Frequency","Arc3Accuracy","UnblockedArc3Accuracy","Arc3PctAssisted","Arc3PctBlocked","NonHeaveArc3FGM","NonHeaveArc3FGA","NonHeaveArc3Accuracy","HeaveAttempts","HeaveMakes"
"Franz Wagner","ORL",15,538,0.5457939271255061,0.6558704453441295,5.357471264367816,25.947945205479453,5.253784505788068,7.92520035618878,0.3603238866396761,0.6629213483146067,0.686046511627907,0.559322033898305,0.033707865168539325,2.13713268032057,6.233303650934996,0.2834008097165992,0.34285714285714286,0.41379310344827586,0.4583333333333333,0.17142857142857143,0.4452359750667854,1.335707925200356,0.06072874493927125,0.3333333333333333,0.3333333333333333,0.4,0,0.3561887800534283,0.8904719501335708,0.04048582995951417,0.4,0.4,0.75,0,1.8699910952804986,5.609973285841496,0.2550607287449393,0.3333333333333333,0.3333333333333333,0.8571428571428571,0,21,63,0.3333333333333333,0,0
"Devin Booker","PHX",15,530,0.498395,0.4379310344827586,10.233980582524271,26.62142857142857,3.043867502238138,3.849597135183527,0.1482758620689655,0.7906976744186046,0.8095238095238095,0.38235294117647056,0.023255813953488372,4.565801253357207,9.042076991942704,0.3482758620689655,0.504950495049505,0.5730337078651685,0.3333333333333333,0.1188118811881188,2.596239928379588,5.550581915846016,0.21379310344827587,0.46774193548387094,0.48333333333333334,0.2413793103448276,0.03225806451612903,0.26857654431512984,0.7162041181736795,0.027586206896551724,0.375,0.375,1,0,2.3276633840644583,6.803939122649955,0.2620689655172414,0.34210526315789475,0.34210526315789475,0.6153846153846154,0,26,76,0.34210526315789475,0,0
"Tyrese Maxey","PHI",13,525,0.5231758957654723,0.6286644951140065,7.743010752688172,26.663636363636364,4.014939309056956,6.722689075630252,0.23452768729641693,0.5972222222222222,0.671875,0.3953488372093023,0.1111111111111111,2.987861811391223,6.816059757236228,0.23778501628664495,0.4383561643835616,0.463768115942029,0.40625,0.0547945205479452,1.4005602240896358,3.828197945845005,0.13355048859934854,0.36585365853658536,0.36585365853658536,0.26666666666666666,0,0.3734827264239029,0.9337068160597572,0.03257328990228013,0.4,0.4,0.75,0,4.295051353874883,10.364145658263306,0.36156351791530944,0.4144144144144144,0.42592592592592593,0.6956521739130435,0.02702702702702703,46,111,0.4144144144144144,0,0
"Cooper Flagg","DAL",15,505,0.5183451530612245,0.5808080808080808,7.4,25.275862068965516,3.373945641986879,5.342080599812559,0.2878787878787879,0.631578947368421,0.6792452830188679,0.3611111111111111,0.07017543859649122,2.717900656044986,5.342080599812559,0.2878787878787879,0.5087719298245614,0.58,0.27586206896551724,0.12280701754385964,0.7497656982193065,2.436738519212746,0.13131313131313133,0.3076923076923077,0.3076923076923077,0.375,0,0.09372071227741331,1.218369259606373,0.06565656565656566,0.07692307692307693,0.07692307692307693,0,0,1.499531396438613,4.217432052483599,0.22727272727272727,0.35555555555555557,0.36363636363636365,0.8125,0.022222222222222223,16,45,0.35555555555555557,0,0
"Lauri Markkanen","UTA",14,502,0.5221353820598006,0.6677740863787376,6.301807228915662,25.84,4.725897920604915,6.238185255198488,0.21926910299003322,0.7575757575757576,0.78125,0.76,0.030303030303030304,3.497164461247637,7.466918714555765,0.26245847176079734,0.46835443037974683,0.5441176470588235,0.8648648648648649,0.13924050632911392,0.6616257088846881,1.9848771266540643,0.06976744186046512,0.3333333333333333,0.3333333333333333,0.42857142857142855,0,1.3232514177693762,2.4574669187145557,0.08637873754152824,0.5384615384615384,0.5384615384615384,0.9285714285714286,0,3.5916824196597354,10.302457466918714,0.36212624584717606,0.3486238532110092,0.35185185185185186,0.9210526315789473,0.009174311926605505,38,109,0.3486238532110092,0,0
"Shai Gilgeous-Alexander","OKC",15,499,0.5101541254125412,0.5082508250825083,9.346976744186046,25.86704545454546,4.803073967339097,6.340057636887608,0.21782178217821782,0.7575757575757576,0.819672131147541,0.24,0.07575757575757576,4.707012487992315,8.93371757925072,0.3069306930693069,0.5268817204301075,0.550561797752809,0.14285714285714285,0.043010752688172046,2.689721421709894,5.379442843419788,0.1848184818481848,0.5,0.509090909090909,0.10714285714285714,0.017857142857142856,0.19212295869356388,0.4803073967339097,0.0165016501650165,0.4,0.4,0.5,0,3.073967339097022,7.973102785782901,0.2739273927392739,0.3855421686746988,0.3855421686746988,0.21875,0,32,83,0.3855421686746988,0,0
"Trey Murphy III","NOP",14,498,0.5454059113300492,0.7843137254901961,5.46734693877551,26.671698113207544,3.588748787584869,5.237633365664403,0.2647058823529412,0.6851851851851852,0.74,0.6756756756756757,0.07407407407407407,1.5518913676042676,3.6857419980601356,0.18627450980392157,0.42105263157894735,0.47058823529411764,0.5,0.10526315789473684,0.19398642095053345,0.5819592628516004,0.029411764705882353,0.3333333333333333,0.3333333333333333,1,0,0.3879728419010669,0.8729388942774006,0.04411764705882353,0.4444444444444444,0.4444444444444444,1,0,3.4917555771096023,9.408341416100873,0.47549019607843135,0.3711340206185567,0.3829787234042553,0.8055555555555556,0.030927835051546393,36,97,0.3711340206185567,0,0
"Dyson Daniels","ATL",15,497,0.5437262295081967,0.5245901639344263,4.614678899082569,25.53076923076923,2.97790585975024,4.899135446685879,0.4180327868852459,0.6078431372549019,0.6595744680851063,0.5806451612903226,0.0784313725490196,2.4015369836695486,5.571565802113352,0.47540983606557374,0.43103448275862066,0.45454545454545453,0.52,0.05172413793103448,0,0,0,0,0,0,0,0.19212295869356388,0.38424591738712777,0.03278688524590164,0.5,0.5,1,0,0.09606147934678194,0.8645533141210374,0.07377049180327869,0.1111111111111111,0.1111111111111111,1,0,1,9,0.1111111111111111,0,0
"Desmond Bane","ORL",15,494,0.513995971563981,0.6255924170616114,7.333088235294118,25.674666666666667,3.401360544217687,5.539358600583091,0.27014218009478674,0.6140350877192983,0.7142857142857143,0.5714285714285714,0.14035087719298245,2.2351797862001943,5.150631681243926,0.25118483412322273,0.4339622641509434,0.5111111111111111,0.43478260869565216,0.1509433962264151,1.0689990281827018,2.5267249757045676,0.12322274881516587,0.4230769230769231,0.4230769230769231,0.5454545454545454,0,0.5830903790087464,1.749271137026239,0.08530805687203792,0.3333333333333333,0.3333333333333333,1,0,1.652089407191448,5.539358600583091,0.27014218009478674,0.2982456140350877,0.2982456140350877,0.5294117647058824,0,17,57,0.2982456140350877,0,0
"Miles Bridges","CHA",14,493,0.5215383673469388,0.746938775510204,5.859322033898305,25.444881889763778,2.700096432015429,5.400192864030858,0.22857142857142856,0.5,0.5384615384615384,0.5714285714285714,0.07142857142857142,2.6036644165863065,5.400192864030858,0.22857142857142856,0.48214285714285715,0.5094339622641509,0.4074074074074074,0.05357142857142857,0.19286403085824494,0.5785920925747348,0.024489795918367346,0.3333333333333333,0.3333333333333333,0.5,0,1.3500482160077145,3.278688524590164,0.13877551020408163,0.4117647058823529,0.4117647058823529,1,0,3.085824493731919,8.96817743490839,0.3795918367346939,0.34408602150537637,0.34408602150537637,0.875,0,32,93,0.34408602150537637,0,0
"Derrick White","BOS",15,493,0.5183089130434783,0.6796536796536796,9.474,25.980916030534353,1.5274949083503055,2.6476578411405294,0.11255411255411256,0.5769230769230769,0.7142857142857143,0.3333333333333333,0.19230769230769232,1.7311608961303462,4.887983706720978,0.2077922077922078,0.3541666666666667,0.3953488372093023,0.6470588235294118,0.10416666666666667,1.120162932790224,2.6476578411405294,0.11255411255411256,0.4230769230769231,0.44,0.6363636363636364,0.038461538461538464,0.9164969450101833,2.443991853360489,0.1038961038961039,0.375,0.391304347826087,1,0.041666666666666664,3.1568228105906315,10.896130346232178,0.46320346320346323,0.2897196261682243,0.29245283018867924,0.5483870967741935,0.009345794392523364,31,107,0.2897196261682243,0,0
"VJ Edgecombe","PHI",13,485,0.5324914835164835,0.6648351648351648,6.87,25.681944444444444,2.816901408450704,4.929577464788732,0.2692307692307692,0.5714285714285714,0.6363636363636364,0.6071428571428571,0.10204081632653061,1.5090543259557343,4.527162977867203,0.24725274725274726,0.3333333333333333,0.3488372093023256,0.26666666666666666,0.044444444444444446,0.5030181086519114,1.6096579476861168,0.08791208791208792,0.3125,0.3333333333333333,0.4,0.0625,0.30181086519114686,0.9054325955734407,0.04945054945054945,0.3333333333333333,0.375,1,0.1111111111111111,2.414486921529175,6.338028169014085,0.34615384615384615,0.38095238095238093,0.38095238095238093,0.9583333333333334,0,24,63,0.38095238095238093,0,0
"Duncan Robinson","DET",15,482,0.544513475177305,0.8723404255319149,4.641935483870968,25.575454545454548,0.8973080757726819,1.296111665004985,0.09219858156028368,0.6923076923076923,0.75,0.7777777777777778,0.07692307692307693,0.7976071784646062,1.7946161515453638,0.1276595744680851,0.4444444444444444,0.5333333333333333,0.625,0.16666666666666666,0,0,0,0,0,0,0,0.9970089730807578,2.093718843469591,0.14893617021276595,0.47619047619047616,0.47619047619047616,1,0,3.5892323030907276,8.873379860418744,0.6312056737588653,0.4044943820224719,0.4044943820224719,0.9722222222222222,0,36,89,0.4044943820224719,0,0
"Payton Pritchard","BOS",15,482,0.5076195544554456,0.6881188118811881,10.700000000000001,26.72396694214876,1.1305241521068858,1.8499486125385407,0.0891089108910891,0.6111111111111112,0.8461538461538461,0.18181818181818182,0.2777777777777778,2.774922918807811,4.316546762589928,0.2079207920792079,0.6428571428571429,0.675,0.07407407407407407,0.047619047619047616,1.1305241521068858,2.158273381294964,0.10396039603960396,0.5238095238095238,0.55,0.2727272727272727,0.047619047619047616,0.30832476875642345,0.8221993833504625,0.039603960396039604,0.375,0.375,1,0,3.802672147995889,11.613566289825282,0.5594059405940595,0.3274336283185841,0.33035714285714285,0.8378378378378378,0.008849557522123894,37,113,0.3274336283185841,0,0
"Keyonte George","UTA",14,482,0.4873974358974359,0.5042735042735043,9.12536231884058,25.391666666666666,1.5888778550148956,2.1847070506454815,0.09401709401709402,0.7272727272727273,0.8421052631578947,0.5,0.13636363636363635,4.369414101290963,8.738828202581926,0.37606837606837606,0.5,0.5789473684210527,0.45454545454545453,0.13636363636363635,1.1916583912611718,2.7805362462760677,0.11965811965811966,0.42857142857142855,0.46153846153846156,0.3333333333333333,0.07142857142857142,0.49652432969215493,1.3902681231380338,0.05982905982905983,0.35714285714285715,0.35714285714285715,1,0,2.284011916583913,8.14299900695134,0.3504273504273504,0.2804878048780488,0.2839506172839506,0.6521739130434783,0.012195121951219513,23,82,0.2804878048780488,0,0
"Toumani Camara","POR",14,482,0.5637461038961039,0.8766233766233766,3.9237288135593222,24.967368421052633,2.843137254901961,3.9215686274509802,0.2597402597402597,0.725,0.8055555555555556,0.7931034482758621,0.1,0.29411764705882354,1.5686274509803921,0.1038961038961039,0.1875,0.375,1,0.5,0,0.29411764705882354,0.01948051948051948,0,0,0,0,0.8823529411764706,3.1372549019607843,0.2077922077922078,0.28125,0.28125,0.8888888888888888,0,1.9607843137254901,6.176470588235294,0.4090909090909091,0.31746031746031744,0.31746031746031744,0.8,0,20,63,0.31746031746031744,0,0
"Jaylen Brown","BOS",15,481,0.5044237096774193,0.5032258064516129,9.98794642857143,26.248837209302327,5.175983436853002,7.246376811594203,0.22580645161290322,0.7142857142857143,0.7575757575757576,0.36,0.05714285714285714,2.7950310559006213,6.625258799171843,0.2064516129032258,0.421875,0.48214285714285715,0.25925925925925924,0.125,5.072463768115942,9.316770186335404,0.2903225806451613,0.5444444444444444,0.5444444444444444,0.42857142857142855,0,0.2070393374741201,0.6211180124223602,0.01935483870967742,0.3333333333333333,0.3333333333333333,1,0,2.898550724637681,8.281573498964804,0.25806451612903225,0.35,0.35,0.5357142857142857,0,28,80,0.35,0,0
"Evan Mobley","CLE",14,479,0.559054292929293,0.6482412060301508,5.887218045112782,26.060606060606062,4.382470119521912,6.274900398406374,0.3165829145728643,0.6984126984126984,0.7333333333333333,0.6590909090909091,0.047619047619047616,2.2908366533864544,5.776892430278885,0.2914572864321608,0.39655172413793105,0.42592592592592593,0.6086956521739131,0.06896551724137931,0.199203187250996,1.1952191235059761,0.06030150753768844,0.16666666666666666,0.16666666666666666,0.5,0,0.099601593625498,0.29880478087649404,0.01507537688442211,0.3333333333333333,0.3333333333333333,1,0,2.2908366533864544,6.274900398406374,0.3165829145728643,0.36507936507936506,0.3709677419354839,0.782608695652174,0.015873015873015872,23,63,0.36507936507936506,0,0
