Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,Awards,Player-additional
218,Sandro Mamukelashvili,26,TOR,C,13,0,232,9.0,15.5,0.579,2.9,6.3,0.452,6.1,9.2,0.667,0.671,4.1,5.1,0.800,2.7,6.9,9.6,4.9,1.2,1.2,2.4,4.7,24.9,132,114,,mamuksa01
219,Kristaps Porziņģis,30,ATL,C,9,9,232,10.0,23.2,0.430,2.8,9.1,0.311,7.1,14.0,0.507,0.491,8.9,10.4,0.863,3.5,6.9,10.4,6.7,1.0,2.8,2.0,5.5,31.7,123,112,,porzikr01
220,Mouhamed Gueye,23,ATL,PF,14,2,231,7.3,14.7,0.500,2.0,6.9,0.294,5.3,7.8,0.684,0.569,1.0,2.0,0.500,3.1,7.8,10.8,4.1,1.2,1.6,2.4,5.5,17.8,111,112,,gueyemo02
221,Cam Thomas,24,BRK,SG,8,8,226,11.4,28.4,0.402,3.4,9.7,0.356,8.0,18.7,0.425,0.462,10.6,12.1,0.875,0.6,1.7,2.4,4.5,0.9,0.2,3.4,3.2,36.9,109,128,,thomaca02
222,Cam Whitmore,21,WAS,SF,13,0,221,9.5,20.9,0.455,2.3,7.2,0.324,7.2,13.8,0.523,0.510,3.2,4.2,0.750,1.7,4.7,6.3,1.7,2.3,0.4,2.8,3.6,24.5,101,124,,whitmca01
223,Jalen Suggs,24,ORL,PG,10,10,221,9.1,16.9,0.538,3.9,9.8,0.400,5.2,7.2,0.727,0.654,5.0,5.6,0.885,1.5,6.9,8.5,9.6,3.5,0.7,6.5,7.6,27.1,117,109,,suggsja01
224,Oso Ighodaro,23,PHO,PF,14,4,220,5.7,11.0,0.520,0.0,0.0,,5.7,11.0,0.520,0.520,1.5,3.1,0.500,1.3,8.6,9.9,3.7,1.3,2.2,4.0,7.7,13.0,93,113,,ighodos01
225,Collin Murray-Boyles,20,TOR,PF,11,3,220,7.3,14.6,0.500,1.9,3.9,0.500,5.4,10.8,0.500,0.566,3.4,4.5,0.762,4.1,4.1,8.2,2.8,1.7,1.1,2.6,5.8,20.0,117,115,,murraco01
226,Al Horford,39,GSW,C,10,0,216,4.4,13.1,0.339,3.1,9.5,0.326,1.3,3.5,0.375,0.458,0.0,0.0,,2.2,6.4,8.6,4.0,1.8,2.2,2.9,3.5,12.0,93,112,,horfoal01
227,Quinten Post,25,GSW,PF,15,7,214,6.7,15.2,0.441,4.0,10.9,0.367,2.7,4.2,0.632,0.574,1.1,1.6,0.714,2.9,10.1,13.0,2.9,1.3,2.0,2.0,3.8,18.5,115,111,,postqu01
228,Brook Lopez,37,LAC,C,14,0,213,7.7,18.3,0.423,4.4,12.6,0.352,3.3,5.6,0.583,0.545,1.9,2.6,0.727,0.9,6.3,7.3,1.9,1.2,2.6,3.0,5.6,21.8,101,119,,lopezbr01
229,Trendon Watford,25,PHI,PF,10,4,213,7.9,14.7,0.538,1.1,2.7,0.417,6.8,12.0,0.566,0.577,3.2,4.3,0.737,2.9,7.7,10.6,8.4,0.9,0.5,3.2,6.3,20.1,124,117,,watfotr01
230,Jordan Poole,26,NOP,PG,7,4,212,8.1,22.9,0.354,4.6,13.6,0.339,3.5,9.2,0.375,0.455,7.2,7.4,0.969,0.7,2.1,2.8,5.5,0.5,0.5,3.5,4.2,28.0,109,129,,poolejo01
231,Vit Krejci,25,ATL,PG,10,0,211,8.7,16.1,0.542,5.8,12.1,0.481,2.9,4.0,0.722,0.722,1.6,2.2,0.700,0.7,4.7,5.4,4.0,1.1,0.7,1.3,5.6,24.8,134,116,,krejcvi01
232,Keaton Wallace,26,ATL,PG,13,2,209,5.2,12.2,0.426,2.9,7.0,0.419,2.3,5.2,0.435,0.546,0.5,0.9,0.500,0.2,5.4,5.6,8.8,2.5,0.5,2.5,4.3,13.8,112,112,,wallake01
233,Bogdan Bogdanović,33,LAC,SG,8,2,209,6.2,15.7,0.394,3.3,9.8,0.341,2.9,6.0,0.480,0.500,2.6,3.1,0.846,0.5,6.7,7.2,6.4,1.7,0.2,2.9,5.0,18.4,108,120,,bogdabo01
234,Jalen Smith,25,CHI,C,13,0,208,11.1,22.6,0.490,5.0,12.4,0.400,6.1,10.2,0.600,0.600,2.9,4.3,0.684,5.9,12.6,18.5,4.1,0.9,0.9,2.9,6.1,30.0,121,116,,smithja04
235,Daniel Gafford,27,DAL,C,9,9,207,8.3,12.6,0.661,0.0,0.0,,8.3,12.6,0.661,0.661,5.0,6.1,0.815,4.5,7.4,11.9,2.3,1.8,3.4,2.3,5.6,21.6,133,108,,gaffoda01
236,Drew Eubanks,28,SAC,C,14,3,205,8.5,12.8,0.661,0.0,0.2,0.000,8.5,12.6,0.673,0.661,3.4,7.1,0.484,2.1,6.9,8.9,0.9,1.6,3.2,3.0,4.1,20.4,108,118,,eubandr01
237,Tony Bradley,28,IND,C,14,3,204,7.6,12.9,0.589,0.0,0.2,0.000,7.6,12.7,0.600,0.589,3.0,4.4,0.684,6.7,4.4,11.1,2.5,0.5,0.7,1.6,8.1,18.3,129,122,,bradlto01
238,Jay Huff,27,IND,C,14,2,202,6.3,16.8,0.375,3.0,11.4,0.265,3.3,5.4,0.609,0.465,2.1,3.0,0.692,3.3,6.1,9.3,2.3,0.2,5.8,1.9,6.5,17.7,103,116,,huffja01
239,Kawhi Leonard,34,LAC,SF,6,6,201,13.1,26.1,0.505,3.5,8.7,0.400,9.7,17.4,0.557,0.571,6.5,6.7,0.963,1.2,7.2,8.4,5.2,3.7,1.0,2.7,1.7,36.2,123,114,,leonaka01
240,Andrew Nembhard,26,IND,PG,7,7,200,8.7,21.9,0.398,3.1,9.4,0.325,5.7,12.5,0.453,0.468,8.5,8.7,0.973,0.5,2.4,2.8,10.1,0.5,0.5,4.0,4.0,29.0,115,124,,nembhan01
241,Caris LeVert,31,DET,SG,10,0,198,8.4,16.6,0.507,2.9,7.2,0.400,5.5,9.4,0.590,0.594,2.9,4.8,0.600,0.5,3.6,4.1,8.4,1.4,1.0,4.1,2.9,22.6,114,114,,leverca01
242,Jaylen Clark,24,MIN,SG,12,0,197,5.1,11.1,0.457,1.9,5.3,0.364,3.1,5.8,0.542,0.543,2.4,3.9,0.625,3.6,3.4,7.0,2.2,2.4,0.2,1.2,6.7,14.5,123,115,,clarkja02
243,Jordan Hawkins,23,NOP,SG,13,0,194,5.6,17.7,0.314,2.5,10.1,0.250,3.0,7.6,0.400,0.386,1.3,1.8,0.714,1.5,4.8,6.3,3.5,0.5,0.0,1.0,2.0,14.9,96,128,,hawkijo01
244,Tobias Harris,33,DET,PF,6,6,193,6.9,17.5,0.394,2.0,6.9,0.286,4.9,10.6,0.465,0.451,4.2,4.4,0.944,1.2,7.7,8.9,4.2,1.2,0.2,2.0,4.4,20.0,111,113,,harrito02
245,Nique Clifford,23,SAC,SG,10,2,192,4.2,12.5,0.333,1.5,5.6,0.261,2.7,6.8,0.393,0.392,1.7,2.4,0.700,1.7,5.6,7.3,5.4,1.0,1.0,1.7,5.6,11.5,97,123,,cliffni01
246,Marvin Bagley III,26,WAS,PF,13,0,190,9.4,14.3,0.655,0.7,1.5,0.500,8.6,12.8,0.673,0.681,3.7,5.2,0.714,5.9,7.6,13.5,3.9,1.5,1.7,3.0,6.6,23.1,131,122,,baglema01
247,Day'Ron Sharpe,24,BRK,C,12,0,189,7.2,11.6,0.622,0.8,2.6,0.300,6.4,9.0,0.714,0.656,4.6,7.0,0.667,7.2,9.0,16.2,5.9,2.6,1.5,6.2,7.5,19.8,114,118,,sharpda01
248,Daniss Jenkins,24,DET,PG,9,3,189,10.3,21.4,0.482,3.0,6.3,0.480,7.3,15.1,0.483,0.553,2.5,3.5,0.714,2.0,2.5,4.5,9.3,3.3,0.0,3.8,3.8,26.2,117,112,,jenkida01
249,Jeremiah Robinson-Earl,25,IND,PF,9,3,187,4.8,13.4,0.358,0.8,4.3,0.176,4.0,9.1,0.444,0.387,2.0,2.3,0.889,6.3,8.8,15.1,1.8,1.3,0.0,1.5,2.5,12.4,103,119,,robinje02
250,Luka Garza,27,BOS,C,13,0,185,9.4,16.5,0.574,2.2,5.7,0.381,7.3,10.8,0.675,0.639,4.6,5.9,0.773,8.6,5.9,14.6,3.0,1.1,1.6,1.3,10.8,25.6,147,115,,garzalu01
251,Jaxson Hayes,25,LAL,C,11,1,185,6.3,9.1,0.686,0.3,0.3,1.000,6.0,8.9,0.676,0.700,1.8,2.9,0.636,3.4,8.6,12.0,3.4,1.0,1.3,1.6,4.4,14.6,138,115,,hayesja02
252,Jordan Goodwin,27,PHO,PG,11,0,184,7.1,16.6,0.429,3.4,8.7,0.394,3.7,7.9,0.467,0.532,1.6,2.1,0.750,4.5,6.3,10.8,5.8,3.4,0.3,3.2,4.7,19.2,116,112,,goodwjo01
253,Alex Caruso,31,OKC,SG,10,0,183,5.3,13.8,0.385,3.4,9.3,0.371,1.9,4.5,0.412,0.510,1.3,1.6,0.833,0.5,5.0,5.6,6.4,5.0,0.8,2.4,1.9,15.4,109,100,,carusal01
254,Larry Nance Jr.,33,CLE,PF,12,1,181,4.7,13.7,0.340,1.8,6.7,0.269,2.9,7.0,0.407,0.406,0.3,0.8,0.333,2.6,7.3,9.8,4.1,1.6,0.5,2.3,8.8,11.4,92,114,,nancela02
255,Tyus Jones,29,ORL,PG,14,1,178,2.4,9.4,0.257,0.5,5.1,0.105,1.9,4.3,0.438,0.286,0.0,0.0,,0.8,2.7,3.5,5.4,2.7,0.5,1.3,2.4,5.4,83,114,,jonesty01
256,Walter Clayton,22,UTA,PG,11,0,178,5.9,14.4,0.407,2.7,7.7,0.345,3.2,6.7,0.480,0.500,3.7,3.7,1.000,1.6,5.3,6.9,9.3,1.3,0.8,4.0,5.3,18.1,114,121,,claytwa01
257,Adem Bona,22,PHI,C,12,3,177,2.4,5.4,0.450,0.0,0.3,0.000,2.4,5.2,0.474,0.450,2.2,4.4,0.500,4.1,7.1,11.2,0.8,1.4,5.4,1.9,4.9,7.1,102,111,,bonaad01
258,Yves Missi,21,NOP,C,9,5,175,6.2,10.1,0.611,0.0,0.0,,6.2,10.1,0.611,0.611,2.5,5.0,0.500,7.0,5.0,12.0,3.4,0.8,2.5,3.1,3.9,14.8,118,124,,missiyv01
259,Brice Sensabaugh,22,UTA,SF,12,0,174,10.1,22.1,0.457,5.7,15.8,0.362,4.4,6.3,0.696,0.586,3.8,4.1,0.933,1.6,7.4,9.0,3.5,1.6,0.3,2.7,4.9,29.8,119,119,,sensabr01
260,Vince Williams Jr.,25,MEM,SG,9,1,174,6.2,15.6,0.397,3.8,10.5,0.359,2.4,5.1,0.474,0.517,3.2,3.8,0.857,1.6,8.6,10.2,6.5,1.9,0.5,4.9,4.9,19.4,100,115,,willivi01
261,Jalen Wilson,25,BRK,PF,11,0,173,5.9,14.9,0.396,4.5,10.1,0.444,1.4,4.8,0.294,0.547,2.8,3.7,0.769,0.6,2.5,3.1,2.0,0.6,0.0,2.3,4.2,19.1,107,129,,wilsoja03
262,Jordan Walsh,21,BOS,PF,10,2,173,5.2,11.3,0.462,2.0,4.9,0.412,3.2,6.3,0.500,0.551,0.9,1.2,0.750,3.8,8.9,12.7,2.9,2.9,1.7,0.6,6.3,13.3,133,109,,walshjo01
263,De'Aaron Fox,28,SAS,PG,5,5,171,12.1,23.7,0.512,3.4,9.0,0.375,8.7,14.7,0.596,0.583,3.4,3.7,0.923,2.0,3.1,5.1,9.6,1.4,0.3,5.6,3.7,31.0,115,116,,foxde01
264,Taurean Prince,31,MIL,SF,8,0,169,4.8,10.7,0.447,3.4,7.9,0.429,1.4,2.8,0.500,0.605,0.8,0.8,1.000,0.0,3.7,3.7,2.3,1.7,0.6,1.4,5.7,13.9,114,119,,princta02
265,RayJ Dennis,24,IND,PG,11,0,161,6.4,20.5,0.314,3.5,10.8,0.324,2.9,9.7,0.303,0.400,2.3,2.6,0.889,2.3,3.2,5.6,7.3,0.9,1.2,4.1,4.7,18.7,92,122,,dennira01
266,Jabari Walker,23,PHI,PF,13,5,158,4.9,11.6,0.421,0.6,3.7,0.167,4.3,7.9,0.538,0.447,1.2,1.5,0.800,4.9,6.4,11.3,1.5,0.6,0.9,1.5,6.7,11.6,109,118,,walkeja01
267,Zion Williamson,25,NOP,PF,5,5,157,11.9,24.3,0.487,0.0,0.0,,11.9,24.3,0.487,0.487,11.9,17.8,0.667,5.0,5.6,10.6,7.2,3.1,0.3,5.3,3.7,35.6,111,121,,willizi01
268,Jonas Valančiūnas,33,DEN,C,13,0,155,12.4,22.7,0.548,0.6,1.9,0.333,11.8,20.8,0.567,0.562,7.5,10.3,0.727,6.2,12.8,19.0,4.7,0.3,2.8,4.4,7.8,33.0,120,109,,valanjo01
269,Paul Reed,26,DET,C,12,2,155,11.4,16.6,0.685,1.2,2.5,0.500,10.1,14.1,0.717,0.722,2.2,3.7,0.583,7.7,9.2,16.9,4.9,4.0,3.4,4.3,7.4,26.1,129,102,,reedpa01
270,Justin Edwards,22,PHI,SF,11,1,154,7.5,16.6,0.453,5.0,11.9,0.421,2.5,4.7,0.533,0.604,0.9,0.9,1.000,2.2,4.1,6.3,4.1,0.6,0.6,1.6,7.2,20.9,126,120,,edwarju01
271,Walker Kessler,24,UTA,C,5,5,154,8.0,11.4,0.703,1.9,2.5,0.750,6.2,8.9,0.690,0.784,4.3,6.2,0.700,7.1,9.6,16.7,4.6,2.2,2.8,4.9,6.8,22.2,127,114,,kesslwa01
272,Anthony Davis,32,DAL,PF,5,5,149,12.2,23.5,0.520,0.9,3.4,0.273,11.3,20.0,0.563,0.540,7.2,9.7,0.742,5.3,10.6,16.0,3.4,2.5,1.9,3.4,4.1,32.5,114,106,,davisan02
273,Taylor Hendricks,22,UTA,PF,9,3,148,4.8,12.8,0.375,1.3,5.5,0.235,3.5,7.4,0.478,0.425,1.9,2.6,0.750,5.1,7.1,12.2,1.3,1.3,1.0,1.6,1.3,12.8,106,120,,hendrta01
274,Nick Richards,28,PHO,C,14,1,145,6.7,12.0,0.556,0.0,0.0,,6.7,12.0,0.556,0.556,6.0,8.4,0.720,6.0,10.4,16.4,1.7,0.7,2.3,4.3,7.0,19.4,113,113,,richani01
275,Tyrese Proctor,21,CLE,PG,12,0,142,6.9,20.5,0.339,4.0,13.5,0.293,3.0,6.9,0.429,0.435,2.0,2.3,0.857,0.7,3.3,4.0,4.6,1.3,0.0,2.0,6.6,19.8,100,117,,proctty01
276,Joel Embiid,31,PHI,C,6,6,140,13.8,29.9,0.460,3.1,9.6,0.321,10.7,20.3,0.525,0.511,10.0,12.0,0.829,3.1,8.3,11.4,6.9,1.7,3.1,5.5,4.5,40.6,113,112,,embiijo01
277,Dylan Harper,19,SAS,SG,6,0,140,11.0,22.1,0.500,1.7,4.8,0.357,9.3,17.2,0.540,0.539,5.2,6.2,0.833,1.7,6.6,8.3,7.9,1.4,0.0,3.8,6.2,29.0,118,114,,harpedy01
278,Trae Young,27,ATL,PG,5,5,139,8.8,23.7,0.371,1.7,8.8,0.192,7.1,14.9,0.477,0.407,10.9,13.2,0.821,0.0,3.4,3.4,13.2,1.4,0.3,3.4,3.1,30.2,113,117,,youngtr01
279,Gary Payton II,33,GSW,SG,14,0,138,5.2,12.5,0.417,1.0,5.5,0.188,4.2,6.9,0.600,0.458,0.0,0.0,,4.2,8.7,12.8,5.2,3.1,1.4,2.8,5.5,11.4,103,108,,paytoga02
280,John Konchar,29,MEM,SG,12,0,138,4.1,7.5,0.545,2.0,4.8,0.429,2.0,2.7,0.750,0.682,0.3,0.3,1.000,1.0,8.2,9.2,3.7,3.1,1.7,1.4,3.1,10.5,127,112,,konchjo01
281,Luke Kornet,30,SAS,C,6,1,138,8.7,10.8,0.806,0.0,0.0,,8.7,10.8,0.806,0.806,3.8,5.6,0.688,6.6,7.0,13.6,3.8,0.0,2.4,1.4,4.2,21.3,161,114,,kornelu01
282,Karlo Matković,24,NOP,PF,12,0,137,9.3,13.2,0.703,1.4,3.2,0.444,7.9,10.0,0.786,0.757,1.1,2.9,0.375,2.9,8.9,11.8,3.6,0.7,2.1,1.8,5.0,21.1,136,122,,matkoka01
