Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,Awards,Player-additional
283,Rob Dillingham,21,MIN,PG,12,0,136,8.4,21.3,0.393,1.0,4.5,0.231,7.3,16.8,0.438,0.418,2.8,3.8,0.727,0.7,3.8,4.5,8.7,3.1,0.0,5.6,5.2,20.6,90,113,,dilliro01
284,Hugo González,19,BOS,SF,11,1,136,5.1,11.4,0.452,1.8,3.7,0.500,3.3,7.7,0.429,0.532,0.0,0.4,0.000,2.9,5.1,8.1,2.6,3.3,0.7,2.2,7.3,12.1,106,112,,gonzahu01
285,Ousmane Dieng,22,OKC,C,12,0,135,3.9,12.9,0.306,1.1,6.1,0.176,2.9,6.8,0.421,0.347,1.4,1.4,1.000,1.4,6.1,7.5,2.9,0.4,1.8,2.2,3.6,10.4,84,109,,diengou01
286,Moussa Cisse,23,DAL,C,11,1,133,7.0,10.5,0.667,0.0,0.0,,7.0,10.5,0.667,0.667,3.2,8.8,0.360,7.7,8.4,16.1,0.4,1.1,5.6,3.5,8.4,17.2,108,107,,cissemo01
287,Jaden Hardy,23,DAL,SG,12,0,131,7.8,19.2,0.407,5.3,11.7,0.455,2.5,7.5,0.333,0.546,4.3,5.3,0.800,1.1,4.6,5.7,1.4,1.4,0.4,4.6,4.6,25.3,97,114,,hardyja02
288,Isaiah Collier,21,UTA,PG,5,1,131,6.5,10.9,0.600,0.7,1.8,0.400,5.8,9.1,0.640,0.633,6.2,8.7,0.708,0.0,6.5,6.5,13.4,0.7,0.7,4.4,5.8,19.9,127,121,,colliis01
289,Caleb Martin,30,DAL,SF,13,0,130,2.5,7.9,0.318,0.4,2.5,0.143,2.2,5.4,0.400,0.341,2.5,2.9,0.875,3.2,4.7,7.9,5.0,1.8,0.7,2.5,8.6,7.9,99,113,,martica02
290,Amir Coffey,28,MIL,SG,13,0,128,3.0,7.1,0.421,0.7,3.0,0.250,2.2,4.1,0.545,0.474,1.1,1.1,1.000,1.5,3.7,5.2,2.6,0.0,0.4,0.4,2.2,7.8,122,124,,coffeam01
291,Jonathan Isaac,28,ORL,PF,13,0,126,4.2,11.0,0.379,1.5,6.9,0.222,2.7,4.2,0.636,0.448,3.0,4.6,0.667,3.0,11.0,14.1,0.4,2.3,1.9,1.1,3.4,12.9,108,108,,isaacjo01
292,Ochai Agbaji,25,TOR,SG,9,1,125,3.4,9.5,0.360,0.4,4.5,0.083,3.0,4.9,0.615,0.380,1.9,3.0,0.625,0.8,6.4,7.2,2.3,1.9,0.4,1.1,6.1,9.1,92,114,,agbajoc01
293,Drake Powell,20,BRK,SG,7,0,124,7.1,13.4,0.529,2.0,4.3,0.455,5.1,9.0,0.565,0.603,0.8,0.8,1.000,1.2,5.1,6.3,5.5,2.4,0.4,3.5,4.7,16.9,109,123,,poweldr01
294,Ja'Kobe Walter,21,TOR,SG,11,0,123,3.8,11.9,0.323,2.3,8.5,0.273,1.5,3.5,0.444,0.419,2.3,2.7,0.857,2.3,3.1,5.4,2.3,2.7,0.4,3.5,7.7,12.3,89,114,,walteja01
295,Bilal Coulibaly,21,WAS,SG,5,5,123,6.1,16.7,0.364,1.9,6.5,0.294,4.2,10.3,0.407,0.420,4.2,5.7,0.733,1.5,6.8,8.4,6.5,2.3,2.3,3.8,4.2,18.2,96,121,,coulibi01
296,Bradley Beal,32,LAC,SG,6,6,121,7.4,19.8,0.375,2.9,7.8,0.368,4.5,12.0,0.379,0.448,2.5,3.3,0.750,0.8,1.2,2.1,4.1,1.2,0.0,3.7,5.8,20.2,92,125,,bealbr01
297,Micah Peavy,24,NOP,SG,10,0,118,5.4,13.3,0.406,1.2,5.0,0.250,4.2,8.3,0.500,0.453,0.4,0.8,0.500,4.6,5.0,9.5,4.2,0.4,0.4,0.8,6.2,12.5,115,127,,peavymi01
298,Precious Achiuwa,26,SAC,C,7,4,118,6.8,12.3,0.548,0.0,3.2,0.000,6.8,9.1,0.739,0.548,2.8,5.2,0.538,4.0,7.6,11.5,2.0,2.0,1.2,1.2,2.8,16.3,117,120,,achiupr01
299,Chaz Lanier,24,DET,SG,10,0,117,4.5,13.4,0.333,3.7,11.8,0.310,0.8,1.6,0.500,0.470,1.2,1.2,1.000,2.4,2.4,4.9,4.1,1.2,0.0,0.4,1.2,13.8,124,117,,laniech01
300,Guerschon Yabusele,30,NYK,C,12,0,116,4.1,12.8,0.323,2.9,9.1,0.318,1.2,3.7,0.333,0.435,1.2,2.5,0.500,5.0,7.4,12.4,1.7,0.8,0.4,0.8,5.4,12.4,112,117,,yabusgu01
301,Mitchell Robinson,27,NYK,C,7,7,116,5.4,9.1,0.591,0.0,0.0,,5.4,9.1,0.591,0.591,0.4,1.2,0.333,16.5,9.5,26.0,2.9,1.7,2.9,2.1,7.8,11.1,146,111,,robinmi01
302,Terrence Shannon Jr.,25,MIN,SG,7,0,115,3.7,11.6,0.321,1.7,4.5,0.364,2.1,7.0,0.294,0.393,2.1,2.9,0.714,1.2,5.8,7.0,3.3,1.7,0.0,2.5,4.5,11.1,91,115,,shannte01
303,Dwight Powell,34,DAL,C,12,0,114,2.5,4.9,0.500,0.0,0.0,,2.5,4.9,0.500,0.500,6.1,7.4,0.833,4.9,5.7,10.6,3.3,1.6,0.8,2.0,10.2,11.0,135,112,,poweldw01
304,Chris Paul,40,LAC,PG,9,0,114,3.1,11.8,0.259,2.6,8.7,0.300,0.4,3.1,0.143,0.370,0.4,0.4,1.000,2.2,4.8,7.0,12.7,3.9,0.0,3.1,6.6,9.2,106,117,,paulch01
305,Liam McNeeley,20,CHO,SF,9,0,112,3.9,12.5,0.310,2.6,7.7,0.333,1.3,4.7,0.273,0.414,5.6,6.5,0.867,1.7,5.6,7.3,4.7,0.9,0.4,2.2,6.0,15.9,115,122,,mcneeli01
306,Jeremy Sochan,22,SAS,PF,7,0,109,7.5,12.0,0.630,2.2,4.4,0.500,5.3,7.5,0.706,0.722,3.1,4.0,0.778,1.8,6.6,8.4,4.9,1.3,0.9,3.5,8.9,20.4,127,113,,sochaje01
307,Bones Hyland,25,MIN,PG,12,0,108,8.4,16.3,0.514,3.5,10.1,0.348,4.8,6.2,0.786,0.622,1.3,1.8,0.750,0.4,4.8,5.3,7.0,2.6,0.0,3.5,5.7,21.5,116,114,,hylanbo01
308,Clint Capela,31,HOU,C,11,0,108,7.3,11.4,0.640,0.0,0.0,,7.3,11.4,0.640,0.640,3.7,4.6,0.800,12.4,10.1,22.4,1.8,1.4,2.7,1.8,5.0,18.3,150,111,,capelca01
309,Bronny James,21,LAL,SG,9,1,107,3.2,11.7,0.269,0.9,4.5,0.200,2.3,7.2,0.313,0.308,0.9,0.9,1.000,1.8,2.3,4.1,7.2,3.6,0.5,2.3,5.0,8.1,91,114,,jamesbr02
310,Cam Christie,20,LAC,SG,9,0,104,6.7,15.3,0.438,3.4,8.2,0.412,3.4,7.2,0.467,0.547,5.3,7.2,0.733,1.4,5.8,7.2,3.8,1.0,1.0,1.0,1.4,22.1,128,122,,chrisca02
311,Brooks Barnhizer,23,OKC,SG,13,0,103,3.3,6.6,0.500,0.0,0.5,0.000,3.3,6.1,0.538,0.500,0.9,1.9,0.500,2.4,10.3,12.7,1.9,0.9,0.9,0.5,4.7,7.5,120,105,,barnhbr01
312,Justin Champagnie,24,WAS,SF,12,3,101,3.7,11.6,0.320,0.9,4.6,0.200,2.8,6.9,0.400,0.360,6.5,7.9,0.824,7.9,7.9,15.7,1.9,1.9,0.0,0.9,5.6,14.8,124,123,,champju01
313,Quenton Jackson,27,IND,PG,5,3,101,9.3,17.3,0.541,2.8,5.6,0.500,6.5,11.7,0.560,0.622,6.1,8.4,0.722,2.3,5.6,7.9,8.4,2.3,0.5,2.8,4.7,27.5,131,118,,jacksqu01
314,Baylor Scheierman,25,BOS,SG,10,0,100,5.0,9.0,0.556,4.0,7.5,0.533,1.0,1.5,0.667,0.778,0.5,0.5,1.000,2.5,8.0,10.5,2.0,1.5,0.5,1.0,4.0,14.5,152,114,,scheiba01
315,Trayce Jackson-Davis,25,GSW,C,9,0,100,7.2,13.4,0.536,0.0,0.0,,7.2,13.4,0.536,0.536,3.8,5.3,0.727,4.8,5.3,10.0,5.3,1.4,1.9,3.3,8.1,18.2,117,113,,jackstr02
316,Robert Williams,28,POR,C,8,0,100,7.5,12.2,0.615,0.5,1.4,0.333,7.0,10.8,0.652,0.635,0.0,0.5,0.000,7.0,7.5,14.5,2.8,2.3,2.3,0.9,3.7,15.4,141,114,,williro04
317,Kobe Sanders,23,LAC,SG,6,1,100,7.0,17.0,0.412,4.0,10.5,0.381,3.0,6.5,0.462,0.529,3.0,3.5,0.857,2.5,2.5,5.0,4.0,2.0,0.0,3.0,7.0,20.9,111,123,,sandeko01
318,Dominick Barlow,22,PHI,PF,4,3,100,5.8,10.6,0.545,1.0,3.4,0.286,4.8,7.2,0.667,0.591,2.9,3.9,0.750,5.3,4.8,10.1,3.9,1.4,1.4,3.4,4.8,15.4,120,117,,barlodo01
319,Pat Spencer,29,GSW,PG,9,0,99,6.8,19.3,0.350,2.4,6.3,0.385,4.3,13.0,0.333,0.413,5.3,5.8,0.917,1.9,4.3,6.3,7.7,2.9,0.5,2.4,3.9,21.2,110,113,,spencpa01
320,Javon Small,23,MEM,PG,8,0,99,4.7,13.3,0.357,2.8,9.0,0.316,1.9,4.3,0.444,0.464,3.8,4.7,0.800,0.5,3.3,3.8,10.4,0.0,0.5,3.8,3.3,16.1,106,123,,smallja01
321,Kevon Looney,29,NOP,C,7,6,99,4.0,11.4,0.348,0.5,3.0,0.167,3.5,8.4,0.412,0.370,1.5,3.0,0.500,6.4,6.9,13.4,5.4,1.0,2.0,2.5,6.9,9.9,102,123,,looneke01
322,Kevin Love,37,UTA,PF,7,0,99,4.3,12.0,0.360,2.9,10.1,0.286,1.4,1.9,0.750,0.480,4.8,5.8,0.833,2.4,12.0,14.4,8.6,0.0,1.0,3.4,3.8,16.3,118,119,,loveke01
323,Blake Wesley,22,POR,SG,6,0,98,6.7,16.2,0.412,1.0,4.8,0.200,5.7,11.4,0.500,0.441,2.9,4.8,0.600,1.0,5.7,6.7,9.1,4.8,0.5,3.3,6.7,17.2,104,112,,weslebl01
324,Bennedict Mathurin,23,IND,SF,3,3,98,11.5,22.6,0.511,3.8,9.1,0.421,7.7,13.5,0.571,0.596,14.9,19.2,0.775,1.4,6.7,8.2,3.4,0.5,0.0,4.3,5.3,41.9,124,122,,mathube01
325,Cody Williams,21,UTA,SG,8,0,97,4.4,12.2,0.360,1.0,5.4,0.182,3.4,6.9,0.500,0.400,0.5,1.5,0.333,1.0,2.9,3.9,2.0,1.0,0.5,1.5,6.4,10.3,86,123,,willico04
326,Ben Saraf,19,BRK,SG,7,5,97,3.5,13.6,0.259,1.5,6.5,0.231,2.0,7.0,0.286,0.315,3.0,4.0,0.750,1.5,5.0,6.5,8.5,1.0,0.0,4.5,6.5,11.5,85,126,,sarafbe01
327,Pat Connaughton,33,CHO,SG,10,0,94,6.7,14.4,0.464,3.1,8.7,0.353,3.6,5.6,0.636,0.571,3.1,4.6,0.667,1.5,8.2,9.7,3.1,2.1,0.5,1.5,2.1,19.5,122,118,,connapa01
328,Nigel Hayes-Davis,31,PHO,SF,11,0,93,4.7,10.9,0.429,0.5,4.2,0.125,4.2,6.8,0.615,0.452,0.0,0.0,,2.6,4.2,6.8,2.6,2.6,0.0,2.6,4.7,9.9,93,116,,hayesni01
329,Isaiah Livers,27,PHO,PF,8,0,92,3.7,8.4,0.438,2.6,7.4,0.357,1.1,1.1,1.000,0.594,1.6,1.6,1.000,2.1,5.3,7.4,2.1,1.1,1.6,0.5,3.2,11.6,141,117,,liveris01
330,Taelon Peter,23,IND,SG,10,0,90,3.1,12.6,0.250,2.6,11.5,0.227,0.5,1.0,0.500,0.354,1.6,1.6,1.000,2.1,5.2,7.3,6.8,1.0,1.0,4.2,2.6,10.5,84,120,,peterta01
331,KJ Simpson,23,CHO,PG,6,0,90,7.0,19.8,0.351,2.7,7.5,0.357,4.3,12.3,0.348,0.419,1.6,2.1,0.750,1.6,5.9,7.5,9.6,2.1,0.0,5.4,4.3,18.2,93,119,,simpskj01
332,Nick Smith Jr.,21,LAL,SG,6,0,90,8.6,19.8,0.432,4.3,9.7,0.444,4.3,10.2,0.421,0.541,1.1,1.6,0.667,0.0,3.2,3.2,7.0,1.6,0.5,5.4,2.1,22.5,97,118,,smithni01
333,Sidy Cissoko,21,POR,SF,8,0,89,3.7,7.9,0.467,0.5,2.6,0.200,3.2,5.3,0.600,0.500,2.1,3.7,0.571,3.2,3.7,6.8,3.2,1.1,0.0,1.1,8.4,10.0,122,122,,cissosi01
334,Branden Carlson,26,OKC,C,10,0,86,7.3,16.9,0.433,2.3,8.5,0.267,5.1,8.5,0.600,0.500,1.1,2.3,0.500,3.4,8.5,11.8,2.8,1.1,3.4,1.7,5.6,18.0,108,103,,carlsbr01
335,Julian Phillips,22,CHI,SF,12,0,84,5.0,13.4,0.375,1.7,6.7,0.250,3.4,6.7,0.500,0.438,0.0,0.0,,3.9,2.2,6.2,1.1,2.8,1.7,0.6,3.9,11.7,104,117,,phillju01
336,Jett Howard,22,ORL,SF,10,0,84,5.7,16.6,0.345,4.6,12.6,0.364,1.1,4.0,0.286,0.483,0.0,0.0,,0.6,2.9,3.4,4.0,0.6,1.7,0.6,2.9,16.0,110,117,,howarje01
337,Tidjane Salaün,20,CHO,PF,7,0,83,4.1,11.0,0.368,2.3,7.0,0.333,1.7,4.1,0.429,0.474,2.3,3.5,0.667,2.9,11.6,14.5,2.9,1.2,0.6,1.7,4.6,12.8,111,118,,salauti01
338,Obi Toppin,27,IND,PF,3,0,82,8.6,20.7,0.417,1.7,9.8,0.176,6.9,10.9,0.632,0.458,5.2,5.2,1.000,1.7,9.8,11.5,2.9,1.7,0.0,3.5,4.0,24.2,102,118,,toppiob01
339,Asa Newell,20,ATL,PF,8,0,80,9.4,18.9,0.500,4.7,9.4,0.500,4.7,9.4,0.500,0.625,4.1,5.3,0.778,5.3,4.7,10.0,0.6,2.4,1.8,2.4,6.5,27.7,122,112,,newelas01
340,Dereck Lively II,21,DAL,C,5,3,80,5.2,8.2,0.643,0.0,0.0,,5.2,8.2,0.643,0.643,2.3,3.5,0.667,3.5,9.9,13.4,5.8,1.7,4.1,4.7,8.7,12.8,107,106,,livelde01
341,Spencer Jones,24,DEN,SF,9,0,78,3.1,5.6,0.556,1.2,3.1,0.400,1.9,2.5,0.750,0.667,1.9,2.5,0.750,1.2,0.0,1.2,2.5,3.7,0.6,3.7,7.4,9.3,99,112,,jonessp01
342,Gui Santos,23,GSW,PF,12,0,77,5.6,13.0,0.429,3.1,9.9,0.313,2.5,3.1,0.800,0.548,0.6,1.2,0.500,5.0,5.0,9.9,1.2,2.5,0.0,3.1,9.3,14.9,103,114,,santogu01
343,Olivier-Maxence Prosper,23,MEM,PF,9,0,76,6.2,12.3,0.500,0.0,3.1,0.000,6.2,9.3,0.667,0.500,9.9,9.9,1.000,3.7,7.4,11.1,3.1,0.6,0.6,2.5,2.5,22.2,132,119,,prospol01
344,Gary Harris,31,MIL,SG,8,0,76,5.0,10.7,0.471,2.5,6.3,0.400,2.5,4.4,0.571,0.588,0.0,0.0,,0.6,1.9,2.5,2.5,3.1,1.3,1.3,3.8,12.6,112,117,,harriga01
345,Chris Boucher,33,BOS,PF,7,0,76,4.6,14.5,0.318,0.7,7.9,0.083,3.9,6.6,0.600,0.341,1.3,1.3,1.000,1.3,9.9,11.2,1.3,2.6,3.3,0.7,9.9,11.2,89,107,,bouchch01
346,Nae'Qwan Tomlin,25,CLE,PF,6,0,76,8.6,16.7,0.519,0.0,4.9,0.000,8.6,11.7,0.737,0.519,5.6,6.2,0.900,7.4,4.9,12.3,2.5,3.7,3.1,1.2,9.3,22.8,133,107,,tomlina01
347,Jordan McLaughlin,29,SAS,PG,8,0,74,6.5,15.7,0.417,3.3,9.8,0.333,3.3,5.9,0.556,0.521,2.0,2.0,1.000,2.0,2.0,3.9,6.5,4.6,0.0,1.3,4.6,18.3,127,110,,mclaujo01
348,Maxime Raynaud,22,SAC,C,6,0,74,5.7,14.6,0.391,0.0,1.9,0.000,5.7,12.7,0.450,0.391,5.1,5.7,0.889,4.4,9.5,13.9,2.5,1.3,1.3,3.8,3.8,16.5,96,120,,raynama01
349,Jamison Battle,24,TOR,SF,10,0,73,9.7,13.6,0.714,7.1,9.7,0.733,2.6,3.9,0.667,0.976,0.0,0.0,,0.6,6.5,7.1,1.3,1.3,0.6,2.6,3.2,26.6,140,115,,battlja01
350,Jericho Sims,27,MIL,C,10,0,73,2.6,3.9,0.667,0.0,0.0,,2.6,3.9,0.667,0.667,2.0,2.6,0.750,5.2,6.5,11.8,2.6,0.7,1.3,2.6,3.9,7.2,128,119,,simsje01
351,Darius Garland,26,CLE,PG,3,3,73,7.7,23.1,0.333,4.5,12.2,0.368,3.2,10.9,0.294,0.431,5.1,5.1,1.000,1.9,3.9,5.8,9.6,1.9,0.0,3.2,3.9,25.1,111,116,,garlada01
352,Gabe Vincent,29,LAL,PG,3,3,72,2.0,8.7,0.231,1.3,6.7,0.200,0.7,2.0,0.333,0.308,2.0,2.0,1.000,0.7,1.3,2.0,4.7,2.0,0.0,1.3,4.7,7.4,96,119,,vincega01
353,Duop Reath,29,POR,C,9,0,71,8.6,14.5,0.591,7.9,13.2,0.600,0.7,1.3,0.500,0.864,0.0,0.0,,0.7,3.3,4.0,2.6,0.0,0.7,0.7,4.6,25.0,166,124,,reathdu01
354,Julian Strawther,23,DEN,SG,9,0,71,7.5,20.4,0.367,1.4,10.9,0.125,6.1,9.5,0.643,0.400,6.1,8.8,0.692,0.0,9.5,9.5,2.7,0.0,0.7,2.0,4.1,22.4,97,115,,strawju01
355,Tyler Kolek,24,NYK,PG,10,0,67,7.1,17.1,0.417,2.1,9.3,0.231,5.0,7.9,0.636,0.479,0.0,0.0,,1.4,2.1,3.6,9.3,0.7,0.0,4.3,6.4,16.4,101,121,,kolekty01
356,Chris Youngblood,23,OKC,SG,13,0,66,2.9,11.0,0.267,2.9,10.3,0.286,0.0,0.7,0.000,0.400,4.4,4.4,1.000,1.5,3.7,5.1,1.5,0.7,0.0,0.0,8.1,13.2,122,111,,youngch01
357,Devin Carter,23,SAC,PG,8,0,65,3.6,15.1,0.238,1.4,7.9,0.182,2.2,7.2,0.300,0.286,3.6,3.6,1.000,2.2,6.5,8.7,6.5,4.3,0.7,4.3,5.8,12.3,80,115,,cartede02
358,Monte Morris,30,IND,PG,6,0,65,5.1,14.5,0.350,1.5,5.8,0.250,3.6,8.7,0.417,0.400,1.5,2.9,0.500,0.7,4.4,5.1,6.5,0.7,0.7,1.5,2.2,13.1,98,122,,morrimo01
359,Will Riley,19,WAS,SF,9,0,64,5.8,13.2,0.444,0.7,2.9,0.250,5.1,10.2,0.500,0.472,2.2,4.4,0.500,2.2,8.0,10.2,5.1,1.5,0.0,1.5,1.5,14.6,108,124,,rileywi01
360,Elijah Harkless,25,UTA,SG,6,0,63,3.0,8.3,0.364,1.5,5.3,0.286,1.5,3.0,0.500,0.455,2.3,3.8,0.600,1.5,3.0,4.5,3.0,2.3,0.0,2.3,7.5,9.8,99,121,,harklej01
361,Thomas Bryant,28,CLE,C,9,0,61,7.7,17.7,0.435,0.0,8.5,0.000,7.7,9.2,0.833,0.435,0.0,2.3,0.000,3.8,9.2,13.1,0.8,2.3,2.3,0.8,4.6,15.4,93,109,,bryanth01
362,Xavier Tillman Sr.,27,BOS,C,7,0,61,7.4,14.7,0.500,1.6,6.5,0.250,5.7,8.2,0.700,0.556,0.0,0.0,,5.7,8.2,13.9,3.3,2.5,0.8,0.8,5.7,16.4,131,111,,tillmxa01
363,Kobe Brown,26,LAC,PF,7,0,60,4.2,9.1,0.455,0.8,5.0,0.167,3.3,4.2,0.800,0.500,3.3,3.3,1.000,3.3,9.1,12.5,5.8,0.0,0.0,2.5,1.7,12.5,123,123,,brownko01
364,Tristan Vukcevic,22,WAS,C,10,0,59,7.9,17.4,0.455,2.4,7.9,0.300,5.5,9.5,0.583,0.523,4.8,7.9,0.600,0.8,6.3,7.1,3.2,0.8,3.2,4.0,4.8,23.0,98,123,,vukcetr01
365,Dalen Terry,23,CHI,SG,8,0,59,4.8,10.3,0.462,1.6,4.0,0.400,3.2,6.4,0.500,0.538,2.4,4.8,0.500,0.0,4.8,4.8,6.4,0.8,1.6,1.6,4.8,13.5,115,120,,terryda01
366,Aaron Holiday,29,HOU,PG,7,0,58,8.5,15.3,0.556,4.3,9.4,0.455,4.3,6.0,0.714,0.694,6.8,7.7,0.889,0.0,3.4,3.4,6.0,0.9,0.9,4.3,4.3,28.1,135,119,,holidaa01
367,T.J. McConnell,33,IND,PG,4,0,58,9.8,28.5,0.343,0.8,4.9,0.167,8.9,23.6,0.379,0.357,0.8,0.8,1.000,0.8,2.4,3.3,7.3,2.4,0.0,0.8,4.1,21.1,90,120,,mccontj01
368,Ariel Hukporti,23,NYK,C,8,2,56,3.4,6.8,0.500,0.0,0.0,,3.4,6.8,0.500,0.500,0.0,0.0,,6.0,8.5,14.5,4.3,0.9,1.7,4.3,7.7,6.8,99,115,,hukpoar01
369,Jevon Carter,30,CHI,PG,4,0,56,8.4,17.6,0.476,8.4,14.3,0.588,0.0,3.4,0.000,0.714,1.7,1.7,1.000,1.7,4.2,5.9,5.9,1.7,0.0,1.7,2.5,26.8,141,120,,carteje01
370,Cody Martin,30,IND,SF,4,0,55,1.7,8.6,0.200,0.0,4.3,0.000,1.7,4.3,0.400,0.200,2.6,5.1,0.500,0.9,11.1,12.0,1.7,3.4,1.7,3.4,4.3,6.0,55,111,,martico01
371,Carter Bryant,20,SAS,PF,8,0,54,5.4,18.8,0.286,1.8,9.8,0.182,3.6,8.9,0.400,0.333,2.7,2.7,1.000,0.0,7.2,7.2,0.0,1.8,0.9,3.6,4.5,15.2,70,112,,bryanca01
372,Jalen Pickett,26,DEN,SG,7,1,53,6.4,13.6,0.467,2.7,6.4,0.429,3.6,7.3,0.500,0.567,0.9,0.9,1.000,1.8,4.5,6.4,6.4,0.0,0.0,3.6,3.6,16.4,111,119,,pickeja02
373,Bobi Klintman,22,DET,SF,6,0,53,6.3,18.9,0.333,2.7,9.9,0.273,3.6,9.0,0.400,0.405,0.0,2.7,0.000,4.5,9.9,14.4,3.6,1.8,0.0,4.5,8.1,15.3,81,110,,klintbo01
374,Matisse Thybulle,28,POR,SG,4,0,49,5.7,9.5,0.600,3.8,5.7,0.667,1.9,3.8,0.500,0.800,3.8,3.8,1.000,0.0,3.8,3.8,2.9,9.5,0.0,1.0,6.7,19.1,164,103,,thybuma01
375,Kyle Anderson,32,UTA,SF,3,0,49,7.8,16.5,0.471,0.0,0.0,,7.8,16.5,0.471,0.471,4.8,6.8,0.714,2.9,3.9,6.8,8.7,1.0,0.0,2.9,5.8,20.4,115,123,,anderky01
376,Jordan Miller,26,LAC,SF,3,0,49,8.1,16.3,0.500,5.1,9.2,0.556,3.1,7.1,0.429,0.656,7.1,8.1,0.875,3.1,5.1,8.1,3.1,1.0,0.0,3.1,2.0,28.5,133,123,,millejo02
377,Maxi Kleber,34,LAL,PF,3,0,48,2.0,4.0,0.500,2.0,3.0,0.667,0.0,1.0,0.000,0.750,1.0,2.0,0.500,2.0,5.0,7.0,4.0,1.0,2.0,0.0,6.0,7.0,171,117,,klebima01
378,Noah Penda,21,ORL,SF,7,0,47,6.1,11.2,0.545,2.0,2.0,1.000,4.1,9.2,0.444,0.636,3.1,4.1,0.750,6.1,7.1,13.3,6.1,1.0,2.0,3.1,6.1,17.4,132,113,,pendano01
379,Luke Travers,24,CLE,SG,6,0,47,2.0,16.0,0.125,0.0,6.0,0.000,2.0,10.0,0.200,0.125,6.0,6.0,1.000,4.0,7.0,11.0,4.0,3.0,4.0,1.0,2.0,10.0,84,107,,travelu01
380,Bismack Biyombo,33,SAS,C,6,0,46,1.0,2.1,0.500,0.0,0.0,,1.0,2.1,0.500,0.500,0.0,0.0,,2.1,4.2,6.3,2.1,3.1,1.0,2.1,9.4,2.1,91,110,,biyombi01
381,Caleb Love,24,POR,SG,5,0,45,7.3,26.0,0.280,3.1,15.6,0.200,4.2,10.4,0.400,0.340,0.0,0.0,,1.0,9.4,10.4,8.3,1.0,0.0,1.0,2.1,17.7,93,119,,loveca01
382,Ryan Nembhard,22,DAL,PG,5,0,45,7.3,15.5,0.467,0.0,4.1,0.000,7.3,11.4,0.636,0.467,2.1,3.1,0.667,1.0,0.0,1.0,9.3,0.0,0.0,6.2,3.1,16.6,89,121,,nembhry01
383,Bryce McGowens,23,NOP,SG,6,0,43,5.7,14.8,0.385,0.0,2.3,0.000,5.7,12.5,0.455,0.385,9.1,11.4,0.800,0.0,4.6,4.6,3.4,2.3,0.0,1.1,4.6,20.5,114,124,,mcgowbr01
384,Wendell Moore Jr.,24,DET,SG,3,0,43,3.3,6.6,0.500,0.0,1.1,0.000,3.3,5.5,0.600,0.500,0.0,0.0,,1.1,3.3,4.4,3.3,2.2,1.1,1.1,1.1,6.6,110,113,,moorewe01
385,Lindy Waters III,28,SAS,SG,5,0,41,5.9,11.8,0.500,5.9,11.8,0.500,0.0,0.0,,0.750,0.0,0.0,,0.0,4.7,4.7,3.5,0.0,0.0,0.0,4.7,17.7,159,119,,waterli01
386,Rayan Rupert,21,POR,SG,7,0,40,2.3,10.5,0.222,1.2,7.0,0.167,1.2,3.5,0.333,0.278,1.2,2.3,0.500,1.2,8.2,9.4,2.3,2.3,0.0,1.2,8.2,7.0,78,116,,ruperra01
387,Brandon Miller,23,CHO,SF,2,2,40,12.0,30.1,0.400,2.4,13.2,0.182,9.6,16.9,0.571,0.440,8.4,12.0,0.700,0.0,0.0,0.0,9.6,1.2,1.2,3.6,6.0,34.9,107,123,,millebr02
388,Jae'Sean Tate,30,HOU,SF,7,0,39,5.1,13.9,0.364,0.0,3.8,0.000,5.1,10.1,0.500,0.364,0.0,0.0,,1.3,6.3,7.6,1.3,1.3,0.0,1.3,7.6,10.1,87,117,,tateja01
389,AJ Johnson,21,WAS,SG,8,0,38,2.5,13.5,0.182,0.0,2.5,0.000,2.5,11.1,0.222,0.182,3.7,4.9,0.750,2.5,3.7,6.2,4.9,0.0,0.0,1.2,3.7,8.6,79,130,,johnsaj01
390,Joan Beringer,19,MIN,PF,9,0,37,10.3,14.1,0.727,0.0,0.0,,10.3,14.1,0.727,0.727,2.6,3.8,0.667,2.6,12.8,15.4,0.0,1.3,2.6,2.6,11.5,23.1,124,108,,berinjo01
391,Leonard Miller,22,MIN,SF,8,0,37,7.7,15.4,0.500,0.0,6.4,0.000,7.7,9.0,0.857,0.500,3.8,6.4,0.600,1.3,12.8,14.1,5.1,2.6,0.0,5.1,7.7,19.2,95,108,,millele01
392,Kelly Olynyk,34,SAS,C,4,0,37,6.5,10.4,0.625,1.3,1.3,1.000,5.2,9.1,0.571,0.688,0.0,0.0,,6.5,7.8,14.3,17.0,0.0,0.0,3.9,6.5,14.3,145,117,,olynyke01
393,Johnny Furphy,21,IND,SG,3,0,37,3.8,7.6,0.500,2.5,3.8,0.667,1.3,3.8,0.333,0.667,0.0,0.0,,1.3,6.4,7.6,0.0,2.5,0.0,3.8,5.1,10.2,84,118,,furphjo01
394,Rasheer Fleming,21,PHO,PF,7,0,36,6.7,20.2,0.333,2.7,12.1,0.222,4.0,8.1,0.500,0.400,0.0,0.0,,5.4,2.7,8.1,2.7,1.3,1.3,1.3,6.7,16.2,100,118,,flemira01
