"Name","TeamAbbreviation","GamesPlayed","Minutes","OffPoss","Points","FG2M","FG2A","Fg2Pct","FG3M","FG3A","Fg3Pct","NonHeaveFg3Pct","FtPoints","PtsAssisted2s","PtsUnassisted2s","PtsAssisted3s","PtsUnassisted3s","Assisted2sPct","NonPutbacksAssisted2sPct","Assisted3sPct","FG3APct","ShotQualityAvg","EfgPct","TsPct","PtsPutbacks","Fg2aBlocked","FG2APctBlocked","Fg3aBlocked","FG3APctBlocked","Usage"
"Franz Wagner","ORL",15,538,1123,30.45414069456812,7.836153161175423,15.494211932324133,0.5057471264367817,2.226179875333927,6.500445235975067,0.3424657534246575,0.3424657534246575,8.103294746215495,8.192341941228852,7.479964381121994,5.609973285841496,1.068566340160285,0.5227272727272727,0.5476190476190477,0.84,0.29554655870445345,0.5457939271255061,0.5080971659919028,0.5721476510067114,0.7123775601068566,1.335707925200356,0.08620689655172414,0,0,25.465838509316768
"Devin Booker","PHX",15,530,1117,37.33213965980304,10.205908683974933,18.442256042972247,0.5533980582524272,2.596239928379588,7.520143240823635,0.34523809523809523,0.34523809523809523,9.131602506714414,6.624888093106535,13.786929274843331,5.102954341987466,2.6857654431512983,0.32456140350877194,0.33636363636363636,0.6551724137931034,0.2896551724137931,0.498395,0.5431034482758621,0.612759643916914,0.7162041181736795,1.3428827215756491,0.07281553398058252,0,0,30.307692307692307
"Tyrese Maxey","PHI",13,525,1071,39.49579831932773,8.403361344537815,17.366946778711483,0.4838709677419355,4.6685340802987865,11.297852474323063,0.4132231404958678,0.4132231404958678,8.683473389355742,6.349206349206349,10.457516339869281,9.803921568627452,4.201680672268908,0.37777777777777777,0.38202247191011235,0.7,0.3941368078175896,0.5231758957654723,0.5374592833876222,0.5909090909090909,0.18674136321195145,1.1204481792717087,0.06451612903225806,0.2801120448179272,0.024793388429752067,30.954290296712106
"Cooper Flagg","DAL",15,505,1067,21.836925960637302,6.841611996251172,13.120899718837864,0.5214285714285715,1.5932521087160263,5.435801312089972,0.29310344827586204,0.29310344827586204,3.373945641986879,4.498594189315839,9.184629803186505,3.655107778819119,1.1246485473289598,0.3287671232876712,0.3333333333333333,0.7647058823529411,0.29292929292929293,0.5183451530612245,0.49747474747474746,0.5344036697247706,0.18744142455482662,1.0309278350515463,0.07857142857142857,0.09372071227741331,0.017241379310344827,20.934111759799833
"Lauri Markkanen","UTA",14,502,1058,40.54820415879017,8.88468809073724,15.689981096408317,0.5662650602409639,4.914933837429111,12.759924385633271,0.3851851851851852,0.3851851851851852,8.034026465028356,13.799621928166351,3.9697542533081287,13.610586011342155,1.1342155009451795,0.776595744680851,0.8488372093023255,0.9230769230769231,0.4485049833887043,0.5221353820598006,0.5714285714285714,0.6228070175438597,1.5122873345935728,1.2287334593572778,0.0783132530120482,0.0945179584120983,0.007407407407407408,28.833865814696487
"Shai Gilgeous-Alexander","OKC",15,499,1041,46.01344860710855,12.199807877041307,20.653218059558117,0.5906976744186047,3.266090297790586,8.45341018251681,0.38636363636363635,0.38636363636363635,11.815561959654179,4.226705091258405,20.172910662824208,2.3054755043227666,7.492795389048991,0.1732283464566929,0.1746031746031746,0.23529411764705882,0.29042904290429045,0.5101541254125412,0.5874587458745875,0.6606145251396648,0.19212295869356388,0.9606147934678194,0.046511627906976744,0,0,32.820512820512825
"Trey Murphy III","NOP",14,498,1031,26.77012609117362,5.33462657613967,9.50533462657614,0.5612244897959183,3.8797284190106693,10.281280310378273,0.37735849056603776,0.37735849056603776,4.461687681862269,6.789524733268671,3.8797284190106693,9.602327837051407,2.0368574199806013,0.6363636363636364,0.7142857142857143,0.825,0.5196078431372549,0.5454059113300492,0.5637254901960784,0.609375,1.1639185257032008,0.7759456838021338,0.08163265306122448,0.2909796314258002,0.02830188679245283,21.308724832214764
"Dyson Daniels","ATL",15,497,1041,12.87223823246878,5.379442843419788,10.470701248799232,0.5137614678899083,0.2881844380403458,1.2487992315081653,0.23076923076923078,0.23076923076923078,1.2487992315081653,5.95581171950048,4.803073967339097,0.8645533141210374,0,0.5535714285714286,0.6078431372549019,1,0.10655737704918032,0.5437262295081967,0.4959016393442623,0.5114503816793893,0.9606147934678194,0.6724303554274735,0.06422018348623854,0,0,13.919726729291202
"Desmond Bane","ORL",15,494,1029,24.68415937803693,6.705539358600583,13.216715257531584,0.5073529411764706,2.2351797862001943,7.288629737609329,0.30666666666666664,0.30666666666666664,4.567541302235179,6.997084548104956,6.41399416909621,4.373177842565598,2.3323615160349855,0.5217391304347826,0.5538461538461539,0.6521739130434783,0.35545023696682465,0.513995971563981,0.490521327014218,0.5413043478260869,0.7774538386783285,1.554907677356657,0.11764705882352941,0,0,22.59983007646559
"Miles Bridges","CHA",14,493,1037,29.797492767598843,5.496624879459981,11.378977820636452,0.4830508474576271,4.435872709739634,12.246865959498553,0.36220472440944884,0.36220472440944884,5.496624879459981,5.400192864030858,5.593056894889103,12.15043394406943,1.1571841851494695,0.49122807017543857,0.5185185185185185,0.9130434782608695,0.5183673469387755,0.5215383673469388,0.5142857142857142,0.5597826086956522,0.5785920925747348,0.6750241080038573,0.059322033898305086,0,0,25.168350168350166
