"Name","TeamAbbreviation","GamesPlayed","Minutes","Turnovers","LiveBallTurnovers","DeadBallTurnovers","LiveBallTurnoverPct","LostBallTurnovers","LostBallOutOfBoundsTurnovers","BadPassTurnovers","BadPassOutOfBoundsTurnovers","Travels","3SecondViolations","StepOutOfBoundsTurnovers","OffensiveGoaltends"
"Franz Wagner","ORL",15,538,2.671415850400712,1.6918967052537845,0.9795191451469278,0.6333333333333333,0.8904719501335708,0.17809439002671415,0.8014247551202137,0.3561887800534283,0.3561887800534283,0,0,0
"Devin Booker","PHX",15,530,5.102954341987466,3.6705461056401076,1.432408236347359,0.7192982456140351,1.611459265890779,0.35810205908683973,2.0590868397493285,0.26857654431512984,0.26857654431512984,0,0,0
"Tyrese Maxey","PHI",13,525,3.1746031746031744,2.0541549953314657,1.1204481792717087,0.6470588235294118,0.9337068160597572,0.2801120448179272,1.1204481792717087,0.3734827264239029,0.09337068160597572,0,0,0
"Cooper Flagg","DAL",15,505,3.0927835051546393,1.8744142455482662,1.218369259606373,0.6060606060606061,0.9372071227741331,0.09372071227741331,0.9372071227741331,0.37488284910965325,0.28116213683223995,0,0.18744142455482662,0
"Lauri Markkanen","UTA",14,502,1.7958412098298677,1.3232514177693762,0.4725897920604915,0.7368421052631579,0.5671077504725898,0.2835538752362949,0.7561436672967864,0,0,0,0,0
"Shai Gilgeous-Alexander","OKC",15,499,2.4975984630163306,1.633045148895293,0.8645533141210374,0.6538461538461539,0.4803073967339097,0.09606147934678194,1.1527377521613833,0.2881844380403458,0.19212295869356388,0,0.09606147934678194,0
"Trey Murphy III","NOP",14,498,2.909796314258002,1.7458777885548011,1.1639185257032008,0.6,0.6789524733268671,0.09699321047526673,1.066925315227934,0.6789524733268671,0,0,0,0.09699321047526673
"Dyson Daniels","ATL",15,497,3.073967339097022,2.3054755043227666,0.7684918347742555,0.75,0.9606147934678194,0,1.344860710854947,0.09606147934678194,0.2881844380403458,0,0.09606147934678194,0.09606147934678194
"Desmond Bane","ORL",15,494,3.498542274052478,1.554907677356657,1.9436345966958213,0.4444444444444444,0.38872691933916426,0.2915451895043732,1.1661807580174928,0.38872691933916426,0.38872691933916426,0,0,0
"Miles Bridges","CHA",14,493,2.217936354869817,1.5429122468659595,0.6750241080038573,0.6956521739130435,0.3857280617164899,0,1.1571841851494695,0.4821600771456123,0,0,0,0.09643201542912247
"Derrick White","BOS",15,493,2.1384928716904277,1.3238289205702647,0.814663951120163,0.6190476190476191,0.5091649694501018,0.20366598778004075,0.814663951120163,0.4073319755600815,0,0,0,0
"VJ Edgecombe","PHI",13,485,2.414486921529175,1.8108651911468814,0.6036217303822937,0.75,0.704225352112676,0.2012072434607646,1.1066398390342052,0.1006036217303823,0.30181086519114686,0,0,0
"Duncan Robinson","DET",15,482,1.0967098703888336,0.6979062811565304,0.3988035892323031,0.6363636363636364,0.09970089730807577,0.19940179461615154,0.5982053838484547,0,0.09970089730807577,0,0,0
"Payton Pritchard","BOS",15,482,2.158273381294964,1.2332990750256938,0.9249743062692704,0.5714285714285714,0.41109969167523125,0.30832476875642345,0.8221993833504625,0.20554984583761562,0.20554984583761562,0,0,0
"Keyonte George","UTA",14,482,4.667328699106256,2.9791459781529297,1.6881827209533267,0.6382978723404256,1.1916583912611718,0.3972194637537239,1.7874875868917577,0.3972194637537239,0.09930486593843098,0,0,0
"Toumani Camara","POR",14,482,2.9411764705882355,2.156862745098039,0.7843137254901961,0.7333333333333333,0.39215686274509803,0,1.7647058823529411,0.6862745098039216,0,0,0,0
"Jaylen Brown","BOS",15,481,5.486542443064182,2.691511387163561,2.7950310559006213,0.49056603773584906,1.3457556935817805,0.5175983436853002,1.3457556935817805,0.4140786749482402,0.6211180124223602,0,0.10351966873706005,0
"Evan Mobley","CLE",14,479,3.7848605577689245,2.689243027888446,1.095617529880478,0.7105263157894737,1.593625498007968,0.398406374501992,1.095617529880478,0.29880478087649404,0.199203187250996,0,0,0
"DeMar DeRozan","SAC",14,476,1.3916500994035785,1.0934393638170974,0.2982107355864811,0.7857142857142857,0.1988071570576541,0,0.8946322067594433,0,0.09940357852882704,0,0,0
"Rui Hachimura","LAL",14,475,1.6016016016016017,0.6006006006006006,1.001001001001001,0.375,0.2002002002002002,0.1001001001001001,0.4004004004004004,0.3003003003003003,0,0,0,0
"Deni Avdija","POR",14,473,4.780876494023905,3.2868525896414345,1.4940239043824701,0.6875,1.6932270916334662,0.49800796812749004,1.593625498007968,0.398406374501992,0.099601593625498,0,0,0
"James Harden","LAC",13,470,5.246589716684155,4.197271773347325,1.0493179433368311,0.8,1.154249737670514,0,3.04302203567681,0.5246589716684156,0.1049317943336831,0,0,0
"Jimmy Butler III","GSW",15,469,2.579979360165119,1.6511867905056758,0.9287925696594427,0.64,0.41279669762641896,0.20639834881320948,1.238390092879257,0.30959752321981426,0.10319917440660474,0,0.10319917440660474,0
"Brandon Ingram","TOR",14,468,3.7716615698267075,2.4464831804281344,1.325178389398573,0.6486486486486487,1.1213047910295617,0.2038735983690112,1.325178389398573,0.3058103975535168,0.3058103975535168,0,0.1019367991845056,0
"Devin Vassell","SAS",14,465,1.654601861427094,1.0341261633919339,0.6204756980351603,0.625,0.31023784901758017,0,0.7238883143743536,0.31023784901758017,0,0,0,0
"Ryan Rollins","MIL",15,464,3.8702928870292888,2.719665271966527,1.1506276150627615,0.7027027027027027,1.0460251046025104,0.20920502092050208,1.6736401673640167,0.7322175732217573,0.10460251046025104,0,0,0
"Julius Randle","MIN",14,464,3.593429158110883,1.540041067761807,2.0533880903490758,0.42857142857142855,0.5133470225872689,0.6160164271047228,1.0266940451745379,0.8213552361396304,0.2053388090349076,0,0,0
"Andrew Wiggins","MIA",14,461,2.8855721393034828,2.08955223880597,0.7960199004975125,0.7241379310344828,1.3930348258706469,0.09950248756218906,0.6965174129353234,0.19900497512437812,0.09950248756218906,0,0,0
"Kon Knueppel","CHA",14,460,3.615702479338843,2.37603305785124,1.2396694214876034,0.6571428571428571,0.9297520661157025,0.4132231404958678,1.4462809917355373,0.4132231404958678,0.2066115702479339,0,0,0
"Mikal Bridges","NYK",13,456,1.371308016877637,0.8438818565400844,0.5274261603375527,0.6153846153846154,0.2109704641350211,0,0.6329113924050633,0.10548523206751055,0.31645569620253167,0,0.10548523206751055,0
"Scottie Barnes","TOR",14,455,2.722513089005236,1.675392670157068,1.0471204188481675,0.6153846153846154,0.10471204188481675,0.10471204188481675,1.5706806282722514,0.31413612565445026,0.10471204188481675,0,0.10471204188481675,0
"Wendell Carter Jr.","ORL",15,454,3.2769556025369977,1.0570824524312896,2.219873150105708,0.3225806451612903,0.5285412262156448,0.10570824524312897,0.5285412262156448,0.5285412262156448,0.21141649048625794,0,0.21141649048625794,0
"Pascal Siakam","IND",13,454,3.361344537815126,1.7857142857142858,1.5756302521008403,0.53125,0.6302521008403361,0.10504201680672269,1.1554621848739495,0.21008403361344538,0.31512605042016806,0,0.10504201680672269,0
"Brandin Podziemski","GSW",16,452,2.025586353944563,0.8528784648187633,1.1727078891257996,0.42105263157894735,0.42643923240938164,0.21321961620469082,0.42643923240938164,0.31982942430703626,0.31982942430703626,0,0,0
"Myles Turner","MIL",15,449,2.2388059701492535,1.0660980810234542,1.1727078891257996,0.47619047619047616,0.5330490405117271,0.10660980810234541,0.5330490405117271,0.10660980810234541,0.10660980810234541,0,0.21321961620469082,0
"Nikola Jokić","DEN",13,448,4.311251314405888,3.259726603575184,1.0515247108307044,0.7560975609756098,1.0515247108307044,0,2.2082018927444795,0.4206098843322818,0,0,0,0
"Max Christie","DAL",15,447,1.7130620985010707,0.8565310492505354,0.8565310492505354,0.5,0.32119914346895073,0.10706638115631692,0.5353319057815846,0.32119914346895073,0,0,0.10706638115631692,0
"Royce O'Neale","PHX",15,444,2.3655913978494625,1.5053763440860215,0.8602150537634409,0.6363636363636364,0.3225806451612903,0.10752688172043011,1.1827956989247312,0.3225806451612903,0,0,0,0
"Onyeka Okongwu","ATL",15,444,2.8969957081545066,0.7510729613733905,2.1459227467811157,0.25925925925925924,0.3218884120171674,0.2145922746781116,0.4291845493562232,0.4291845493562232,0.5364806866952789,0,0.1072961373390558,0
"Donovan Mitchell","CLE",13,443,4.416403785488959,2.5236593059936907,1.8927444794952681,0.5714285714285714,0.6309148264984227,0.8412197686645636,1.8927444794952681,0.6309148264984227,0,0,0,0
"RJ Barrett","TOR",14,442,2.38353196099675,1.408450704225352,0.9750812567713976,0.5909090909090909,0.3250270855904659,0,1.0834236186348862,0.4333694474539545,0.21668472372697725,0,0.21668472372697725,0
"Alperen Sengun","HOU",12,442,4.479283314669653,3.135498320268757,1.343784994400896,0.7,0.8958566629339306,0.4479283314669653,2.2396416573348263,0.11198208286674133,0,0,0.11198208286674133,0
"Ivica Zubac","LAC",14,441,3.2768361581920904,1.694915254237288,1.5819209039548023,0.5172413793103449,0.5649717514124294,0.3389830508474576,1.1299435028248588,0.22598870056497175,0.11299435028248588,0,0,0
"Cade Cunningham","DET",12,441,4.684095860566448,3.812636165577342,0.8714596949891068,0.813953488372093,0.5446623093681917,0,3.2679738562091503,0.4357298474945534,0,0,0,0
"Rudy Gobert","MIN",14,439,2.6607538802660753,1.441241685144124,1.2195121951219512,0.5416666666666666,0.6651884700665188,0.11086474501108648,0.7760532150776053,0.4434589800443459,0,0,0,0
"Immanuel Quickley","TOR",14,439,2.741228070175439,1.644736842105263,1.0964912280701755,0.6,0.10964912280701754,0.10964912280701754,1.5350877192982457,0.32894736842105265,0.21929824561403508,0,0,0
"Jaden McDaniels","MIN",14,436,3.0033370411568407,1.3348164627363737,1.668520578420467,0.4444444444444444,0.778642936596218,0.22246941045606228,0.5561735261401557,0.5561735261401557,0,0,0.22246941045606228,0
"Jaren Jackson Jr.","MEM",15,435,3.5437430786267994,1.2181616832779623,2.3255813953488373,0.34375,0.5537098560354374,0.11074197120708748,0.6644518272425249,0.11074197120708748,0.11074197120708748,0,0,0
"Jalen Johnson","ATL",13,434,4.282655246252677,2.569593147751606,1.7130620985010707,0.6,0.8565310492505354,0.10706638115631692,1.7130620985010707,0.7494646680942184,0.21413276231263384,0,0,0
"Kevin Durant","HOU",12,433,4.031354983202688,2.9115341545352744,1.1198208286674132,0.7222222222222222,1.2318029115341544,0.335946248600224,1.6797312430011198,0.11198208286674133,0.11198208286674133,0,0,0
"Austin Reaves","LAL",12,433,4.5203969128996695,2.9768467475192946,1.543550165380375,0.6585365853658537,0.8820286659316428,0.33076074972436603,2.094818081587652,0.5512679162072768,0,0,0.11025358324145534,0
"Davion Mitchell","MIA",14,431,2.6652452025586353,1.812366737739872,0.8528784648187633,0.68,0.746268656716418,0,1.0660980810234542,0.6396588486140725,0,0,0,0
"Karl-Anthony Towns","NYK",13,430,3.7652270210409746,1.2181616832779623,2.547065337763012,0.3235294117647059,0.8859357696566998,0.11074197120708748,0.33222591362126247,0.22148394241417496,0.22148394241417496,0,0,0
"P.J. Washington","DAL",14,430,4.18041804180418,2.6402640264026402,1.54015401540154,0.631578947368421,1.21012101210121,0.11001100110011001,1.4301430143014302,0.77007700770077,0.11001100110011001,0,0.11001100110011001,0.11001100110011001
"Jake LaRavia","LAL",15,428,2.027027027027027,1.4639639639639639,0.5630630630630631,0.7222222222222222,0.33783783783783783,0,1.1261261261261262,0.33783783783783783,0.11261261261261261,0,0.11261261261261261,0
"Isaiah Hartenstein","OKC",15,427,3.644646924829157,1.7084282460136675,1.9362186788154898,0.46875,0.45558086560364464,0.11389521640091116,1.2528473804100229,0.3416856492027335,0,0,0,0.11389521640091116
"Amen Thompson","HOU",12,426,3.1431897555296855,1.6298020954598371,1.5133876600698486,0.5185185185185185,0.9313154831199069,0.11641443538998836,0.6984866123399301,0.6984866123399301,0.11641443538998836,0,0.11641443538998836,0.11641443538998836
"Dennis Schröder","SAC",14,426,3.0100334448160537,1.6722408026755853,1.3377926421404682,0.5555555555555556,0.6688963210702341,0.2229654403567447,1.0033444816053512,0.6688963210702341,0.2229654403567447,0,0,0
"Donte DiVincenzo","MIN",14,425,2.2598870056497176,1.3559322033898304,0.903954802259887,0.6,0.6779661016949152,0.11299435028248588,0.6779661016949152,0.5649717514124294,0,0,0,0
"Draymond Green","GSW",15,425,5.47945205479452,3.1963470319634704,2.2831050228310503,0.5833333333333334,0.3424657534246575,0.1141552511415525,2.853881278538813,0.7990867579908676,0,0,0,0
"Deandre Ayton","LAL",14,425,4.072398190045249,2.1493212669683257,1.9230769230769231,0.5277777777777778,1.4705882352941178,0,0.6787330316742082,0.3393665158371041,0.22624434389140272,0,0,0.11312217194570136
"Jaime Jaquez Jr.","MIA",14,424,2.912621359223301,1.8338727076591155,1.0787486515641855,0.6296296296296297,0.7551240560949298,0.10787486515641856,1.0787486515641855,0.32362459546925565,0.32362459546925565,0,0,0
"Michael Porter Jr.","BKN",13,424,3.3603707995365006,1.2746234067207416,2.085747392815759,0.3793103448275862,0.46349942062572425,0.23174971031286212,0.8111239860950173,0.23174971031286212,0.6952491309385863,0,0.23174971031286212,0
"Herbert Jones","NOP",14,423,2.880184331797235,1.8433179723502304,1.0368663594470047,0.64,0.4608294930875576,0.1152073732718894,1.3824884792626728,0.2304147465437788,0.2304147465437788,0,0.2304147465437788,0
"AJ Green","MIL",15,422,1.25,0.9090909090909091,0.3409090909090909,0.7272727272727273,0.22727272727272727,0.11363636363636363,0.6818181818181818,0,0,0,0,0
"Ajay Mitchell","OKC",15,421,2.840909090909091,1.9318181818181819,0.9090909090909091,0.68,0.5681818181818182,0.11363636363636363,1.3636363636363635,0.11363636363636363,0,0,0.11363636363636363,0
"Harrison Barnes","SAS",14,418,2.2274325908558033,1.2895662368112544,0.9378663540445487,0.5789473684210527,0.23446658851113716,0.46893317702227433,1.0550996483001172,0.11723329425556858,0,0,0,0
