"Name","TeamAbbreviation","GamesPlayed","Minutes","Fouls","ShootingFouls","Loose Ball Fouls","Loose Ball Fouls Drawn","Offensive Fouls","Charge Fouls","Offensive Fouls Drawn","Charge Fouls Drawn","BlockingFouls","BlockingFoulsDrawn","Clear Path Fouls","Transition Take Fouls","Transition Take Fouls Drawn","Defensive 3 Seconds Violations","FoulsDrawn"
"Franz Wagner","ORL",15,538,1.730257320319432,2.033598585322723,0.1768346595932803,0.08904719501335707,0,0.08904719501335707,0.7073386383731212,0.08841732979664015,0,0,0,0,0,0,7.034728406055209
"Devin Booker","PHX",15,530,1.8825638727028238,1.6157989228007181,0.3590664272890485,0,0.26857654431512984,0.08952551477170993,0.4488330341113106,0.08976660682226212,0,0,0,0,0,0,8.236347358997314
"Tyrese Maxey","PHI",13,525,1.5355979525360632,1.1131725417439704,0,0.09337068160597572,0.18674136321195145,0.09337068160597572,0.09276437847866419,0,0,0,0,0,0,0,6.2558356676003735
"Cooper Flagg","DAL",15,505,1.6263940520446096,1.8433179723502304,0,0.09372071227741331,0.09372071227741331,0,0.18433179723502305,0,0,0,0.09216589861751152,0,0,0,4.404873477038426
"Lauri Markkanen","UTA",14,502,1.3757115749525617,1.7142857142857142,0.47619047619047616,0.4725897920604915,0.1890359168241966,0,0.19047619047619047,0,0,0,0,0,0,0,8.790170132325143
"Shai Gilgeous-Alexander","OKC",15,499,1.348098218584497,1.3513513513513513,0.3861003861003861,0.09606147934678194,0.19212295869356388,0,0.09652509652509653,0,0,0,0,0,0,0,9.029779058597502
"Trey Murphy III","NOP",14,498,1.549636803874092,1.4506769825918762,0.19342359767891681,0.09699321047526673,0,0.19398642095053345,0.5802707930367504,0,0,0,0,0,0,0,4.073714839961203
"Dyson Daniels","ATL",15,497,1.7694882831181253,1.8095238095238095,0,0.2881844380403458,0.09606147934678194,0.09606147934678194,0.38095238095238093,0.09523809523809523,0,0,0,0,0,0,2.4975984630163306
"Desmond Bane","ORL",15,494,2.4757281553398056,2.133850630455868,0,0.09718172983479106,0.38872691933916426,0.38872691933916426,0,0.09699321047526673,0,0,0,0,0,0.09699321047526673,3.206997084548105
"Miles Bridges","CHA",14,493,1.2025012025012025,1.1516314779270633,0.09596928982725528,0.19286403085824494,0,0,0,0,0,0,0,0,0,0,3.953712632594021
