"Name","TeamAbbreviation","GamesPlayed","Minutes","Rebounds","DefRebounds","FTDefRebounds","DefFTReboundPct","DefTwoPtRebounds","DefTwoPtReboundPct","DefThreePtRebounds","DefThreePtReboundPct","DefFGReboundPct","OffRebounds","FTOffRebounds","OffFTReboundPct","OffTwoPtRebounds","OffTwoPtReboundPct","OffThreePtRebounds","OffThreePtReboundPct","OffFGReboundPct","DefAtRimReboundPct","DefShortMidRangeReboundPct","DefLongMidRangeReboundPct","DefArc3ReboundPct","DefCorner3ReboundPct","OffAtRimReboundPct","OffShortMidRangeReboundPct","OffLongMidRangeReboundPct","OffArc3ReboundPct","OffCorner3ReboundPct","SelfOReb","SelfORebPct"
"Franz Wagner","ORL",15,538,4.259094942324756,6.10079575596817,0.5305039787798409,0.17647058823529413,3.094606542882405,0.11513157894736842,2.475685234305924,0.13658536585365855,0.1237721021611002,2.404274265360641,0.08904719501335707,0.02564102564102564,1.068566340160285,0.04819277108433735,1.2466607301869992,0.05982905982905983,0.053830227743271224,0.13131313131313133,0.12883435582822086,0.023809523809523808,0.1509433962264151,0.08695652173913043,0.0851063829787234,0.03508771929824561,0,0.03389830508474576,0.14035087719298245,6,0.05042016806722689
"Devin Booker","PHX",15,530,2.823845809054236,4.21903052064632,0.08976660682226212,0.047619047619047616,1.5260323159784561,0.07024793388429752,2.6032315978456015,0.10622710622710622,0.08932038834951456,1.432408236347359,0,0,0.6266786034019696,0.028455284552845527,0.8057296329453895,0.03214285714285714,0.030418250950570342,0.058823529411764705,0.09345794392523364,0.04,0.11538461538461539,0.07692307692307693,0.03225806451612903,0.03546099290780142,0,0.023696682464454975,0.057971014492753624,4,0.030534351145038167
"Tyrese Maxey","PHI",13,525,2.978129362494183,5.565862708719852,0,0,2.6901669758812616,0.11372549019607843,2.87569573283859,0.11439114391143912,0.11406844106463879,0.3734827264239029,0,0,0.3734827264239029,0.014760147601476014,0,0,0.00784313725490196,0.10784313725490197,0.11,0.1320754716981132,0.10697674418604651,0.14285714285714285,0.00980392156862745,0.01834862385321101,0.016666666666666666,0,0,1,0.006622516556291391
"Cooper Flagg","DAL",15,505,4.41449814126394,7.28110599078341,1.1059907834101383,0.3333333333333333,3.7788018433179724,0.1453900709219858,2.3963133640552994,0.11063829787234042,0.12959381044487428,1.499531396438613,0.09372071227741331,0.03125,0.46860356138706655,0.01937984496124031,0.9372071227741331,0.04065040650406504,0.02976190476190476,0.11363636363636363,0.1346153846153846,0.2631578947368421,0.11891891891891893,0.08,0.04395604395604396,0.008264462809917356,0,0.03592814371257485,0.05063291139240506,1,0.010416666666666666
"Lauri Markkanen","UTA",14,502,4.032258064516129,5.0476190476190474,0.19047619047619047,0.1,2.0952380952380953,0.0944206008583691,2.761904761904762,0.1070110701107011,0.10119047619047619,3.0245746691871456,0,0,1.3232514177693762,0.060085836909871244,1.7013232514177694,0.061855670103092786,0.061068702290076333,0.06451612903225806,0.12213740458015267,0.05,0.10849056603773585,0.1016949152542373,0.08064516129032258,0.061068702290076333,0.025,0.06329113924050633,0.05555555555555555,6,0.04316546762589928
"Shai Gilgeous-Alexander","OKC",15,499,3.514684641309581,6.467181467181467,0.3861003861003861,0.14285714285714285,3.088803088803089,0.12167300380228137,2.9922779922779923,0.1341991341991342,0.12753036437246965,0.5763688760806917,0,0,0.4803073967339097,0.02512562814070352,0.09606147934678194,0.003787878787878788,0.012958963282937365,0.10227272727272728,0.12903225806451613,0.13725490196078433,0.13559322033898305,0.12962962962962962,0.017543859649122806,0.038461538461538464,0,0,0.014705882352941176,3,0.023622047244094488
"Trey Murphy III","NOP",14,498,4.552058111380146,6.769825918762089,0.09671179883945841,0.06666666666666667,1.7408123791102514,0.1016949152542373,4.932301740812379,0.20078740157480315,0.16009280742459397,2.3278370514064015,0,0,1.066925315227934,0.03914590747330961,1.2609117361784674,0.05603448275862069,0.04678362573099415,0.06493506493506493,0.136986301369863,0.1111111111111111,0.19289340101522842,0.22807017543859648,0.05084745762711865,0.0234375,0.05714285714285714,0.06951871657754011,0,5,0.05319148936170213
"Dyson Daniels","ATL",15,497,4.2563366810138685,5.904761904761905,0.38095238095238093,0.16666666666666666,2.857142857142857,0.12295081967213115,2.6666666666666665,0.11155378486055777,0.11717171717171718,2.5936599423631126,0,0,1.440922190201729,0.06097560975609756,1.1527377521613833,0.05853658536585366,0.0598669623059867,0.14583333333333334,0.11304347826086956,0.09090909090909091,0.10869565217391304,0.11940298507462686,0.058823529411764705,0.07936507936507936,0,0.06369426751592357,0.041666666666666664,3,0.05357142857142857
"Desmond Bane","ORL",15,494,3.203883495145631,4.849660523763337,0.3879728419010669,0.1111111111111111,2.812803103782735,0.10740740740740741,1.6488845780795345,0.08333333333333333,0.0970464135021097,1.554907677356657,0.09718172983479106,0.02857142857142857,0.6802721088435374,0.029411764705882353,0.7774538386783285,0.037383177570093455,0.033185840707964605,0.08333333333333333,0.09655172413793103,0.1951219512195122,0.08917197452229299,0.06382978723404255,0.033707865168539325,0.03669724770642202,0,0.024691358024691357,0.07692307692307693,4,0.039603960396039604
"Miles Bridges","CHA",14,493,4.713804713804714,7.9654510556621885,0.8637236084452975,0.3,3.3589251439539347,0.14112903225806453,3.742802303262956,0.19306930693069307,0.16444444444444445,1.446480231436837,0.09643201542912247,0.06666666666666667,0.2892960462873674,0.013392857142857142,1.0607521697203472,0.04296875,0.029166666666666667,0.16,0.14285714285714285,0.09302325581395349,0.20833333333333334,0.11764705882352941,0.010869565217391304,0.018518518518518517,0,0.045454545454545456,0.034482758620689655,3,0.022727272727272728
"Derrick White","BOS",15,493,3.053435114503817,4.781281790437436,0.4069175991861648,0.14285714285714285,2.2380467955239065,0.09016393442622951,2.136317395727365,0.08641975308641975,0.08829568788501027,1.3238289205702647,0.10183299389002037,0.041666666666666664,0.4073319755600815,0.01702127659574468,0.814663951120163,0.029304029304029304,0.023622047244094488,0.08955223880597014,0.08823529411764706,0.0975609756097561,0.08247422680412371,0.10204081632653061,0.04477611940298507,0,0.014084507042253521,0.030303030303030304,0.023809523809523808,0,0
"VJ Edgecombe","PHI",13,485,3.7092731829573933,4.995004995004995,0.3996003996003996,0.13333333333333333,1.998001998001998,0.0784313725490196,2.5974025974025974,0.1092436974789916,0.09330628803245436,2.414486921529175,0.1006036217303823,0.030303030303030304,1.2072434607645874,0.04580152671755725,1.1066398390342052,0.052132701421800945,0.048625792811839326,0.10679611650485436,0.05825242718446602,0.061224489795918366,0.11229946524064172,0.09803921568627451,0.05,0.046296296296296294,0.037037037037037035,0.05813953488372093,0.02564102564102564,6,0.06315789473684211
"Duncan Robinson","DET",15,482,2.097902097902098,3.5035035035035036,0,0,1.901901901901902,0.07509881422924901,1.6016016016016017,0.07142857142857142,0.07337526205450734,0.6979062811565304,0.19940179461615154,0.06451612903225806,0.09970089730807577,0.0038022813688212928,0.3988035892323031,0.018957345971563982,0.010548523206751054,0.047619047619047616,0.09285714285714286,0.06896551724137931,0.0718562874251497,0.07017543859649122,0,0.007575757575757576,0,0.006666666666666667,0.04918032786885246,1,0.013513513513513514
"Payton Pritchard","BOS",15,482,3.343621399176955,5.1493305870236865,0.10298661174047374,0.03571428571428571,2.368692070030896,0.09163346613545817,2.677651905252317,0.11206896551724138,0.10144927536231885,1.5416238437821173,0,0,0.8221993833504625,0.0365296803652968,0.7194244604316546,0.024822695035460994,0.029940119760479042,0.05405405405405406,0.1076923076923077,0.10638297872340426,0.11052631578947368,0.11904761904761904,0.015625,0.021505376344086023,0.08064516129032258,0.029045643153526972,0,5,0.05
"Keyonte George","UTA",14,482,2.736318407960199,4.586241276171486,0.09970089730807577,0.041666666666666664,1.8943170488534398,0.09223300970873786,2.59222333000997,0.10569105691056911,0.09955752212389381,0.8937437934458788,0,0,0.3972194637537239,0.018779342723004695,0.49652432969215493,0.018726591760299626,0.01875,0.07017543859649122,0.09322033898305085,0.12903225806451613,0.10270270270270271,0.11475409836065574,0.02040816326530612,0.024390243902439025,0,0.018779342723004695,0.018518518518518517,0,0
"Toumani Camara","POR",14,482,3.4113060428849904,4.263565891472868,0.3875968992248062,0.18181818181818182,1.937984496124031,0.0847457627118644,1.937984496124031,0.09009009009009009,0.08733624454148471,2.549019607843137,0,0,0.8823529411764706,0.041474654377880185,1.6666666666666667,0.06093189964157706,0.05241935483870968,0.06060606060606061,0.10638297872340426,0.09302325581395349,0.0875,0.0967741935483871,0.019230769230769232,0.05,0.09090909090909091,0.07142857142857142,0.01818181818181818,1,0.012345679012345678
"Jaylen Brown","BOS",15,481,4.287190082644628,7.11340206185567,1.134020618556701,0.4230769230769231,2.9896907216494846,0.11788617886178862,2.9896907216494846,0.13122171945701358,0.12419700214132762,1.4492753623188406,0,0,0.9316770186335404,0.04,0.5175983436853002,0.01845018450184502,0.028225806451612902,0.12857142857142856,0.11627906976744186,0.10638297872340426,0.14772727272727273,0.06666666666666667,0.030303030303030304,0.04395604395604396,0.04411764705882353,0.017543859649122806,0.023255813953488372,4,0.02857142857142857
"Evan Mobley","CLE",14,479,6.083086053412463,8.546168958742633,0.19646365422396855,0.1,4.616895874263261,0.1857707509881423,3.732809430255403,0.17040358744394618,0.17857142857142858,3.585657370517928,0.29880478087649404,0.09090909090909091,1.593625498007968,0.08333333333333333,1.6932270916334662,0.059233449477351915,0.06889352818371608,0.23076923076923078,0.14545454545454545,0.1794871794871795,0.17647058823529413,0.1509433962264151,0.06756756756756757,0.1111111111111111,0.03571428571428571,0.058333333333333334,0.06382978723404255,5,0.05102040816326531
"DeMar DeRozan","SAC",14,476,2.280614774417452,3.9564787339268053,0.19782393669634027,0.07142857142857142,1.8793273986152323,0.0979381443298969,1.8793273986152323,0.08370044052863436,0.09026128266033254,0.5964214711729622,0,0,0.2982107355864811,0.010416666666666666,0.2982107355864811,0.016042780748663103,0.01263157894736842,0.12962962962962962,0.07964601769911504,0.1111111111111111,0.08333333333333333,0.0847457627118644,0.012987012987012988,0.014388489208633094,0,0.022058823529411766,0,1,0.011111111111111112
