"Name","TeamAbbreviation","GamesPlayed","Minutes","FTA","Technical Free Throw Trips","TwoPtShootingFoulsDrawn","2pt And 1 Free Throw Trips","ThreePtShootingFoulsDrawn","3pt And 1 Free Throw Trips","NonShootingFoulsDrawn","ShootingFoulsDrawnPct","TwoPtShootingFoulsDrawnPct","ThreePtShootingFoulsDrawnPct"
"Franz Wagner","ORL",15,538,9.706144256455921,2,4.007123775601069,0.4452359750667854,0,0,0.9795191451469278,0.156794425087108,0.2102803738317757,0
"Devin Booker","PHX",15,530,10.116383169203223,4,3.9391226499552374,1.1638316920322291,0.08952551477170993,0,1.3428827215756491,0.13975155279503104,0.18565400843881857,0.011764705882352941
"Tyrese Maxey","PHI",13,525,9.803921568627452,7,3.1746031746031744,0.3734827264239029,0.18674136321195145,0.18674136321195145,1.4005602240896358,0.10682492581602374,0.1574074074074074,0.01652892561983471
"Cooper Flagg","DAL",15,505,4.311152764761013,0,1.9681349578256795,0.5623242736644799,0,0,0.46860356138706655,0.09859154929577464,0.13548387096774195,0
"Lauri Markkanen","UTA",14,502,9.073724007561436,4,3.119092627599244,0.8506616257088847,0.0945179584120983,0.0945179584120983,1.606805293005671,0.10461538461538461,0.1736842105263158,0.007407407407407408
"Shai Gilgeous-Alexander","OKC",15,499,13.064361191162345,8,5.379442843419788,1.440922190201729,0.2881844380403458,0,1.0566762728146013,0.17002881844380405,0.21875,0.03296703296703297
"Trey Murphy III","NOP",14,498,4.75266731328807,3,1.9398642095053347,0.3879728419010669,0,0,0.3879728419010669,0.09090909090909091,0.17543859649122806,0
"Dyson Daniels","ATL",15,497,2.0172910662824206,0,1.1527377521613833,0.2881844380403458,0,0,0,0.0916030534351145,0.1016949152542373,0
"Desmond Bane","ORL",15,494,4.956268221574344,6,1.554907677356657,0.4859086491739553,0,0,0.7774538386783285,0.07207207207207207,0.10884353741496598,0
"Miles Bridges","CHA",14,493,6.171648987463838,0,2.1215043394406945,0,0.09643201542912247,0,0.7714561234329798,0.08582089552238806,0.15714285714285714,0.0078125
"Derrick White","BOS",15,493,4.0733197556008145,2,1.8329938900203666,0.6109979633401222,0.20366598778004075,0.10183299389002037,0.20366598778004075,0.08196721311475409,0.16071428571428573,0.015151515151515152
"VJ Edgecombe","PHI",13,485,3.319919517102616,0,1.3078470824949697,0.1006036217303823,0.2012072434607646,0.2012072434607646,0.30181086519114686,0.07731958762886598,0.10655737704918032,0.027777777777777776
"Duncan Robinson","DET",15,482,2.3928215353938187,3,0.19940179461615154,0,0.29910269192422734,0,0.3988035892323031,0.03424657534246575,0.06060606060606061,0.02654867256637168
"Payton Pritchard","BOS",15,482,4.110996916752312,2,1.5416238437821173,0.30832476875642345,0.10277492291880781,0,0.41109969167523125,0.07441860465116279,0.16129032258064516,0.00819672131147541
"Keyonte George","UTA",14,482,10.02979145978153,0,4.1708043694141015,0.6951340615690169,0.3972194637537239,0,0.49652432969215493,0.1684981684981685,0.24277456647398843,0.04
"Toumani Camara","POR",14,482,2.0588235294117645,0,0.9803921568627451,0.09803921568627451,0,0,0.09803921568627451,0.06134969325153374,0.14705882352941177,0
"Jaylen Brown","BOS",15,481,9.523809523809524,3,4.865424430641822,1.3457556935817805,0.10351966873706005,0.10351966873706005,0.3105590062111801,0.13953488372093023,0.1821705426356589,0.011627906976744186
"Evan Mobley","CLE",14,479,8.565737051792828,0,3.9840637450199203,0.796812749003984,0,0,0.6972111553784861,0.17316017316017315,0.24242424242424243,0
"DeMar DeRozan","SAC",14,476,6.063618290258449,4,2.68389662027833,1.0934393638170974,0,0,0.5964214711729622,0.1261682242990654,0.14917127071823205,0
"Rui Hachimura","LAL",14,475,3.003003003003003,0,1.5015015015015014,0.2002002002002002,0,0,0.1001001001001001,0.0949367088607595,0.14423076923076922,0
"Deni Avdija","POR",14,473,10.657370517928287,0,5.378486055776892,1.294820717131474,0,0,0.5976095617529881,0.1935483870967742,0.2918918918918919,0
"James Harden","LAC",13,470,10.80797481636936,4,3.3578174186778593,0.7345225603357818,1.4690451206715636,0.4197271773347324,0.3147953830010493,0.17557251908396945,0.25196850393700787,0.1037037037037037
"Jimmy Butler III","GSW",15,469,12.177502579979361,2,5.469556243550052,1.1351909184726523,0.10319917440660474,0,0.9287925696594427,0.2523364485981308,0.29444444444444445,0.029411764705882353
"Brandon Ingram","TOR",14,468,6.829765545361876,2,3.1600407747196737,1.1213047910295617,0.2038735983690112,0,0.3058103975535168,0.13524590163934427,0.1712707182320442,0.031746031746031744
"Devin Vassell","SAS",14,465,2.5853154084798344,3,0.9307135470527405,0.10341261633919338,0.31023784901758017,0.20682523267838676,0,0.06666666666666667,0.1111111111111111,0.030303030303030304
"Ryan Rollins","MIL",15,464,3.2426778242677825,2,1.2552301255230125,0.3138075313807531,0,0,0.3138075313807531,0.058823529411764705,0.0967741935483871,0
"Julius Randle","MIN",14,464,9.75359342915811,1,4.722792607802875,1.6427104722792607,0,0,0.9240246406570842,0.17898832684824903,0.24468085106382978,0
"Andrew Wiggins","MIA",14,461,3.482587064676617,0,1.492537313432836,0.39800995024875624,0.09950248756218906,0,0.29850746268656714,0.0784313725490196,0.11278195488721804,0.014084507042253521
"Kon Knueppel","CHA",14,460,3.512396694214876,1,1.4462809917355373,0.30991735537190085,0.2066115702479339,0,0.10330578512396695,0.08080808080808081,0.16666666666666666,0.017543859649122806
"Mikal Bridges","NYK",13,456,2.6371308016877637,0,1.0548523206751055,0.4219409282700422,0.10548523206751055,0,0.31645569620253167,0.06097560975609756,0.11363636363636363,0
"Scottie Barnes","TOR",14,455,5.026178010471204,0,2.6178010471204187,0.837696335078534,0,0,0.31413612565445026,0.10964912280701754,0.14204545454545456,0
"Wendell Carter Jr.","ORL",15,454,6.025369978858351,0,2.854122621564482,0.5285412262156448,0,0,0.42283298097251587,0.19424460431654678,0.28125,0
"Pascal Siakam","IND",13,454,11.344537815126051,0,5.2521008403361344,1.1554621848739495,0.10504201680672269,0,0.8403361344537815,0.17647058823529413,0.228310502283105,0.014285714285714285
"Brandin Podziemski","GSW",16,452,2.985074626865672,0,0.9594882729211087,0,0,0,0.5330490405117271,0.05660377358490566,0.10714285714285714,0
"Myles Turner","MIL",15,449,3.518123667377399,0,1.812366737739872,0.31982942430703626,0,0,0.10660980810234541,0.10828025477707007,0.22972972972972974,0
"Nikola Jokić","DEN",13,448,8.832807570977918,0,3.3648790746582544,0.6309148264984227,0.10515247108307045,0,1.2618296529968454,0.13414634146341464,0.17391304347826086,0.016129032258064516
"Max Christie","DAL",15,447,2.78372591006424,0,1.177730192719486,0.21413276231263384,0,0,0.32119914346895073,0.07857142857142857,0.19298245614035087,0
"Royce O'Neale","PHX",15,444,0.6451612903225806,0,0.21505376344086022,0,0,0,0.10752688172043011,0.014492753623188406,0.08,0
"Onyeka Okongwu","ATL",15,444,5.686695278969957,1,2.7896995708154506,0.8583690987124464,0,0,0.4291845493562232,0.14285714285714285,0.23008849557522124,0
"Donovan Mitchell","CLE",13,443,10.199789695057834,4,3.1545741324921135,0.6309148264984227,0.6309148264984227,0.10515247108307045,1.1566771819137749,0.11945392491467577,0.1935483870967742,0.036231884057971016
"RJ Barrett","TOR",14,442,6.175514626218852,0,3.5752979414951245,1.191765980498375,0,0,0.10834236186348863,0.14732142857142858,0.22,0
"Alperen Sengun","HOU",12,442,9.854423292273236,0,4.143337066069429,1.007838745800672,0.11198208286674133,0,1.1198208286674132,0.1645021645021645,0.19270833333333334,0.02564102564102564
"Ivica Zubac","LAC",14,441,4.519774011299435,0,1.92090395480226,0.6779661016949152,0,0,0.6779661016949152,0.10179640718562874,0.10179640718562874,0
"Cade Cunningham","DET",12,441,9.803921568627452,5,4.793028322440088,1.4161220043572984,0,0,0.5446623093681917,0.14814814814814814,0.20276497695852536,0
"Rudy Gobert","MIN",14,439,4.988913525498892,0,2.2172949002217295,0.5543237250554324,0,0,0.5543237250554324,0.20202020202020202,0.20202020202020202,0
"Immanuel Quickley","TOR",14,439,4.495614035087719,0,2.0833333333333335,0.6578947368421053,0.10964912280701754,0,0.32894736842105265,0.11049723756906077,0.20652173913043478,0.011235955056179775
