"Name","TeamAbbreviation","GamesPlayed","Minutes","OffPoss","Points","FG2M","FG2A","Fg2Pct","FG3M","FG3A","Fg3Pct","NonHeaveFg3Pct","FtPoints","PtsAssisted2s","PtsUnassisted2s","PtsAssisted3s","PtsUnassisted3s","Assisted2sPct","NonPutbacksAssisted2sPct","Assisted3sPct","FG3APct","ShotQualityAvg","EfgPct","TsPct","PtsPutbacks","Fg2aBlocked","FG2APctBlocked","Fg3aBlocked","FG3APctBlocked","Usage"
"Mikal Bridges","NYK",82,3036,6090,23.711001642036123,7.027914614121511,11.822660098522167,0.5944444444444444,2.6929392446633824,7.602627257799671,0.3542116630669546,0.36363636363636365,1.5763546798029557,9.589490968801314,4.466338259441708,7.733990147783251,0.3448275862068966,0.6822429906542056,0.7209876543209877,0.9573170731707317,0.39137785291631444,0.5381367532467533,0.569737954353339,0.5851581508515815,0.7553366174055829,0.39408866995073893,0.03333333333333333,0,0,19.71403812824957
"Josh Hart","NYK",77,2897,5795,18.10181190681622,5.504745470232959,8.921484037963761,0.6170212765957447,1.449525452976704,4.348576358930112,0.3333333333333333,0.336,2.7437446074201897,6.764452113891285,4.245038826574634,3.7791199309749786,0.5694564279551337,0.6144200626959248,0.6829268292682927,0.8690476190476191,0.32769830949284784,0.5846714097496706,0.5786736020806242,0.6120186697782963,1.1044003451251079,0.9490940465918896,0.10638297872340426,0.06902502157031924,0.015873015873015872,15.420844728046188
"Anthony Edwards","MIN",79,2871,5803,37.51507840772015,6.910218852317767,13.803205238669653,0.5006242197253433,5.51438910908151,13.975529898328451,0.39457459926017263,0.3995006242197253,7.151473375840083,5.307599517490953,8.512838187144581,7.858004480441151,8.685162846803378,0.38403990024937656,0.3938618925831202,0.475,0.5031017369727047,0.5365980612883052,0.5465260545905707,0.5945574491478834,0.34464931931759435,0.8616232982939859,0.062421972534332085,0.08616232982939859,0.006165228113440197,31.355289118227347
"Devin Booker","PHX",75,2795,5661,33.969263381028085,8.320084790673025,15.350644762409468,0.5420023014959724,3.2326444091149975,9.733262674439144,0.33212341197822143,0.33212341197822143,7.631160572337043,7.171877760113055,9.468291821232997,6.94223635400106,2.755696873343932,0.4309978768577495,0.4422657952069717,0.7158469945355191,0.3880281690140845,0.5077161028893588,0.525,0.5869833436150524,0.4239533651298357,1.0598834128245893,0.06904487917146145,0.03532944709415298,0.003629764065335753,29.05469490989567
"James Harden","LAC",79,2789,5671,31.77570093457944,5.219538000352672,11.056251102098395,0.47208931419457734,4.143889966496209,11.779227649444543,0.35179640718562877,0.3523238380809595,8.90495503438547,1.8338917298536412,8.605184270851701,4.602362898959619,7.829307000529007,0.17567567567567569,0.18181818181818182,0.3702127659574468,0.5158301158301158,0.5061250775193799,0.5007722007722007,0.5838794233289646,0.35267148651031566,1.0756480338564627,0.09728867623604466,0.07053429730206313,0.005988023952095809,29.179046129788897
"DeMar DeRozan","SAC",77,2768,5647,30.28156543297326,9.562599610412608,18.629360722507528,0.5133079847908745,1.4875154949530724,4.533380556047459,0.328125,0.336,6.693819727288826,6.941738976447671,12.183460244377546,3.931290950947406,0.5312555339118116,0.362962962962963,0.3712121212121212,0.8809523809523809,0.19571865443425077,0.46278203732503886,0.5091743119266054,0.5676312247644684,0.42500442712944925,0.9916769966353817,0.053231939163498096,0.017708517797060386,0.00390625,24.949003608975367
"Trae Young","ATL",76,2739,5898,31.21397083757206,5.90030518819939,12.444896575110207,0.47411444141689374,3.6961681926076637,10.885045778229909,0.3395638629283489,0.34335443037974683,8.324855883350288,3.39097999321804,8.409630383180739,3.2553407934893186,7.8331637843336726,0.28735632183908044,0.2898550724637681,0.29357798165137616,0.46656976744186046,0.5132298876404494,0.49055232558139533,0.5614197530864198,0.1017293997965412,1.0003390979993219,0.08038147138964577,0.1186842997626314,0.010903426791277258,29.22048997772829
"Tyler Herro","MIA",77,2725,5477,33.595033777615484,7.303268212525105,12.908526565638123,0.5657708628005658,4.582800803359503,12.232974255979551,0.3746268656716418,0.37574850299401197,5.240094942486762,5.513967500456454,9.092568924593756,10.352382691254336,3.396019718824174,0.3775,0.3871794871794872,0.7529880478087649,0.4865649963689179,0.5200104105571848,0.5639070442992011,0.6055962691538974,0.36516341062625524,1.1320065729413913,0.0876944837340877,0.2373562169070659,0.019402985074626865,27.668241811960243
"OG Anunoby","NYK",74,2706,5419,24.432552131389556,5.794427016054622,10.389370732607492,0.5577264653641207,3.155563757150766,8.488651042627792,0.3717391304347826,0.37254901960784315,3.3770068278280125,8.304115150396752,3.284738881712493,8.802362059420558,0.6643292120317402,0.7165605095541401,0.7679180887372014,0.9298245614035088,0.4496578690127077,0.5938665169660678,0.5576735092864125,0.589572192513369,0.7750507473703635,1.568555083963831,0.15097690941385436,0.07381435689241557,0.008695652173913044,19.86690472325921
"Jalen Green","HOU",82,2697,5515,31.242067089755214,6.7815049864007255,14.070716228467814,0.48195876288659795,4.242973708068903,11.98549410698096,0.3540090771558245,0.35454545454545455,4.950135992747054,3.5539437896645514,10.0090661831369,6.85403445149592,5.8748866727107885,0.2620320855614973,0.2648648648648649,0.5384615384615384,0.45998608211551845,0.5327952448545067,0.5045233124565066,0.5433818872704244,0.14505893019038985,1.7044424297370806,0.1211340206185567,0.21758839528558477,0.018154311649016642,27.316023966815177
