"Name","TeamAbbreviation","GamesPlayed","Minutes","PlusMinus","OnOffRtg","OnDefRtg","FirstChancePoints","ThreePtOffReboundedPct","AtRimOffReboundedPct","ShortMidRangeOffReboundedPct","LongMidRangeOffReboundedPct","Blocks","Blocked2s","Blocked3s","BlockedAtRim","BlockedShortMidRange","BlockedLongMidRange","BlockedCorner3","BlockedArc3","RecoveredBlocks","BlocksRecoveredPct","Steals","LostBallSteals","BadPassSteals","DefensiveGoaltends"
"Mikal Bridges","NYK",82,3036,6.01105462306441,120.55829228243022,114.5472376593658,21.001642036124796,0.23655913978494625,0.375,0.3508771929824561,0.29508196721311475,0.7028440666884603,0.6047728015691403,0.09807126511932004,0.42497548218372017,0.17979731938542007,0,0.032690421706440015,0.06538084341288003,0.44132069303694016,0.627906976744186,1.2258908139915006,20,55,0.016345210853220007
"Josh Hart","NYK",77,2897,3.9436788099739744,120.01725625539257,116.0735774454186,15.703192407247627,0.21935483870967742,0.43,0.2535211267605634,0.21739130434782608,0.46415678184631254,0.4469657899260787,0.017190991920233798,0.24067388688327315,0.20629190304280556,0,0,0.017190991920233798,0.24067388688327315,0.5185185185185185,2.045728038507822,48,71,0
"Anthony Edwards","MIN",79,2871,4.761413681268422,117.80113734275375,113.03972366148533,34.447699465793555,0.23655913978494625,0.3643410852713178,0.26582278481012656,0.2037037037037037,0.8808290155440415,0.8117443868739206,0.0690846286701209,0.41450777202072536,0.3454231433506045,0.05181347150259067,0.03454231433506045,0.03454231433506045,0.5181347150259067,0.5882352941176471,1.5716753022452505,39,52,0.017271157167530225
"Devin Booker","PHX",75,2795,-3.6600297955869223,117.11711711711712,120.77714691270404,31.24889595477831,0.21487603305785125,0.43548387096774194,0.3037383177570093,0.26495726495726496,0.28388928317955997,0.248403122782115,0.035486160397444996,0.14194464158977999,0.10645848119233499,0,0,0.035486160397444996,0.177430801987225,0.625,1.1887863733144073,28,39,0.017743080198722498
"James Harden","LAC",79,2789,5.870394755019319,116.76952918356551,110.89913442854619,29.642038441192028,0.2632850241545894,0.3950617283950617,0.3640776699029126,0.25,0.9715597950892069,0.724253665430136,0.24730612965907084,0.24730612965907084,0.4592828122239887,0.01766472354707649,0.1413177883766119,0.10598834128245893,0.5476064299593711,0.5636363636363636,2.0844373785550254,43,75,0
"DeMar DeRozan","SAC",77,2768,1.0940585111413696,118.70019479369577,117.6061362825544,27.855498494775986,0.3018867924528302,0.5,0.33495145631067963,0.29056603773584905,0.5708169818052087,0.5708169818052087,0,0.1962183374955405,0.3389225829468427,0.03567606136282554,0,0,0.41027470567249374,0.71875,1.1059579022475918,23,39,0
"Trae Young","ATL",76,2739,0.2640400057261587,117.59918616480164,117.33514615907545,28.501186842997626,0.28888888888888886,0.39805825242718446,0.3023255813953488,0.41935483870967744,0.20394289598912305,0.13596193065941536,0.06798096532970768,0.0849762066621346,0.05098572399728076,0,0.01699524133242692,0.05098572399728076,0.11896668932698844,0.5833333333333334,1.5465669612508497,40,51,0
"Tyler Herro","MIA",77,2725,1.2433110605986997,115.70202665692896,114.45871559633028,30.691984663136754,0.21921182266009853,0.38961038961038963,0.2784090909090909,0.19607843137254902,0.3119266055045872,0.27522935779816515,0.03669724770642202,0.22018348623853212,0.03669724770642202,0.01834862385321101,0,0.03669724770642202,0.1834862385321101,0.5882352941176471,1.2660550458715596,19,50,0.03669724770642202
"OG Anunoby","NYK",74,2706,5.512377003182763,119.72688687949807,114.2145098763153,21.922863997047425,0.28113879003558717,0.4318181818181818,0.40298507462686567,0.26666666666666666,1.199926158390253,0.904559719401883,0.29536643898836995,0.5168912682296474,0.3507476462986893,0.036920804873546244,0.11076241462063872,0.1846040243677312,0.7753369023444711,0.6461538461538462,2.030644268045043,43,67,0
"Jalen Green","HOU",82,2697,2.289757198350884,115.7751586582049,113.48540145985402,28.794197642792383,0.3482587064676617,0.4426229508196721,0.42857142857142855,0.23846153846153847,0.4927007299270073,0.4744525547445255,0.01824817518248175,0.12773722627737227,0.3284671532846715,0.01824817518248175,0.01824817518248175,0,0.38321167883211676,0.7777777777777778,1.2956204379562044,27,44,0.0364963503649635
"Christian Braun","DEN",79,2675,9.08613398226278,125.40344514959203,116.31731116732924,20.163191296464188,0.21212121212121213,0.44166666666666665,0.38571428571428573,0.2777777777777778,0.6685941452837008,0.6143838091796169,0.054210336104083844,0.2529815684857246,0.30719190458980844,0.054210336104083844,0,0.054210336104083844,0.46982291290206,0.7027027027027027,1.5359595229490424,28,57,0.018070112034694615
"Bam Adebayo","MIA",78,2674,0.4667817894902697,113.26164874551972,112.79486695602944,23.24089794378419,0.20610687022900764,0.2875,0.22021660649819494,0.2054794520547945,1.000188714851859,0.9813172296659747,0.018871485185884128,0.47178712964710323,0.4529156444612191,0.05661445555765239,0,0.018871485185884128,0.6605019815059445,0.660377358490566,1.8494055482166447,30,68,0.22645782223060956
