"Name","TeamAbbreviation","GamesPlayed","Minutes","Assists","AssistPoints","TwoPtAssists","ThreePtAssists","AtRimAssists","ShortMidRangeAssists","LongMidRangeAssists","Corner3Assists","Arc3Assists"
"Mikal Bridges","NYK",82,3036,5.024630541871921,12.233169129720855,2.8407224958949095,2.1839080459770117,1.8555008210180624,0.8702791461412152,0.11494252873563218,0.8210180623973727,1.3628899835796386
"Josh Hart","NYK",77,2897,7.7998274374460745,18.861087144089733,4.53839516824849,3.2614322691975843,3.088869715271786,1.0698878343399483,0.3796376186367558,1.0181190681622088,2.243313201035375
"Anthony Edwards","MIN",79,2871,6.186455281750819,15.302429777701189,3.2569360675512664,2.929519214199552,2.257453041530243,0.8788557642598656,0.12062726176115803,1.0684128898845424,1.8611063243150094
"Devin Booker","PHX",75,2795,9.344638756403462,23.88270623564741,4.1512100335629745,5.193428722840488,2.1021021021021022,1.483836777954425,0.5652711535064476,2.066772655007949,3.1266560678325384
"James Harden","LAC",79,2789,12.114265561629342,27.68471169105978,8.658084993828249,3.456180567801093,5.060835831423029,3.226944101569388,0.3703050608358314,1.2343502027861046,2.2218303650149887
"DeMar DeRozan","SAC",77,2768,6.056313086594652,15.282450858863113,2.886488400920843,3.169824685673809,1.5937666017354348,1.0448025500265627,0.24791924915884542,1.0448025500265627,2.1250221356472463
"Trae Young","ATL",76,2739,14.920311970159377,34.4354018311292,10.325534079348932,4.594777890810445,7.426246185147508,2.5432349949135302,0.3560528992878942,1.7463546965072907,2.8484231943031535
"Tyler Herro","MIA",77,2725,7.741464305276612,19.09804637575315,4.1263465400766846,3.615117765199927,2.5744020449150997,1.4058791309110827,0.1460653642505021,1.3328464487858316,2.282271316414095
"OG Anunoby","NYK",74,2706,3.026388632589039,7.2338069754567265,1.8453589223103894,1.1810297102786491,1.1810297102786491,0.5905148551393246,0.07381435689241557,0.46133973057759736,0.7196899797010519
"Jalen Green","HOU",82,2697,5.1133272892112425,12.130553037171351,3.2094288304623753,1.9038984587488668,1.613780598368087,1.069809610154125,0.5258386219401632,0.3445149592021759,1.5593834995466909
"Christian Braun","DEN",79,2675,3.71713508612874,8.739800543970988,2.411604714415231,1.3055303717135087,1.4324569356300998,0.7978241160471442,0.1813236627379873,0.471441523118767,0.8340888485947416
"Bam Adebayo","MIA",78,2674,6.357291077155254,15.883795510281079,3.188077721184682,3.1692133559705717,1.8864365214110546,1.0564044519901905,0.2452367477834371,0.6413884172797585,2.527824938690813
"Ivica Zubac","LAC",80,2624,4.028614457831325,9.61972891566265,2.4661144578313254,1.5625,1.2048192771084338,0.8283132530120482,0.4329819277108434,0.2447289156626506,1.3177710843373494
"Jayson Tatum","BOS",72,2624,8.132075471698114,21.09433962264151,3.30188679245283,4.830188679245283,2.169811320754717,0.8113207547169812,0.32075471698113206,1.2075471698113207,3.6226415094339623
"Jaden McDaniels","MIN",82,2614,3.1160389982794876,7.723188682852227,1.6249283119862359,1.4911106862932517,1.0323073982030204,0.5543873064423628,0.03823360734085261,0.5161536991015102,0.9749569871917415
"Keegan Murray","SAC",76,2610,2.0473328324567994,4.958677685950414,1.183320811419985,0.8640120210368144,0.5822689706987227,0.3756574004507889,0.22539444027047334,0.31930879038317056,0.5447032306536439
"Zach LaVine","SAC",74,2603,5.7418040377847746,13.706241896647528,3.5191702167067977,2.2226338210779772,1.7410631598444157,1.3335802926467863,0.4445267642155955,0.7408779403593257,1.4817558807186515
"Shai Gilgeous-Alexander","OKC",76,2598,8.913802609814372,22.606138577467377,4.13526925197574,4.778533357838633,2.315750781106414,1.5254548796177174,0.29406359125160814,1.3416651350854623,3.43686822275317
"Michael Porter Jr.","DEN",77,2593,3.073197988452226,7.152169864034271,2.0674241013224064,1.0057738871298194,1.3782827342149375,0.6146395976904452,0.07450176941702366,0.22350530825107096,0.7822685788787483
"Derrick White","BOS",76,2574,6.989351403678606,17.037754114230395,3.930300096805421,3.059051306873185,2.594385285575992,1.0454985479186834,0.2904162633107454,0.7744433688286544,2.2846079380445303
"Dyson Daniels","ATL",76,2571,6.070579630645456,14.499908575607972,3.7118303163283963,2.35874931431706,2.1941854086670323,1.334796123605778,0.18284878405558602,0.9508136770890474,1.4079356372280125
"Nikola Jokić","DEN",70,2571,13.283858998144712,30.946196660482375,8.905380333951763,4.37847866419295,6.530612244897959,1.6697588126159555,0.7050092764378478,1.37291280148423,3.00556586270872
"Austin Reaves","LAL",73,2550,8.072266000384394,19.142802229482992,5.07399577167019,2.9982702287142033,3.421103209686719,1.2300595810109551,0.42283298097251587,1.0570824524312896,1.9411877762829137
"Toumani Camara","POR",78,2548,3.3705701078582435,8.436055469953775,1.6756548536209552,1.694915254237288,1.2134052388289676,0.3081664098613251,0.15408320493066255,0.44298921417565484,1.2519260400616332
"Pascal Siakam","IND",78,2548,5.013343499809379,12.10446054136485,2.935569958063286,2.077773541746092,1.715592832634388,0.9721692718261533,0.24780785360274496,0.40030499428135724,1.677468547464735
"Brook Lopez","MIL",80,2546,2.7337029248709617,6.709998088319633,1.4911106862932517,1.2425922385777097,0.9749569871917415,0.28675205505639456,0.22940164404511565,0.2676352513859683,0.9749569871917415
"Karl-Anthony Towns","NYK",72,2517,4.307812805952614,9.575093009594674,3.3483454082631683,0.9594673976894459,2.4280399451732917,0.7636577246915998,0.15664773839827686,0.4307812805952614,0.5286861170941844
"Bub Carrington","WAS",82,2458,7.078957604045119,17.19175418125243,4.045118630882925,3.0338389731621938,2.4309607156748347,1.3029949436017114,0.31116297160637885,0.6806690003889537,2.35316997277324
"Cade Cunningham","DET",70,2452,12.5,29.604231974921632,7.89576802507837,4.60423197492163,5.564263322884012,2.0768025078369905,0.2547021943573668,1.1755485893416928,3.4286833855799372
"Tyrese Haliburton","IND",73,2451,13.240212472949047,31.752901829628172,7.967735589218965,5.27247688373008,4.741294511115483,2.4198308085776117,0.8066102695258706,1.8493015935471178,3.4231752901829626
"Coby White","CHI",74,2450,6.294106427617776,15.773412168605761,3.108907114247568,3.185199313370208,1.8691588785046729,1.0871638374976158,0.15258439824527942,1.1634560366202555,2.021743276749952
"LeBron James","LAL",70,2444,11.546184738955823,27.068273092369477,7.570281124497992,3.9759036144578315,5.381526104417671,1.78714859437751,0.40160642570281124,1.4457831325301205,2.5301204819277108
"Domantas Sabonis","SAC",70,2429,8.497388509441542,20.14865407794295,5.343511450381679,3.1538770590598633,2.189634391321816,1.8883085576536762,1.2655685014061873,0.7432703897147449,2.4106066693451185
"Jamal Murray","DEN",67,2418,8.102131081624448,19.260152794531564,5.046240450341777,3.05589063128267,2.9553679131483714,1.6485725774024929,0.44229995979091274,0.9851226377161239,2.070767993566546
"Alperen Sengun","HOU",76,2394,7.626076260762607,18.757687576875767,4.120541205412054,3.5055350553505535,2.706027060270603,0.8815088150881509,0.5330053300533005,0.8200082000820008,2.6855268552685527
"Rudy Gobert","MIN",72,2388,2.661357921207041,6.852472757753563,1.1316010058675607,1.5297569153394803,0.7753562447611064,0.23051131601005867,0.12573344509639564,0.3143336127409891,1.2154233025984913
"Dillon Brooks","HOU",75,2388,2.645721372467962,6.3249276560562215,1.6122364613476643,1.0334849111202977,1.0541546093427037,0.434063662670525,0.12401818933443572,0.3513848697809012,0.6821000413393964
"Tobias Harris","DET",73,2306,3.3997901364113328,8.310598111227701,1.888772298006296,1.5110178384050368,1.1332633788037776,0.5666316894018888,0.1888772298006296,0.440713536201469,1.0703043022035676
"Jalen Brunson","NYK",65,2301,10.27027027027027,23.71891891891892,7.091891891891892,3.1783783783783783,4.756756756756757,1.6432432432432433,0.6918918918918919,1.2324324324324325,1.945945945945946
"Darius Garland","CLE",75,2301,10.55045871559633,24.979149291075895,6.672226855713094,3.878231859883236,4.795663052543786,1.8557130942452043,0.020850708924103418,1.2301918265221017,2.6480400333611342
"Jarrett Allen","CLE",82,2296,3.3214210636956065,8.030271179314694,1.9339920117721252,1.387429051923481,0.9880176581879335,0.7357578305654825,0.21021652301870927,0.3363464368299348,1.0510826150935464
"Chris Paul","SAS",82,2292,12.815081550518958,31.137470874814657,7.3077737767422155,5.507307773776742,5.041304808303326,1.6945562380851515,0.5719127303537386,1.6733742851090871,3.8339334886676553
"Anfernee Simons","POR",70,2292,7.225806451612903,17.741935483870968,3.935483870967742,3.2903225806451615,2.838709677419355,0.6881720430107527,0.40860215053763443,1.118279569892473,2.172043010752688
"Giannis Antetokounmpo","MIL",67,2289,9.20297555791711,23.889479277364504,3.7194473963868226,5.483528161530287,2.5079702444208287,0.7438894792773645,0.4675876726886291,1.9128586609989373,3.57066950053135
"Malik Beasley","DET",82,2283,2.907949790794979,6.945606694560669,1.7782426778242677,1.1297071129707112,1.1715481171548117,0.5648535564853556,0.04184100418410042,0.3138075313807531,0.8158995815899581
"Kentavious Caldwell-Pope","ORL",77,2279,3.0175282893277124,7.366319059241181,1.6862658087419569,1.3312624805857556,1.1537608165076547,0.4215664521854892,0.11093854004881296,0.6434435322831151,0.6878189483026403
"Nikola Vučević","CHI",73,2278,5.256673511293634,13.305954825462011,2.4640657084188913,2.7926078028747434,1.7453798767967146,0.4517453798767967,0.2669404517453799,0.7186858316221766,2.0739219712525667
"Payton Pritchard","BOS",80,2271,6.230460026797678,15.408664582402858,3.282715497990174,2.9477445288075033,2.121482804823582,0.8709245198749441,0.29030817329164804,0.9379187137114784,2.009825815096025
"Kevin Durant","PHX",62,2265,5.674217907227616,13.484358144552319,3.5382955771305284,2.1359223300970873,2.028047464940669,1.3160733549083063,0.1941747572815534,0.9924487594390508,1.1434735706580368
"Stephen Curry","GSW",70,2252,8.951732936423559,20.731448011907293,6.123750797363385,2.8279821390601745,4.316393791197108,1.6797788645545397,0.1275781416117372,1.1482032745056348,1.6797788645545397
"Shaedon Sharpe","POR",72,2252,4.296875,10.7421875,2.1484375,2.1484375,1.5407986111111112,0.4340277777777778,0.1736111111111111,0.5859375,1.5625
"De'Aaron Fox","SAS",62,2241,8.408408408408409,20.27027027027027,4.954954954954955,3.4534534534534536,3.281853281853282,1.1797511797511797,0.49335049335049336,0.9223509223509223,2.531102531102531
"Jalen Williams","OKC",69,2237,7.593856655290103,18.64334470989761,4.138225255972697,3.455631399317406,2.4957337883959045,1.3011945392491469,0.3412969283276451,0.9598976109215017,2.4957337883959045
"Donovan Mitchell","CLE",71,2232,7.635893011216566,19.132873166522863,3.7748058671268336,3.8610871440897325,2.825711820534944,0.8628127696289906,0.08628127696289906,1.639344262295082,2.2217428817946505
"Harrison Barnes","SAS",82,2228,2.9791894852135816,7.382256297918948,1.5553121577217963,1.4238773274917853,0.9857612267250822,0.3066812705366922,0.2628696604600219,0.32858707557502737,1.095290251916758
"Julius Randle","MIN",69,2226,7.229185317815578,18.375111906893466,3.3124440465532676,3.91674127126231,2.2829006266786034,0.8281110116383169,0.20143240823634737,1.432408236347359,2.484333034914951
"Amen Thompson","HOU",69,2225,5.868024800708592,14.636846767050487,2.9672276350752878,2.900797165633304,1.8157661647475642,0.8635961027457927,0.28786536758193093,0.8193091231178034,2.0814880425155002
