"Name","TeamAbbreviation","GamesPlayed","Minutes","Rebounds","DefRebounds","FTDefRebounds","DefFTReboundPct","DefTwoPtRebounds","DefTwoPtReboundPct","DefThreePtRebounds","DefThreePtReboundPct","DefFGReboundPct","OffRebounds","FTOffRebounds","OffFTReboundPct","OffTwoPtRebounds","OffTwoPtReboundPct","OffThreePtRebounds","OffThreePtReboundPct","OffFGReboundPct","DefAtRimReboundPct","DefShortMidRangeReboundPct","DefLongMidRangeReboundPct","DefArc3ReboundPct","DefCorner3ReboundPct","OffAtRimReboundPct","OffShortMidRangeReboundPct","OffLongMidRangeReboundPct","OffArc3ReboundPct","OffCorner3ReboundPct","SelfOReb","SelfORebPct"
"Mikal Bridges","NYK",82,3036,2.121559633027523,3.0728996404053612,0.04903563255966002,0.02459016393442623,1.1278195488721805,0.04745529573590096,1.8960444589735208,0.08498168498168499,0.0656261085491309,1.1658456486042692,0,0,0.5090311986863711,0.02069425901201602,0.6568144499178982,0.03192338387869114,0.025808796801163214,0.04886561954624782,0.04173354735152488,0.05813953488372093,0.087248322147651,0.07763975155279502,0.028169014084507043,0.011940298507462687,0.026923076923076925,0.029239766081871343,0.03768844221105527,7,0.012867647058823529
"Josh Hart","NYK",77,2897,6.346882535308302,9.902011346054667,0.601684717208183,0.2892561983471074,5.208870551830841,0.22312223858615612,4.091456077015644,0.18057663125948406,0.20216741405082211,2.7782571182053495,0.03451251078515962,0.01694915254237288,1.639344262295082,0.06606397774687066,1.1044003451251079,0.053691275167785234,0.06045627376425856,0.19659735349716445,0.22521008403361345,0.2777777777777778,0.17889447236180905,0.18575851393188855,0.0812274368231047,0.06542056074766354,0.03305785123966942,0.04342581423401689,0.07713498622589532,9,0.030716723549488054
"Anthony Edwards","MIN",79,2871,3.8816527214698526,6.718480138169257,0.17271157167530224,0.06666666666666667,2.8842832469775477,0.11768851303735024,3.6614853195164074,0.1612167300380228,0.13862472567666423,1.0511804239186628,0.03446493193175944,0.014705882352941176,0.4997415130105118,0.022906793048973143,0.5169739789763915,0.02127659574468085,0.022047832585949178,0.09037328094302555,0.1251798561151079,0.15813953488372093,0.15688259109311742,0.1743119266055046,0.029661016949152543,0.01957585644371941,0.016574585635359115,0.01937984496124031,0.026455026455026454,19,0.02357320099255583
"Devin Booker","PHX",75,2795,2.6998318137558646,4.063165365507452,0.07097232079488999,0.02857142857142857,1.8807665010645849,0.0797592174567344,2.111426543647977,0.08967596081386586,0.08471385542168675,1.3425189895778131,0,0,0.6535947712418301,0.03042763157894737,0.688924218335983,0.02846715328467153,0.029389017788089715,0.06937799043062201,0.08320950965824665,0.08823529411764706,0.08737864077669903,0.09764309764309764,0.052830188679245285,0.025677603423680456,0.02,0.029075804776739357,0.02702702702702703,36,0.05172413793103448
"James Harden","LAC",79,2789,4.024002823861631,7.083554142377672,1.0245539657304363,0.4,3.038332450097156,0.13281853281853281,3.0206677265500796,0.13093415007656967,0.1318723567858516,0.969846587903368,0.03526714865103157,0.014492753623188406,0.5995415270675366,0.026133743274404306,0.33503791218479984,0.01568951279933939,0.02109872611464968,0.13267813267813267,0.12135176651305683,0.16455696202531644,0.13705583756345177,0.11214953271028037,0.03546099290780142,0.020689655172413793,0.026143790849673203,0.015267175572519083,0.017006802721088437,20,0.029542097488921712
"DeMar DeRozan","SAC",77,2768,2.648182706833733,4.423831608990367,0.1962183374955405,0.07913669064748201,1.783803068141277,0.07880220646178093,2.4438102033535496,0.10386656557998483,0.09157650695517774,0.8854258898530193,0.017708517797060386,0.009523809523809525,0.5135470161147512,0.020350877192982456,0.3541703559412077,0.016764459346186086,0.01871657754010695,0.05397727272727273,0.08892128279883382,0.08658008658008658,0.10277492291880781,0.1069364161849711,0.02702702702702703,0.024096385542168676,0.009345794392523364,0.014161220043572984,0.025454545454545455,19,0.03125
"Trae Young","ATL",76,2739,2.0030555084026482,3.399048266485384,0.05098572399728076,0.023622047244094488,1.1386811692726038,0.05145929339477726,2.2093813732155,0.10268562401263823,0.07671339563862928,0.6103763987792472,0.0169548999660902,0.006535947712418301,0.339097999321804,0.014673514306676448,0.254323499491353,0.011355034065102196,0.013040238450074515,0.05436893203883495,0.04180602006688963,0.07407407407407407,0.10810810810810811,0.08797653958944282,0.010638297872340425,0.014534883720930232,0.036036036036036036,0.012282497441146366,0.00872093023255814,14,0.019417475728155338
"Tyler Herro","MIA",77,2725,3.6515054452274183,6.678899082568807,0.29357798165137616,0.14678899082568808,2.7522935779816513,0.11372251705837756,3.63302752293578,0.15529411764705883,0.1341557440246723,0.6390359685959467,0.018258170531312762,0.009523809523809525,0.27387255796969145,0.012048192771084338,0.3469052400949425,0.014809041309431021,0.013449367088607595,0.08803611738148984,0.11145038167938931,0.17194570135746606,0.14954221770091555,0.17465753424657535,0.004750593824228029,0.016467065868263474,0.01282051282051282,0.016129032258064516,0.0113314447592068,13,0.020440251572327043
"OG Anunoby","NYK",74,2706,3.3038021410114435,4.818165035997785,0.3692080487354624,0.18518518518518517,1.7906590363669928,0.07637795275590552,2.6582979508953297,0.11584875301689461,0.09590131317150816,1.7899981546410777,0.018453589223103892,0.009259259259259259,0.9226794611551947,0.03717472118959108,0.8488651042627791,0.040492957746478875,0.03869407496977025,0.06326530612244897,0.07414104882459313,0.11013215859030837,0.1109936575052854,0.13131313131313133,0.05202312138728324,0.03322259136212625,0.013392857142857142,0.042606516290726815,0.03550295857988166,19,0.043478260869565216
"Jalen Green","HOU",82,2697,3.428831286948613,6.0583941605839415,0.25547445255474455,0.10218978102189781,2.718978102189781,0.10552407932011332,3.0839416058394162,0.14619377162629757,0.12383177570093458,0.8159564823209429,0.01813236627379873,0.006493506493506494,0.45330915684496825,0.016181229773462782,0.3445149592021759,0.015510204081632653,0.01588447653429603,0.08167770419426049,0.10136986301369863,0.16593886462882096,0.15375854214123008,0.1223021582733813,0.014814814814814815,0.019943019943019943,0.009900990099009901,0.015400410677618069,0.01593625498007968,16,0.022988505747126436
