"Name","TeamAbbreviation","GamesPlayed","Minutes","ShotQualityAvg","AtRimFG3AFrequency","Avg2ptShotDistance","Avg3ptShotDistance","AtRimFGM","AtRimFGA","AtRimFrequency","AtRimAccuracy","UnblockedAtRimAccuracy","AtRimPctAssisted","AtRimPctBlocked","ShortMidRangeFGM","ShortMidRangeFGA","ShortMidRangeFrequency","ShortMidRangeAccuracy","UnblockedShortMidRangeAccuracy","ShortMidRangePctAssisted","ShortMidRangePctBlocked","LongMidRangeFGM","LongMidRangeFGA","LongMidRangeFrequency","LongMidRangeAccuracy","UnblockedLongMidRangeAccuracy","LongMidRangePctAssisted","LongMidRangePctBlocked","Corner3FGM","Corner3FGA","Corner3Frequency","Corner3Accuracy","UnblockedCorner3Accuracy","Corner3PctAssisted","Corner3PctBlocked","Arc3FGM","Arc3FGA","Arc3Frequency","Arc3Accuracy","UnblockedArc3Accuracy","Arc3PctAssisted","Arc3PctBlocked","NonHeaveArc3FGM","NonHeaveArc3FGA","NonHeaveArc3Accuracy","HeaveAttempts","HeaveMakes"
"Kris Murray","POR",69,1040,0.5896485663082438,0.8781362007168458,2.821383647798742,24.647499999999997,3.602771362586605,5.773672055427252,0.44802867383512546,0.624,0.6610169491525424,0.6282051282051282,0.056,0.5080831408775982,1.5242494226327945,0.11827956989247312,0.3333333333333333,0.55,0.2727272727272727,0.3939393939393939,0.046189376443418015,0.046189376443418015,0.0035842293906810036,1,1,1,0,0.7852193995381063,2.8175519630484986,0.21863799283154123,0.2786885245901639,0.2786885245901639,1,0,0.4618937644341801,2.725173210161663,0.2114695340501792,0.1694915254237288,0.1694915254237288,0.9,0,10,59,0.1694915254237288,0,0
"Dejounte Murray","NOP",31,1012,0.5189722672064777,0.5728744939271255,8.829062500000001,25.69425287356322,2.8625058657907085,5.114969497888316,0.22064777327935223,0.5596330275229358,0.6288659793814433,0.26229508196721313,0.11009174311926606,2.4401689347724074,6.335053965274519,0.2732793522267207,0.3851851851851852,0.40310077519379844,0.25,0.044444444444444446,1.360863444392304,3.5664007508212108,0.15384615384615385,0.3815789473684211,0.3918918918918919,0.27586206896551724,0.02631578947368421,0.4692632566870014,1.360863444392304,0.058704453441295545,0.3448275862068966,0.3448275862068966,0.9,0,1.970905678085406,6.8043172219615204,0.2935222672064777,0.2896551724137931,0.2896551724137931,0.5714285714285714,0,42,145,0.2896551724137931,0,0
"Jalen Suggs","ORL",35,1002,0.5225201476793249,0.6777546777546778,8.16234309623431,27.097520661157027,3.0677882236516574,4.156358238495794,0.17463617463617465,0.7380952380952381,0.7848101265822784,0.27419354838709675,0.05952380952380952,1.781296387926769,5.1954477981197424,0.2182952182952183,0.34285714285714286,0.37894736842105264,0.19444444444444445,0.09523809523809523,1.1380504700643246,2.4740227610094014,0.10395010395010396,0.46,0.46,0.13043478260869565,0,0.7916872835230084,1.781296387926769,0.07484407484407485,0.4444444444444444,0.4444444444444444,0.9375,0,2.9688273132112815,10.192973775358734,0.4282744282744283,0.2912621359223301,0.29411764705882354,0.7166666666666667,0.009708737864077669,60,202,0.297029702970297,4,0
"Kyle Anderson","MIA",61,1002,0.5031778716216216,0.49834983498349833,6.57725321888412,26.405714285714282,2.8023598820059,3.982300884955752,0.26732673267326734,0.7037037037037037,0.75,0.5614035087719298,0.06172839506172839,2.6548672566371683,6.440511307767945,0.43234323432343236,0.4122137404580153,0.453781512605042,0.48148148148148145,0.0916030534351145,0.2949852507374631,1.0324483775811208,0.06930693069306931,0.2857142857142857,0.2857142857142857,0,0,0.63913470993117,1.5732546705998034,0.10561056105610561,0.40625,0.40625,1,0,0.5899705014749262,1.8682399213372665,0.1254125412541254,0.3157894736842105,0.3157894736842105,0.9166666666666666,0,12,34,0.35294117647058826,4,0
"Brandon Boston","NOP",42,993,0.5372097112860892,0.6351706036745407,8.804149377593362,25.437857142857144,3.182496270512183,5.072103431128792,0.2677165354330709,0.6274509803921569,0.6808510638297872,0.609375,0.0784313725490196,0.8950770760815515,3.13276976628543,0.16535433070866143,0.2857142857142857,0.32727272727272727,0.5,0.12698412698412698,1.74042764793635,3.7792143212332174,0.1994750656167979,0.4605263157894737,0.5072463768115942,0.3142857142857143,0.09210526315789473,0.4972650422675286,1.5912481352560914,0.08398950131233596,0.3125,0.3125,0.9,0,1.9393336648433614,5.370462456489308,0.28346456692913385,0.3611111111111111,0.3644859813084112,0.8461538461538461,0.009259259259259259,39,108,0.3611111111111111,0,0
"Dalen Terry","CHI",73,987,0.5869598880597015,0.8246268656716418,3.4914634146341466,24.73365384615385,3.2090608777725342,5.521472392638037,0.43656716417910446,0.5811965811965812,0.6355140186915887,0.5441176470588235,0.08547008547008547,0.6606890042472865,1.9820670127418594,0.15671641791044777,0.3333333333333333,0.4,0.9285714285714286,0.16666666666666666,0.04719207173194903,0.23596035865974516,0.018656716417910446,0.2,0.2,0,0,0.8022652194431336,2.2180273714016043,0.17537313432835822,0.3617021276595745,0.3617021276595745,1,0,0.9438414346389806,2.6899480887210947,0.2126865671641791,0.3508771929824561,0.3508771929824561,1,0,20,57,0.3508771929824561,0,0
"Andre Jackson Jr.","MIL",67,980,0.6003372448979591,0.7817258883248731,4.398347107438017,24.73421052631579,2.5297619047619047,3.869047619047619,0.39593908629441626,0.6538461538461539,0.6891891891891891,0.6274509803921569,0.05128205128205128,0.49603174603174605,1.7857142857142858,0.18274111675126903,0.2777777777777778,0.30303030303030304,0.7,0.08333333333333333,0.1488095238095238,0.3472222222222222,0.03553299492385787,0.42857142857142855,0.42857142857142855,1,0,0.7936507936507936,2.132936507936508,0.2182741116751269,0.37209302325581395,0.37209302325581395,1,0,0.6944444444444444,1.6369047619047619,0.16751269035532995,0.42424242424242425,0.42424242424242425,0.9285714285714286,0,14,33,0.42424242424242425,0,0
"Zach Collins","CHI",64,976,0.5619305647840531,0.7582781456953642,4.062755102040816,25.389622641509437,4.292057227429699,6.068080907745436,0.40728476821192056,0.7073170731707317,0.7981651376146789,0.8045977011494253,0.11382113821138211,1.5786877158362111,3.305377405032067,0.22185430463576158,0.47761194029850745,0.5161290322580645,0.84375,0.07462686567164178,0.0986679822397632,0.2960039467192896,0.019867549668874173,0.3333333333333333,0.3333333333333333,1,0,0.3453379378391712,1.23334977799704,0.08278145695364239,0.28,0.28,1,0,1.23334977799704,3.9960532807104094,0.2682119205298013,0.30864197530864196,0.30864197530864196,1,0,25,81,0.30864197530864196,0,0
"Trayce Jackson-Davis","GSW",62,967,0.5600913333333334,0.7009966777408638,3.1590604026845637,24.566666666666666,7.103274559193955,10.478589420654911,0.6910299003322259,0.6778846153846154,0.7580645161290323,0.7943262411347518,0.10576923076923077,1.6120906801007557,4.433249370277078,0.292358803986711,0.36363636363636365,0.47761194029850745,0.84375,0.23863636363636365,0,0.10075566750629723,0.006644518272425249,0,0,0,0,0,0.10075566750629723,0.006644518272425249,0,0,0,0,0,0.05037783375314862,0.0033222591362126247,0,0,0,0,0,1,0,0,0
"Thomas Bryant","IND",66,963,0.5614219626168224,0.8504672897196262,3.7196531791907512,25.049324324324324,4.221105527638191,6.28140703517588,0.3894080996884735,0.672,0.75,0.6190476190476191,0.104,1.1557788944723617,1.9095477386934674,0.11838006230529595,0.6052631578947368,0.6764705882352942,0.8260869565217391,0.10526315789473684,0.4020100502512563,0.5025125628140703,0.03115264797507788,0.8,0.8,0.75,0,1.1055276381909547,2.663316582914573,0.16510903426791276,0.41509433962264153,0.41509433962264153,0.9545454545454546,0,1.306532663316583,4.773869346733668,0.29595015576323985,0.2736842105263158,0.2736842105263158,1,0,26,95,0.2736842105263158,0,0
