Name,TeamAbbreviation,Turnovers,LiveBallTurnovers,Fouls,Charge Fouls,FoulsDrawn,OnDefRtg,Blocks,Steals,Points,FG2A,Fg2Pct,FG3A,NonHeaveFg3Pct,FtPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsUnassisted3s,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,FG3APct,ShotQualityAvg,EfgPct,TsPct,PtsPutbacks,Usage,Rebounds,DefRebounds,DefTwoPtRebounds,DefTwoPtReboundPct,DefThreePtRebounds,DefThreePtReboundPct,OffRebounds,OffTwoPtRebounds,OffTwoPtReboundPct,OffThreePtRebounds,OffThreePtReboundPct,OffFGReboundPct,DefAtRimReboundPct,OffAtRimReboundPct,Assists,AssistPoints,TwoPtAssists,ThreePtAssists,FTA,TwoPtShootingFoulsDrawn,2pt And 1 Free Throw Trips,ThreePtShootingFoulsDrawn,3pt And 1 Free Throw Trips,NonShootingFoulsDrawn,ShootingFoulsDrawnPct,AtRimFG3AFrequency,Avg2ptShotDistance,Avg3ptShotDistance,AtRimFGA,AtRimFrequency,AtRimAccuracy,AtRimPctAssisted,AtRimPctBlocked,ShortMidRangeFGA,ShortMidRangeFrequency,ShortMidRangeAccuracy,ShortMidRangePctBlocked,LongMidRangeFGA,LongMidRangeFrequency,LongMidRangeAccuracy,LongMidRangePctAssisted,Corner3FGA,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3FGA,Arc3Accuracy,NonHeaveArc3FGM,NonHeaveArc3FGA,NonHeaveArc3Accuracy
Devin Booker,PHX,5.10295434198747,3.67054610564011,1.88256387270282,0.0895255147717099,8.23634735899731,112.387791741472,0.359066427289049,1.25673249551167,37.332139659803,18.4422560429722,0.553398058252427,7.52014324082364,0.345238095238095,9.13160250671441,6.62488809310654,13.7869292748433,5.10295434198747,2.6857654431513,0.324561403508772,0.336363636363636,0.655172413793103,0.289655172413793,0.498395,0.543103448275862,0.612759643916914,0.71620411817368,30.3076923076923,2.82384580905424,4.21903052064632,1.52603231597846,0.0702479338842975,2.6032315978456,0.106227106227106,1.43240823634736,0.62667860340197,0.0284552845528455,0.80572963294539,0.0321428571428571,0.0304182509505703,0.0588235294117647,0.032258064516129,9.22112802148612,23.5452103849597,4.11817367949866,5.10295434198747,10.1163831692032,3.93912264995524,1.16383169203223,0.0895255147717099,0.0,1.34288272157565,0.139751552795031,0.437931034482759,10.2339805825243,26.6214285714286,3.84959713518353,0.148275862068966,0.790697674418605,0.382352941176471,0.0232558139534883,9.0420769919427,0.348275862068966,0.504950495049505,0.118811881188119,5.55058191584602,0.213793103448276,0.467741935483871,0.241379310344828,0.71620411817368,0.0275862068965517,0.375,0.375,1.0,6.80393912264996,0.342105263157895,26,76,0.342105263157895
Dyson Daniels,ATL,3.07396733909702,2.30547550432277,1.76948828311813,0.0960614793467819,2.49759846301633,114.0,0.666666666666667,3.33333333333333,12.8722382324688,10.4707012487992,0.513761467889908,1.24879923150817,0.230769230769231,1.24879923150817,5.95581171950048,4.8030739673391,0.864553314121037,0.0,0.553571428571429,0.607843137254902,1.0,0.10655737704918,0.543726229508197,0.495901639344262,0.511450381679389,0.960614793467819,13.9197267292912,4.25633668101387,5.90476190476191,2.85714285714286,0.122950819672131,2.66666666666667,0.111553784860558,2.59365994236311,1.44092219020173,0.0609756097560975,1.15273775216138,0.0585365853658536,0.0598669623059867,0.145833333333333,0.0588235294117647,8.45341018251681,20.1729106628242,5.18731988472623,3.26609029779059,2.01729106628242,1.15273775216138,0.288184438040346,0.0,0.0,0.0,0.0916030534351145,0.524590163934426,4.61467889908257,25.5307692307692,4.89913544668588,0.418032786885246,0.607843137254902,0.580645161290323,0.0784313725490196,5.57156580211335,0.475409836065574,0.431034482758621,0.0517241379310344,0.0,0.0,0.0,0.0,0.384245917387128,0.0327868852459016,0.5,0.5,1.0,0.864553314121037,0.111111111111111,1,9,0.111111111111111
Desmond Bane,ORL,3.49854227405248,1.55490767735666,2.47572815533981,0.388726919339164,3.20699708454811,113.579049466537,0.484966052376334,1.06692531522793,24.6841593780369,13.2167152575316,0.507352941176471,7.28862973760933,0.306666666666667,4.56754130223518,6.99708454810496,6.41399416909621,4.3731778425656,2.33236151603499,0.521739130434783,0.553846153846154,0.652173913043478,0.355450236966825,0.513995971563981,0.490521327014218,0.541304347826087,0.777453838678329,22.5998300764656,3.20388349514563,4.84966052376334,2.81280310378274,0.107407407407407,1.64888457807953,0.0833333333333333,1.55490767735666,0.680272108843537,0.0294117647058823,0.777453838678329,0.0373831775700934,0.0331858407079646,0.0833333333333333,0.0337078651685393,6.511175898931,15.5490767735666,3.98445092322643,2.52672497570457,4.95626822157434,1.55490767735666,0.485908649173955,0.0,0.0,0.777453838678329,0.072072072072072,0.625592417061611,7.33308823529412,25.6746666666667,5.53935860058309,0.270142180094787,0.614035087719298,0.571428571428571,0.140350877192982,5.15063168124393,0.251184834123223,0.433962264150943,0.150943396226415,2.52672497570457,0.123222748815166,0.423076923076923,0.545454545454545,1.74927113702624,0.0853080568720379,0.333333333333333,0.333333333333333,1.0,5.53935860058309,0.298245614035088,17,57,0.298245614035088
Derrick White,BOS,2.13849287169043,1.32382892057027,1.37404580152672,0.0,4.989816700611,111.19023397762,2.03458799593082,2.64496439471007,24.3380855397149,10.183299389002,0.43,13.3401221995927,0.305343511450382,3.36048879837067,4.68431771894094,4.07331975560082,7.94297352342159,4.27698574338086,0.534883720930233,0.560975609756098,0.65,0.567099567099567,0.518308913043478,0.445887445887446,0.483739837398374,0.407331975560082,23.1972198088619,3.05343511450382,4.78128179043744,2.23804679552391,0.0901639344262295,2.13631739572737,0.0864197530864197,1.32382892057027,0.407331975560082,0.0170212765957446,0.814663951120163,0.0293040293040293,0.0236220472440944,0.0895522388059701,0.044776119402985,8.14663951120163,19.857433808554,4.58248472505092,3.56415478615071,4.07331975560082,1.83299389002037,0.610997963340122,0.203665987780041,0.10183299389002,0.203665987780041,0.081967213114754,0.67965367965368,9.474,25.9809160305344,2.64765784114053,0.112554112554113,0.576923076923077,0.333333333333333,0.192307692307692,4.88798370672098,0.207792207792208,0.354166666666667,0.104166666666667,2.64765784114053,0.112554112554113,0.423076923076923,0.636363636363636,2.44399185336049,0.103896103896104,0.375,0.391304347826087,1.0,10.8961303462322,0.289719626168224,31,107,0.289719626168224
VJ Edgecombe,PHI,2.41448692152918,1.81086519114688,2.10526315789474,0.0,2.51509054325956,114.785214785215,0.4995004995005,1.5984015984016,20.2213279678068,11.0663983903421,0.436363636363636,7.24346076458753,0.375,2.41448692152918,4.62776659959759,5.03018108651911,7.84708249496982,0.301810865191147,0.479166666666667,0.48936170212766,0.962962962962963,0.395604395604396,0.532491483516484,0.486263736263736,0.510152284263959,0.201207243460765,18.9212328767123,3.70927318295739,4.995004995005,1.998001998002,0.0784313725490196,2.5974025974026,0.109243697478992,2.41448692152918,1.20724346076459,0.0458015267175572,1.10663983903421,0.0521327014218009,0.0486257928118393,0.106796116504854,0.05,5.63380281690141,13.7826961770624,3.11871227364185,2.51509054325956,3.31991951710262,1.30784708249497,0.100603621730382,0.201207243460765,0.201207243460765,0.301810865191147,0.0773195876288659,0.664835164835165,6.87,25.6819444444444,4.92957746478873,0.269230769230769,0.571428571428571,0.607142857142857,0.102040816326531,4.5271629778672,0.247252747252747,0.333333333333333,0.0444444444444444,1.60965794768612,0.0879120879120879,0.3125,0.4,0.905432595573441,0.0494505494505494,0.333333333333333,0.375,1.0,6.33802816901409,0.380952380952381,24,63,0.380952380952381
Devin Vassell,SAS,1.65460186142709,1.03412616339193,1.55038759689923,0.206825232678387,2.37849017580145,109.607438016529,0.413223140495868,1.65289256198347,19.6483971044467,7.54912099276112,0.465753424657534,10.134436401241,0.346938775510204,2.06825232678387,4.96380558428128,2.06825232678387,10.2378490175801,0.31023784901758,0.705882352941177,0.705882352941177,0.970588235294118,0.573099415204678,0.530399122807018,0.497076023391813,0.522222222222222,0.0,17.9159049360146,2.48062015503876,4.44214876033058,1.75619834710744,0.0661478599221789,2.47933884297521,0.113207547169811,0.517063081695967,0.0,0.0,0.517063081695967,0.0223214285714285,0.0123762376237623,0.0505050505050505,0.0,3.72285418821096,8.68665977249224,2.48190279214064,1.24095139607032,2.58531540847983,0.930713547052741,0.103412616339193,0.31023784901758,0.206825232678387,0.0,0.0666666666666666,0.660818713450292,11.1424657534247,25.3540816326531,1.5511892450879,0.087719298245614,0.6,0.555555555555556,0.0,2.89555325749741,0.16374269005848,0.321428571428571,0.0714285714285714,3.1023784901758,0.175438596491228,0.533333333333333,0.8125,2.58531540847983,0.146198830409357,0.32,0.32,1.0,7.54912099276112,0.356164383561644,26,73,0.356164383561644
Brandin Podziemski,GSW,2.02558635394456,0.852878464818763,1.9271948608137,0.106609808102345,3.7313432835820897,109.784946236559,0.537634408602151,2.04301075268817,19.6162046908316,7.99573560767591,0.506666666666667,7.99573560767591,0.386666666666667,2.23880597014925,5.33049040511727,2.77185501066098,7.67590618336887,1.59914712153518,0.657894736842105,0.657894736842105,0.827586206896552,0.5,0.520777666666667,0.543333333333333,0.560975609756098,0.0,17.4451858913251,3.96145610278373,7.20430107526882,3.44086021505376,0.150234741784038,3.65591397849462,0.165853658536585,0.746268656716418,0.213219616204691,0.0106951871657754,0.533049040511727,0.02,0.0160183066361556,0.129032258064516,0.0166666666666666,5.01066098081023,13.2196162046908,1.81236673773987,3.19829424307036,2.98507462686567,0.959488272921109,0.0,0.0,0.0,0.533049040511727,0.0566037735849056,0.68,8.27733333333333,25.6773333333333,2.87846481876333,0.18,0.814814814814815,0.681818181818182,0.111111111111111,3.30490405117271,0.206666666666667,0.290322580645161,0.0,1.81236673773987,0.113333333333333,0.411764705882353,0.714285714285714,1.81236673773987,0.113333333333333,0.529411764705882,0.529411764705882,0.888888888888889,6.18336886993603,0.344827586206897,20,58,0.344827586206897
Max Christie,DAL,1.71306209850107,0.856531049250535,1.43846563665424,0.0,2.56959314775161,113.89183457052,0.848356309650053,0.848356309650053,19.3790149892934,5.13918629550321,0.5,8.88650963597431,0.457831325301205,2.03426124197002,3.64025695931478,1.49892933618844,12.2055674518201,0.0,0.708333333333333,0.708333333333333,1.0,0.633587786259542,0.557643893129771,0.618320610687023,0.632867132867133,0.0,15.128449096099,2.6638252530634,5.19618239660658,2.33297985153765,0.0916666666666666,2.4390243902439,0.111650485436893,0.107066381156317,0.107066381156317,0.0045454545454545,0.0,0.0,0.002375296912114,0.111111111111111,0.0125,4.17558886509636,9.95717344753747,2.56959314775161,1.60599571734475,2.78372591006424,1.17773019271949,0.214132762312634,0.0,0.0,0.321199143468951,0.0785714285714285,0.83206106870229,4.43541666666667,24.6120481927711,2.78372591006424,0.198473282442748,0.692307692307692,0.722222222222222,0.115384615384615,2.35546038543897,0.16793893129771,0.272727272727273,0.136363636363636,0.0,0.0,0.0,0.0,4.06852248394004,0.290076335877863,0.578947368421053,0.578947368421053,1.0,4.81798715203426,0.355555555555556,16,45,0.355555555555556
Donovan Mitchell,CLE,4.41640378548896,2.52365930599369,1.58394931362196,0.0,7.04521556256572,111.346765641569,0.63626723223754,2.01484623541888,42.2712933753943,13.7749737118822,0.633587786259542,14.0904311251314,0.388059701492537,8.41219768664564,3.5751840168244,13.8801261829653,9.14826498422713,7.25552050473186,0.204819277108434,0.207317073170732,0.557692307692308,0.505660377358491,0.533836037735849,0.607547169811321,0.654098360655738,0.210304942166141,31.9227230910764,3.16789862724393,5.40827147401909,2.4390243902439,0.1,2.96924708377519,0.141414141414141,0.946372239747634,0.315457413249211,0.0169491525423728,0.630914826498423,0.0241935483870967,0.0211764705882352,0.0714285714285714,0.0,7.57097791798107,18.6119873817035,4.10094637223975,3.47003154574133,10.1997896950578,3.15457413249211,0.630914826498423,0.630914826498423,0.10515247108307,1.15667718191377,0.119453924914676,0.690566037735849,8.21374045801527,26.0029850746269,5.15247108307045,0.184905660377358,0.693877551020408,0.235294117647059,0.0408163265306122,5.57308096740273,0.2,0.584905660377359,0.0566037735849056,3.04942166140904,0.109433962264151,0.620689655172414,0.333333333333333,1.57728706624606,0.0566037735849056,0.533333333333333,0.533333333333333,0.875,12.5131440588854,0.369747899159664,44,119,0.369747899159664
Austin Reaves,LAL,4.52039691289967,2.97684674751929,1.65471594043023,0.0,8.82028665931643,111.258278145695,0.11037527593819,1.76600441501104,37.1554575523705,12.4586549062845,0.628318584070796,10.4740904079383,0.326315789473684,11.2458654906284,5.29217199558986,10.3638368246968,7.27673649393605,2.97684674751929,0.338028169014085,0.347826086956522,0.709677419354839,0.456730769230769,0.510583653846154,0.564903846153846,0.650980392156863,0.441014332965821,29.0480863591757,3.36458907887479,5.84988962472406,2.64900662251656,0.121212121212121,3.20088300220751,0.134883720930233,0.882028665931643,0.220507166482911,0.0125,0.661521499448732,0.0295566502463054,0.0220385674931129,0.032258064516129,0.037037037037037,10.0330760749724,22.3814773980154,7.71775082690188,2.31532524807056,12.8996692392503,4.1896361631753,1.10253583241455,0.551267916207277,0.110253583241455,1.65380374862183,0.179166666666667,0.615384615384615,8.06460176991151,26.4926315789474,3.6383682469680303,0.158653846153846,0.818181818181818,0.407407407407407,0.0606060606060606,6.61521499448732,0.288461538461538,0.616666666666667,0.05,2.20507166482911,0.0961538461538461,0.35,0.142857142857143,0.771775082690188,0.0336538461538461,0.285714285714286,0.333333333333333,1.0,9.70231532524807,0.329545454545455,29,88,0.329545454545455
