Name,TeamAbbreviation,Points,Usage,EfgPct,TsPct,Assists,AssistPoints,Turnovers,FTA,FG3APct,Rebounds,DefRebounds,Blocks,Steals,AtRimFrequency,AtRimAccuracy,Avg2ptShotDistance,Avg3ptShotDistance
James Harden,LAC,31.7757009345794,29.1790461297889,0.500772200772201,0.583879423328965,12.1142655616293,27.6847116910598,6.01304884500088,10.1922059601481,0.515830115830116,4.02400282386163,7.08355414237767,0.971559795089207,2.08443737855503,0.155212355212355,0.587064676616915,7.37145135566188,26.599251497006
Trae Young,ATL,31.2139708375721,29.2204899777283,0.490552325581395,0.56141975308642,14.9203119701594,34.4354018311292,6.01898948796202,9.51169888097661,0.46656976744186,2.00305550840265,3.39904826648538,0.203942895989123,1.54656696125085,0.157703488372093,0.525345622119816,8.15476839237057,27.6771028037383
Shai Gilgeous-Alexander,OKC,45.6533725418122,34.3567251461988,0.568538647342995,0.631701030927835,8.91380260981437,22.6061385774674,3.36335232494027,12.2955339092079,0.26268115942029,3.49534261735682,5.77563865235098,1.42539800074047,2.42502776749352,0.253019323671498,0.701670644391408,8.25954135954136,26.0310344827586
Bub Carrington,WAS,15.6942823803967,15.9212571231221,0.49331550802139,0.513427109974425,7.07895760404512,17.1917541812524,2.74212368728121,1.65305328665889,0.544117647058824,3.31454121306376,5.98523124757093,0.408083948698018,1.04935872522347,0.121657754010695,0.538461538461538,10.4856304985337,26.2796068796069
Cade Cunningham,DET,35.8542319749216,33.0060292850991,0.520590253946465,0.562732919254658,12.5,29.6042319749216,6.05407523510972,7.24921630094044,0.286890871654084,4.17485265225933,7.26950354609929,1.0441292356186,1.39873916469661,0.247083047357584,0.572222222222222,7.05553416746872,26.4557416267943
Tyrese Haliburton,IND,26.7361794216014,21.502313990744,0.581510934393638,0.610502283105023,13.240212472949,31.7529018296282,2.36081054495377,4.36749950816447,0.558648111332008,2.54865158549837,4.28571428571429,0.972222222222222,2.08333333333333,0.129224652087475,0.715384615384615,9.34977477477478,27.1811387900356
Jamal Murray,DEN,28.8701246481705,24.0652135388978,0.543264942016057,0.579656862745098,8.10213108162445,19.2601527945316,2.77442702050663,4.94571773220748,0.354148082069581,2.63608008854009,4.3705941591138,0.664652567975831,1.83282980866062,0.189116859946476,0.641509433962264,9.79406077348066,26.0682619647355
Jalen Brunson,NYK,36.5405405405405,29.5610687022901,0.550833333333333,0.60310021629416,10.2702702702703,23.7189189189189,3.54594594594595,9.68648648648649,0.330833333333333,2.02688055495339,3.47750489024125,0.173875244512063,1.30406433384047,0.188333333333333,0.641592920353982,8.58742216687422,25.6345088161209
Darius Garland,CLE,32.1934945788157,27.0101195952162,0.562180579216354,0.599063962558502,10.5504587155963,24.9791492910759,3.9407839866555503,5.31693077564637,0.450596252129472,2.23685585868088,3.50031439949696,0.23055963110459,1.90735694822888,0.178875638841567,0.614285714285714,8.11720930232558,26.25
Chris Paul,SAS,15.3145520016946,13.9992432841468,0.547169811320755,0.570731707317073,12.815081550519,31.1374708748147,2.73247193391231,1.94873967379792,0.636363636363636,3.15228966986156,5.63289783679589,0.471192974941101,2.20603983722425,0.0291595197255574,0.823529411764706,13.1132075471698,25.822102425876
Payton Pritchard,BOS,25.547119249665,19.0098626958035,0.619515011547344,0.632630410654828,6.23046002679768,15.4086645824029,1.85350602947744,1.87583742742296,0.722863741339492,3.43669539908206,4.60157126823794,0.314253647586981,1.5712682379349,0.146651270207852,0.755905511811024,6.77958333333333,26.9126198083067
Stephen Curry,GSW,36.5298745481608,29.1936978683967,0.571939586645469,0.617028985507246,8.95173293642356,20.7314480119073,4.25260472039124,6.3576440569849,0.623211446740859,3.31586265910793,5.81145071028842,0.645716745587602,1.72191132156694,0.127186009538951,0.65,7.97426160337553,27.2099489795918
De'Aaron Fox,SAS,31.2955812955813,28.0751708428246,0.514187446259673,0.558575803981623,8.40840840840841,20.2702702702703,3.73230373230373,6.82110682110682,0.327601031814273,3.20292347377472,5.2563550193882,0.53856096510125,1.96036191296855,0.205503009458298,0.669456066945607,8.68734015345269,25.8590551181102
Tyus Jones,PHX,18.7811508835523,16.3565732978941,0.569546120058565,0.584626234132581,9.71907566832805,24.2863615768011,2.06162211146353,1.29134571816946,0.587115666178624,2.22803228373309,3.55920602327173,0.182523385808807,1.57426420260096,0.0834553440702781,0.754385964912281,8.57517730496454,25.1605985037406
Spencer Dinwiddie,DAL,19.7867029725437,18.0204081632653,0.49633431085044,0.556338028169014,7.9192194236442,19.0152030859995,2.3144996596324,5.5139550714772,0.478005865102639,2.36934587915202,4.3271409152696,0.385138196647032,1.58586316266425,0.175953079178886,0.583333333333333,7.11938202247191,25.5371165644172
Josh Giddey,CHI,22.7111111111111,21.8799682034976,0.530701754385965,0.567777777777778,11.1777777777778,27.1777777777778,4.48888888888889,4.97777777777778,0.348370927318296,6.2770322723744,9.71883993801196,0.996236440115121,1.85964135488156,0.319548872180451,0.576470588235294,5.34326923076923,25.3395683453237
Fred VanVleet,HOU,19.872851424535,17.9339171974522,0.482872200263505,0.511627906976744,7.84082882034377,18.4600894749235,2.04850482693666,3.20226041911938,0.60737812911726,2.6061320754717,4.4649184975194895,0.590597684857075,2.2206472950626,0.121212121212121,0.5,10.15,26.7431670281996
Keyonte George,UTA,25.7260461925452,24.2009132420091,0.485310119695321,0.539054966248795,8.64395152069518,20.8781157100389,4.18477018065401,6.51726503544477,0.551686615886834,2.88977727013135,5.18028297581013,0.205385668644455,1.04974897307166,0.109902067464635,0.613861386138614,7.81359223300971,25.6246548323471
