Name,TeamAbbreviation,cluster
Josh Hart,NYK,3
Anthony Edwards,MIN,2
Devin Booker,PHX,2
Tyler Herro,MIA,2
Jalen Green,HOU,2
Christian Braun,DEN,3
Zach LaVine,SAC,2
Derrick White,BOS,4
Dyson Daniels,ATL,3
Austin Reaves,LAL,2
Coby White,CHI,2
Anfernee Simons,POR,2
Malik Beasley,DET,4
Kentavious Caldwell-Pope,ORL,4
Shaedon Sharpe,POR,2
Jalen Williams,OKC,2
Donovan Mitchell,CLE,2
Desmond Bane,MEM,2
Stephon Castle,SAS,2
Tim Hardaway Jr.,DET,4
Max Christie,DAL,4
Nickeil Alexander-Walker,MIN,4
Malik Monk,SAC,2
Jaylen Wells,MEM,4
Quentin Grimes,PHI,2
Jordan Poole,WAS,2
Devin Vassell,SAS,4
Norman Powell,LAC,2
Keon Ellis,SAC,4
Keon Johnson,BKN,1
Gary Trent Jr.,MIL,4
Josh Green,CHA,0
Andrew Nembhard,IND,1
Cason Wallace,OKC,0
Buddy Hield,GSW,4
Kyrie Irving,DAL,2
Kyshawn George,WAS,0
Collin Sexton,UTA,2
Amir Coffey,LAC,4
Jimmy Butler III,GSW,3
Aaron Wiggins,OKC,3
Ochai Agbaji,TOR,0
Brandin Podziemski,GSW,1
Bradley Beal,PHX,1
Kevin Huerter,CHI,4
AJ Green,MIL,4
Moses Moody,GSW,4
Donte DiVincenzo,MIN,4
Isaiah Joe,OKC,4
Caris LeVert,ATL,1
Miles McBride,NYK,4
Gradey Dick,TOR,4
Grayson Allen,PHX,4
Kevin Porter Jr.,MIL,2
Luke Kennard,MEM,4
Terance Mann,ATL,3
Sam Merrill,CLE,4
Ayo Dosunmu,CHI,1
Ty Jerome,CLE,2
Julian Strawther,DEN,4
Nick Smith Jr.,CHA,1
Bogdan Bogdanović,LAC,4
Jordan Hawkins,NOP,4
Tyrese Martin,BKN,0
Johnny Juzang,UTA,4
Javonte Green,CLE,0
Ben Sheppard,IND,0
Ja'Kobe Walter,TOR,0
DaQuan Jeffries,CHA,0
Seth Curry,CHA,4
Cody Williams,UTA,0
Isaac Okoro,CLE,0
Jared Butler,PHI,2
Alex Caruso,OKC,0
Brandon Boston,NOP,1
Dalen Terry,CHI,0
Andre Jackson Jr.,MIL,3
Jordan Clarkson,UTA,2
Gary Payton II,GSW,3
Jaden Hardy,DAL,1
Jaden Ivey,DET,2
Alec Burks,MIA,4
Shake Milton,LAL,1
Garrison Mathews,ATL,4
Pelle Larsson,MIA,0
Cam Thomas,BKN,2
Lindy Waters III,DET,4
Eric Gordon,PHI,4
Landry Shamet,NYK,4
Talen Horton-Tucker,CHI,1
Gary Harris,ORL,0
Blake Wesley,SAS,1
Jalen Pickett,DEN,4
Antonio Reeves,NOP,4
AJ Johnson,WAS,1
Josh Okogie,CHA,3
Pat Connaughton,MIL,3
Ajay Mitchell,OKC,1
Jared McCain,PHI,2
John Konchar,MEM,3
Jaylen Clark,MIN,0
Colby Jones,WAS,1
Wendell Moore Jr.,CHA,3
Vince Williams Jr.,MEM,3
A.J. Lawson,TOR,3
Lonnie Walker IV,PHI,4
Rayan Rupert,POR,3
Jaylon Tyson,CLE,3
Trevelin Queen,ORL,0
Malaki Branham,SAS,1
Baylor Scheierman,BOS,0
Johnny Furphy,IND,0
Damion Baugh,CHA,1
Terrence Shannon Jr.,MIN,3
Jalen Hood-Schifino,PHI,1
Matisse Thybulle,POR,0
Dru Smith,MIA,0
Isaiah Wong,CHA,1
Cam Spencer,MEM,4
Johnny Davis,WAS,0
Garrett Temple,TOR,0
Jared Rhoden,TOR,3
Adam Flagler,OKC,4
Bronny James,LAL,1
Jaylen Nowell,NOP,1
Josh Richardson,MIA,0
Nate Williams,HOU,1
Damion Lee,PHX,1
Elijah Harkless,UTA,0
Alex Ducas,OKC,0
Kobe Bufkin,ATL,1
De'Anthony Melton,GSW,1
Trey Alexander,DEN,1
Jaylen Sims,CHA,1
Luke Travers,CLE,3
Stanley Umude,MIL,0
