Name,TeamAbbreviation,cluster
Mikal Bridges,NYK,0
DeMar DeRozan,SAC,3
Michael Porter Jr.,DEN,2
LeBron James,LAL,3
Dillon Brooks,HOU,0
Amen Thompson,HOU,2
Taurean Prince,MIL,0
Deni Avdija,POR,3
Jaylen Brown,BOS,3
Bennedict Mathurin,IND,3
Kelly Oubre Jr.,PHI,2
Luguentz Dort,OKC,0
Franz Wagner,ORL,3
Klay Thompson,DAL,0
Bilal Coulibaly,WAS,2
Julian Champagnie,SAS,0
Naji Marshall,DAL,2
Derrick Jones Jr.,LAC,2
RJ Barrett,TOR,3
Trey Murphy III,NOP,2
Zaccharie Risacher,ATL,2
Andrew Wiggins,MIA,3
Keldon Johnson,SAS,2
Royce O'Neale,PHX,0
Haywood Highsmith,MIA,1
Duncan Robinson,MIA,0
De'Andre Hunter,CLE,2
Peyton Watson,DEN,2
Tristan da Silva,ORL,1
Corey Kispert,WAS,0
Ziaire Williams,BKN,2
Matas Buzelis,CHI,2
Dalton Knecht,LAL,0
Brice Sensabaugh,UTA,0
Ryan Dunn,PHX,1
Jaime Jaquez Jr.,MIA,2
Justin Champagnie,WAS,2
Ausar Thompson,DET,2
Jalen Johnson,ATL,2
Max Strus,CLE,0
Ronald Holland II,DET,2
Ricky Council IV,PHI,2
Simone Fontecchio,DET,0
Caleb Martin,DAL,2
Kawhi Leonard,LAC,3
Cody Martin,PHX,1
Justin Edwards,PHI,0
Aaron Nesmith,IND,2
Julian Phillips,CHI,1
Jamison Battle,TOR,0
Kris Murray,POR,1
Kyle Anderson,MIA,2
Brandon Miller,CHA,3
KJ Martin,UTA,1
Khris Middleton,WAS,3
Cam Whitmore,HOU,2
Caleb Houstan,ORL,0
Svi Mykhailiuk,UTA,0
Jett Howard,ORL,0
Tosan Evbuomwan,BKN,2
Herbert Jones,NOP,1
Kessler Edwards,DAL,1
Brandon Ingram,NOP,3
Cam Reddish,LAL,1
Jae'Sean Tate,HOU,1
Dillon Jones,OKC,1
Jamal Cain,NOP,2
Jordan Miller,LAC,2
Doug McDermott,SAC,0
Keion Brooks Jr.,NOP,2
Maxwell Lewis,BKN,1
Torrey Craig,BOS,1
Josh Minott,MIN,1
Marcus Bagley,PHI,1
Dariq Whitehead,BKN,0
Jaylen Martin,WAS,2
Cole Swider,TOR,0
MarJon Beauchamp,NYK,3
Oshae Brissett,PHI,2
Spencer Jones,DEN,1
Sidy Cissoko,POR,1
Joe Ingles,MIN,0
Patrick Baldwin Jr.,LAC,0
Chris Livingston,MIL,1
Justin Minaya,POR,1
Keshad Johnson,MIA,2
