Name,TeamAbbreviation,cluster
James Harden,LAC,3
Trae Young,ATL,2
Shai Gilgeous-Alexander,OKC,3
Bub Carrington,WAS,0
Cade Cunningham,DET,3
Tyrese Haliburton,IND,2
Jamal Murray,DEN,2
Jalen Brunson,NYK,2
Darius Garland,CLE,2
Chris Paul,SAS,0
Payton Pritchard,BOS,0
Stephen Curry,GSW,2
De'Aaron Fox,SAS,2
Tyus Jones,PHX,0
Spencer Dinwiddie,DAL,2
Josh Giddey,CHI,1
Fred VanVleet,HOU,0
Keyonte George,UTA,2
Dennis Schröder,BKN,2
Damian Lillard,MIL,3
Russell Westbrook,DEN,1
Davion Mitchell,MIA,0
Tyrese Maxey,PHI,2
Jrue Holiday,BOS,1
Anthony Black,ORL,1
Isaiah Collier,UTA,2
CJ McCollum,NOP,2
Kris Dunn,LAC,1
Luka Dončić,LAL,3
Scoot Henderson,POR,2
Mike Conley,MIN,0
Scotty Pippen Jr.,MEM,1
Terry Rozier,MIA,1
Gabe Vincent,LAL,0
Ja Morant,MEM,2
LaMelo Ball,CHA,3
D'Angelo Russell,BKN,2
Jamal Shead,TOR,0
T.J. McConnell,IND,2
Jose Alvarado,NOP,0
Cole Anthony,ORL,2
Vít Krejčí,ATL,0
Dalano Banton,POR,2
Ben Simmons,LAC,1
Cameron Payne,NYK,0
Dejounte Murray,NOP,2
Jalen Suggs,ORL,2
Bruce Brown,NOP,1
Immanuel Quickley,TOR,2
Tre Jones,CHI,1
KJ Simpson,CHA,1
Ryan Rollins,MIL,0
Marcus Sasser,DET,0
Aaron Holiday,HOU,0
Vasilije Micić,PHX,0
Lonzo Ball,CHI,0
Marcus Smart,WAS,0
Kyle Lowry,PHI,0
Reed Sheppard,HOU,0
Delon Wright,NYK,1
Jeff Dowtin Jr.,PHI,2
Cory Joseph,ORL,0
Monté Morris,PHX,0
Malcolm Brogdon,WAS,2
Jordan Goodwin,LAL,1
Rob Dillingham,MIN,2
Craig Porter Jr.,CLE,1
Elfrid Payton,NOP,1
Keaton Wallace,ATL,0
Brandon Williams,DAL,2
Reece Beekman,BKN,1
Collin Gillespie,PHX,1
Devin Carter,SAC,1
Reggie Jackson,PHI,0
Quenton Jackson,IND,1
Danté Exum,DAL,0
Jaden Springer,UTA,1
Patty Mills,LAC,0
Jevon Carter,CHI,0
Tre Mann,CHA,2
Jordan McLaughlin,SAS,0
Tyler Kolek,NYK,0
Pat Spencer,GSW,1
Bones Hyland,MIN,0
Markelle Fultz,SAC,0
Killian Hayes,BKN,1
Tyson Etienne,BKN,0
TyTy Washington Jr.,PHX,0
Pacôme Dadiet,NYK,1
Yuki Kawamura,MEM,0
