Name,TeamAbbreviation,cluster
Lauri Markkanen,UTA,0
Miles Bridges,CHA,4
Toumani Camara,POR,4
Evan Mobley,CLE,0
DeMar DeRozan,SAC,0
Rui Hachimura,LAL,2
Julius Randle,MIN,0
Scottie Barnes,TOR,0
Pascal Siakam,IND,0
Jaden McDaniels,MIN,2
P.J. Washington,DAL,2
Jake LaRavia,LAL,4
Draymond Green,GSW,4
Harrison Barnes,SAS,2
Giannis Antetokounmpo,MIL,0
Jarace Walker,IND,4
Paolo Banchero,ORL,0
Santi Aldama,MEM,4
Matas Buzelis,CHI,4
OG Anunoby,NYK,4
Aaron Gordon,DEN,2
Jabari Smith Jr.,HOU,2
Kyle Kuzma,MIL,2
Jerami Grant,POR,2
Jonathan Kuminga,GSW,2
John Collins,LAC,2
Noah Clowney,BKN,4
Chet Holmgren,OKC,4
Sam Hauser,BOS,4
Bobby Portis,MIL,4
Dean Wade,CLE,4
Nikola Jović,MIA,4
Patrick Williams,CHI,4
Josh Minott,BOS,4
Jaylin Williams,OKC,4
Jarred Vanderbilt,LAL,1
Tari Eason,HOU,2
Mouhamed Gueye,ATL,2
Nicolas Batum,LAC,4
Oso Ighodaro,PHX,1
Quinten Post,GSW,4
Collin Murray-Boyles,TOR,4
Trendon Watford,PHI,2
Tobias Harris,DET,2
Marvin Bagley III,WAS,5
Jeremiah Robinson-Earl,IND,4
Jalen Wilson,BKN,2
Jordan Walsh,BOS,4
Larry Nance Jr.,CLE,4
Jabari Walker,PHI,4
Zion Williamson,NOP,3
Anthony Davis,DAL,5
Taylor Hendricks,UTA,4
Karlo Matković,NOP,4
Jonathan Isaac,ORL,2
Jeremy Sochan,SAS,2
Kevin Love,UTA,4
Isaiah Livers,PHX,4
Dominick Barlow,PHI,1
Tidjane Salaün,CHA,4
Asa Newell,ATL,2
Obi Toppin,IND,2
Gui Santos,GSW,4
Olivier-Maxence Prosper,MEM,5
Chris Boucher,BOS,4
Nae'Qwan Tomlin,CLE,5
Carter Bryant,SAS,2
Kobe Brown,LAC,4
Maxi Kleber,LAL,4
Rasheer Fleming,PHX,2
Joan Beringer,MIN,1
Jonathan Mogbo,TOR,1
GG Jackson,MEM,2
E.J. Liddell,BKN,2
Tolu Smith,DET,3
Zeke Nnaji,DEN,2
Paul George,PHI,0
Jeff Green,HOU,2
Isaac Jones,DET,1
Hunter Tyson,DEN,5
Drew Peterson,CHA,2
Jahmyl Telfort,LAC,2
Anthony Gill,WAS,5
Danny Wolf,BKN,0
Amari Williams,BOS,1
Johni Broome,PHI,1
DaRon Holmes II,DEN,2
Pete Nance,MIL,2
