Name,TeamAbbreviation,Turnovers,LiveBallTurnovers,Fouls,Charge Fouls,FoulsDrawn,OnDefRtg,Blocks,Steals,Points,FG2A,Fg2Pct,FG3A,NonHeaveFg3Pct,FtPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsUnassisted3s,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,FG3APct,ShotQualityAvg,EfgPct,TsPct,PtsPutbacks,Usage,Rebounds,DefRebounds,DefTwoPtRebounds,DefTwoPtReboundPct,DefThreePtRebounds,DefThreePtReboundPct,OffRebounds,OffTwoPtRebounds,OffTwoPtReboundPct,OffThreePtRebounds,OffThreePtReboundPct,OffFGReboundPct,DefAtRimReboundPct,OffAtRimReboundPct,Assists,AssistPoints,TwoPtAssists,ThreePtAssists,FTA,TwoPtShootingFoulsDrawn,2pt And 1 Free Throw Trips,ThreePtShootingFoulsDrawn,3pt And 1 Free Throw Trips,NonShootingFoulsDrawn,ShootingFoulsDrawnPct,AtRimFG3AFrequency,Avg2ptShotDistance,Avg3ptShotDistance,AtRimFGA,AtRimFrequency,AtRimAccuracy,AtRimPctAssisted,ShortMidRangeFGA,ShortMidRangeFrequency,ShortMidRangeAccuracy,LongMidRangeFGA,LongMidRangeFrequency,LongMidRangeAccuracy,LongMidRangePctAssisted,LongMidRangePctBlocked,Corner3FGA,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3FGA,Arc3Accuracy,NonHeaveArc3FGA,NonHeaveArc3Accuracy
Bam Adebayo,MIA,3.0371627994718,1.50914921712884,1.52830188679245,0.0754574608564421,5.82908885116016,112.794866956029,1.00018871485186,1.84940554821664,26.5798905866818,16.8270137709866,0.516816143497758,4.16902471231843,0.359090909090909,4.71609130352764,10.5263157894737,6.86662893793624,3.96151669496322,0.509337860780985,0.605206073752712,0.661137440758294,0.886075949367089,0.198562443845463,0.510858957952468,0.520664869721474,0.557494052339413,1.47142048670062,23.8896366083446,7.06603773584906,10.6435176448387,5.05755802981695,0.216828478964401,4.92545763351576,0.20863309352518,3.48990756461045,1.92416525183928,0.0814696485623003,1.56574231277118,0.0660828025477707,0.0737639553429027,0.190594059405941,0.092391304347826,6.35729107715525,15.8837955102811,3.18807772118468,3.16921335597057,6.16864742501415,2.8673835125448,0.584795321637427,0.0,0.0,0.509337860780985,0.123176661264182,0.437556154537287,7.87656950672646,25.3677272727273,5.01792114695341,0.238993710691824,0.699248120300752,0.634408602150538,9.3001320505565,0.442946990116801,0.438133874239351,2.5089605734767,0.119496855345912,0.443609022556391,0.559322033898305,0.0225563909774436,1.22618373891719,0.0584007187780772,0.446153846153846,0.453125,1.0,2.94284097340125,0.320512820512821,155,0.32258064516129
Ivica Zubac,LAC,2.39081325301205,1.37424698795181,1.58326265196494,0.0753012048192771,4.55572289156627,108.85072655218,1.69843366672957,1.03793168522363,25.2259036144578,17.7334337349398,0.628450106157113,0.0,0.0,2.93674698795181,15.6626506024096,6.62650602409639,0.0,0.0,0.702702702702703,0.842105263157895,0.0,0.0,0.535950636942675,0.628450106157113,0.64299424184261,3.68975903614458,19.5583068428978,9.518424276694,13.3987544819777,6.37856199282884,0.279801324503311,6.37856199282884,0.266561514195584,5.64759036144578,4.06626506024096,0.16425855513308,1.5625,0.0825870646766169,0.128879310344828,0.259154929577465,0.197080291970803,4.02861445783133,9.61972891566265,2.46611445783133,1.5625,4.44277108433735,2.33433734939759,0.677710843373494,0.0,0.0,0.225903614457831,0.120388349514563,0.528662420382166,4.38885350318471,0.0,9.375,0.528662420382166,0.714859437751004,0.665730337078652,8.11370481927711,0.457537154989384,0.535962877030162,0.244728915662651,0.0138004246284501,0.384615384615385,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
Nikola Jokić,DEN,4.26716141001855,2.91280148423006,1.48533234311177,0.0556586270871985,7.60667903525046,116.629505759941,0.836120401337793,2.35971757710888,38.4230055658627,19.165120593692,0.62729912875121,6.12244897959184,0.441558441558442,6.69758812615955,15.69573283859,8.34879406307978,6.62337662337662,1.05751391465677,0.652777777777778,0.735652173913044,0.86231884057971,0.242112986060161,0.515262687125749,0.627292736610418,0.664198325820992,2.70871985157699,29.1612057667104,8.28072781284813,12.8576737272389,7.20921590486808,0.298921417565485,5.03530286138982,0.214908802537669,3.71057513914657,2.57884972170686,0.111467522052927,1.0760667903525,0.0609243697478991,0.0895861755343337,0.298329355608592,0.119842829076621,13.2838589981447,30.9461966604824,8.90538033395176,4.37847866419295,8.36734693877551,3.11688311688312,1.03896103896104,0.111317254174397,0.0,1.33580705009276,0.117488183659689,0.55465884079237,5.94472410454985,28.7139393939394,7.90352504638219,0.312545854732208,0.71830985915493,0.617647058823529,9.72170686456401,0.384446074834923,0.566793893129771,1.53988868274583,0.0608950843727072,0.542168674698795,0.644444444444445,0.0120481927710843,0.278293135435993,0.0110051357300073,0.533333333333333,0.533333333333333,1.0,5.84415584415584,0.412698412698413,291,0.439862542955326
Brook Lopez,MIL,1.60581150831581,0.688204932135347,1.63855883480261,0.0191168036704263,2.58076849550755,114.908741594621,2.84341978866475,0.960614793467819,19.9005926209138,7.66583827184095,0.635910224438903,7.13056776906901,0.372654155495979,2.1793156184286,7.264385394762,2.48518447715542,7.85700630854521,0.114700822022558,0.745098039215686,0.863636363636364,0.985611510791367,0.481912144702842,0.545802454780362,0.598837209302326,0.625600961538462,1.33817625692984,15.9916201117318,3.85205059409736,5.552353506244,3.32372718539866,0.135792778649922,2.09414024975985,0.0843000773395205,2.16019881475817,1.26170904224814,0.0576923076923076,0.707321735805773,0.0321739130434782,0.0448997384481255,0.139423076923077,0.0492227979274611,2.73370292487096,6.70999808831963,1.49111068629325,1.24259223857771,2.63811890651883,1.39552666794112,0.420569680749379,0.0,0.0,0.133817625692984,0.0884848484848484,0.737726098191215,6.04488778054863,26.7632707774799,3.78512712674441,0.255813953488372,0.777777777777778,0.701298701298701,3.11603899827949,0.210594315245478,0.515337423312884,0.764672146817052,0.0516795865633074,0.425,0.882352941176471,0.0,0.745555343146626,0.0503875968992248,0.564102564102564,0.564102564102564,0.954545454545455,6.38501242592239,0.350299401197605,334,0.350299401197605
Karl-Anthony Towns,NYK,3.75954572155865,1.68396318778148,2.44717444717445,0.195809672997846,6.75543371842569,115.430149960537,0.986582478295186,1.40094711917916,34.4429214803211,17.1725083219111,0.566704675028506,6.6183669473272,0.420118343195266,6.63794791462698,11.3961229684746,8.06735852751126,8.10652046211083,0.234971607597415,0.585513078470825,0.699519230769231,0.971830985915493,0.278189300411523,0.554913210702341,0.584362139917696,0.633598841419261,3.17211670256511,27.2160664819945,9.04176904176904,13.9700078926598,6.86661404893449,0.289758534554538,6.17600631412786,0.273840769903762,4.15116506755434,2.76091638926963,0.114634146341463,1.35108674368514,0.0660919540229885,0.0923482849604221,0.245977011494253,0.119675456389452,4.30781280595261,9.57509300959467,3.34834540826317,0.959467397689446,8.00861562561191,4.26865087135305,1.25318190718622,0.0195809672997846,0.0,0.215390640297631,0.15985401459854,0.698765432098765,4.73192702394527,26.4547337278107,10.0058742901899,0.420576131687243,0.669275929549902,0.596491228070175,5.91345212453495,0.248559670781893,0.443708609271523,1.25318190718622,0.0526748971193415,0.328125,0.80952380952381,0.015625,0.430781280595261,0.0181069958847736,0.318181818181818,0.318181818181818,1.0,6.18758566673194,0.427215189873418,316,0.427215189873418
Domantas Sabonis,SAC,4.05785456006428,2.26998794696665,2.30498238550579,0.120530333467256,5.56448372840498,115.91688521283,0.524510792818237,0.968327617510591,26.8581759742869,14.8051426275613,0.626865671641791,3.13378867014865,0.416666666666667,4.37926878264363,11.6914423463238,6.87022900763359,3.85697067095219,0.0602651667336279,0.62987012987013,0.773936170212766,0.984615384615385,0.174692049272116,0.557520261066969,0.626539753639418,0.65603532875368,3.455202892728,21.6619318181818,9.78359335681933,14.2223118821868,7.02037522695179,0.302345786272806,6.03187411740972,0.257093723129837,5.36359983929289,3.89714744877461,0.161263507896924,1.46645239051828,0.0674676524953789,0.116849015317287,0.291291291291291,0.194610778443114,8.49738850944154,20.148654077943,5.34351145038168,3.15387705905986,5.80554439533949,2.67175572519084,0.683005222981117,0.0,0.0,0.542386500602652,0.134072580645161,0.697648376259799,4.36689280868385,25.9711538461538,9.38127762153475,0.522956326987682,0.69593147751606,0.609230769230769,4.19847328244275,0.234042553191489,0.521531100478469,1.22539172358377,0.0683090705487122,0.459016393442623,0.821428571428571,0.0163934426229508,0.160707111289675,0.0089585666293393,0.5,0.5,1.0,2.97308155885898,0.412162162162162,148,0.412162162162162
Alperen Sengun,HOU,3.9770397703977,2.1320213202132,2.15552805280528,0.10250102501025,8.30258302583026,110.170195101702,1.26608551266086,1.74346201743462,29.7457974579746,21.5867158671587,0.518518518518519,1.8450184501845,0.235955056179775,6.06806068060681,10.5781057810578,11.8081180811808,1.230012300123,0.06150061500615,0.472527472527473,0.539748953974895,0.952380952380952,0.0787401574803149,0.518006812110418,0.505249343832021,0.543445692883895,2.7880278802788,26.5380604796663,8.11674917491749,10.8966376089664,5.97758405977584,0.222565687789799,4.25487754254878,0.195984703632887,5.371053710537111,3.30053300533005,0.11864406779661,1.9270192701927,0.0859232175502742,0.104039167686659,0.22883295194508,0.161157024793388,7.62607626076261,18.7576875768758,4.12054120541205,3.50553505535055,8.77408774087741,3.8950389503895,0.861008610086101,0.0,0.0,0.902009020090201,0.147172734314485,0.495188101487314,5.89078822412156,26.1224719101124,9.75809758097581,0.416447944006999,0.651260504201681,0.425806451612903,10.0861008610086,0.430446194225722,0.410569105691057,1.74251742517425,0.0743657042869641,0.4,0.764705882352941,0.0117647058823529,0.10250102501025,0.0043744531933508,0.4,0.4,1.0,1.74251742517425,0.223529411764706,84,0.226190476190476
Rudy Gobert,MIN,1.8650461022632,1.0896898575021,1.90835692565796,0.0,5.42749371332775,109.695697796432,2.18258132214061,1.17523609653725,18.1475272422464,10.6873428331936,0.668627450980392,0.0,0.0,3.8558256496228,10.1005867560771,4.19111483654652,0.0,0.0,0.706744868035191,0.923371647509579,0.0,0.0,0.641202941176471,0.668627450980392,0.681889763779528,3.35289186923722,13.2054794520548,8.23109992660166,10.912906610703,5.03672612801679,0.200333889816361,4.8688352570829,0.208820882088209,5.55322715842414,3.03855825649623,0.13016157989228,2.36797988264879,0.0994718309859155,0.114666666666667,0.184466019417476,0.149253731343284,2.66135792120704,6.85247275775356,1.13160100586756,1.52975691533948,5.720871751886,2.70326906957251,0.502933780385583,0.0,0.0,0.419111483654652,0.209756097560976,0.835294117647059,2.35823529411765,0.0,8.92707460184409,0.835294117647059,0.755868544600939,0.692546583850932,1.63453478625314,0.152941176470588,0.243589743589744,0.125733445096396,0.0117647058823529,0.0,0.0,0.166666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
Jarrett Allen,CLE,2.03910027328148,1.07210426739542,1.33277363836709,0.0630649569056127,5.40256464158083,113.181056160939,1.52975691533948,1.61357921207041,23.1868824889636,13.348749211688,0.711811023622047,0.105108261509355,0.0,4.18330880807231,15.6821526171957,3.32142106369561,0.0,0.0,0.825221238938053,0.946700507614213,0.0,0.0078125,0.621895310015898,0.70625,0.720915032679739,2.43851166701703,15.9179145867998,8.37443593241683,12.1961441743504,5.93042749371333,0.23563696919234,5.23889354568315,0.227894257064722,4.54067689720412,2.39646836241329,0.113320079522863,2.14420853479083,0.0896309314586994,0.100746268656716,0.180400890868597,0.131443298969072,3.32142106369561,8.03027117931469,1.93399201177212,1.38742905192348,5.82299768761825,2.64872819003574,0.588606264452386,0.0,0.0,0.567584612150515,0.170731707317073,0.6703125,3.39653543307087,25.42,8.91318057599327,0.6625,0.778301886792453,0.781818181818182,4.30943872188354,0.3203125,0.585365853658537,0.126129913811226,0.009375,0.333333333333333,1.0,0.0,0.0420433046037418,0.003125,0.0,0.0,0.0,0.0630649569056127,0.0,3,0.0
Nikola Vučević,CHI,2.4435318275154,1.43737166324435,1.67729985593744,0.0410677618069815,3.36755646817248,118.007425742574,1.07260726072607,1.25825082508251,27.700205338809,14.7227926078029,0.587168758716876,6.59137577002053,0.403125,2.46406570841889,13.1006160164271,4.18891170431212,7.88501026694045,0.0616016427104722,0.757719714964371,0.850666666666667,0.992248062015504,0.309248554913295,0.5240337512054,0.592003853564547,0.612624886466848,1.88911704312115,22.5341706686369,7.56328462646635,11.4892739273927,5.79620462046205,0.250892857142857,4.92986798679868,0.200335289186924,3.65503080082136,2.32032854209446,0.106003752345216,1.31416837782341,0.0557006092254134,0.0799097065462754,0.280285035629454,0.134736842105263,5.25667351129363,13.305954825462,2.46406570841889,2.79260780287474,3.05954825462012,1.43737166324435,0.431211498973306,0.0,0.0,0.287474332648871,0.0643974241030358,0.570327552986513,6.45620641562064,25.9619937694704,5.564681724846,0.261078998073218,0.660516605166052,0.653631284916201,7.74127310061602,0.363198458574181,0.56763925729443,1.41683778234086,0.0664739884393063,0.405797101449275,0.928571428571429,0.0144927536231884,0.554414784394251,0.0260115606936416,0.407407407407407,0.407407407407407,1.0,6.03696098562628,0.401360544217687,293,0.402730375426621
