cluster,Turnovers,LiveBallTurnovers,Fouls,Charge Fouls,FoulsDrawn,OnDefRtg,Blocks,Steals,Points,FG2A,Fg2Pct,FG3A,NonHeaveFg3Pct,FtPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsUnassisted3s,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,FG3APct,ShotQualityAvg,EfgPct,TsPct,PtsPutbacks,Usage,Rebounds,DefRebounds,DefTwoPtRebounds,DefTwoPtReboundPct,DefThreePtRebounds,DefThreePtReboundPct,OffRebounds,OffTwoPtRebounds,OffTwoPtReboundPct,OffThreePtRebounds,OffThreePtReboundPct,OffFGReboundPct,DefAtRimReboundPct,OffAtRimReboundPct,Assists,AssistPoints,TwoPtAssists,ThreePtAssists,FTA,TwoPtShootingFoulsDrawn,2pt And 1 Free Throw Trips,ThreePtShootingFoulsDrawn,3pt And 1 Free Throw Trips,NonShootingFoulsDrawn,ShootingFoulsDrawnPct,AtRimFG3AFrequency,Avg2ptShotDistance,Avg3ptShotDistance,AtRimFGA,AtRimFrequency,AtRimAccuracy,AtRimPctAssisted,ShortMidRangeFGA,ShortMidRangeFrequency,ShortMidRangeAccuracy,LongMidRangeFGA,LongMidRangeFrequency,LongMidRangeAccuracy,LongMidRangePctAssisted,LongMidRangePctBlocked,Corner3FGA,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3FGA,Arc3Accuracy,NonHeaveArc3FGA,NonHeaveArc3Accuracy
0,4.090477556670516,2.743974440253496,1.459031360510496,0.12422966028219669,6.19281225530486,113.98504532546019,1.0882052030896374,1.710490866252918,32.525563839577515,15.85016460278688,0.5287554477274037,9.32333177704995,0.3475137465187116,6.049431263209171,6.508905504904931,10.251856806766693,6.113793808193254,3.601576456503466,0.3789973946204478,0.39180886091071143,0.6469689957652751,0.3720086146593728,0.5136132204744492,0.5261513826059215,0.5677800471440912,0.5531489773962052,28.83758592208698,5.026552925188218,8.791079102843787,3.9702029244930124,0.1698484438638708,4.186008074981626,0.1791332262879018,1.2737606500412233,0.5599082591783529,0.02324580657166622,0.6711848946233032,0.028969490852202684,0.02599037476936582,0.1408539233766816,0.025674441200637423,7.1736752776890835,17.48910854773222,4.03191728533504,3.141757992354044,7.742977693703113,3.3637202132930817,0.7731424252035797,0.15820160723829604,0.023021273695468282,0.573297900691143,0.12165054218849011,0.5726714823369308,8.988126929041163,26.2087065542079,5.16206906401575,0.20066286767755778,0.7133738554336164,0.4824550153212354,6.595472870960245,0.26248293934068984,0.4416495791598554,4.092622667810877,0.1648455783223794,0.43360757927649674,0.343878923813995,0.00310364145658262,1.2616860906091532,0.052416720260907754,0.368170582804729,0.3698778998778998,0.9371428571428572,8.061645686440796,0.3408494079822752,331.4,0.34419539613204797
1,2.021011799369633,0.995253561561656,2.448974229410861,0.06292459746776934,3.4716663321899635,113.62461505059161,1.5408033418437448,1.7730406756409884,18.172130208154776,10.501934191466061,0.5889275339255089,3.528556654512554,0.22974941741671084,2.8609225610047644,8.617786712327279,3.838175025599149,2.8436243402396677,0.011621568983916,0.6953582043641101,0.8510884779168503,0.8860229276895943,0.24406776544065714,0.5793068178125172,0.5456903576514076,0.5755538233246723,2.29106728302648,15.475906164121827,6.187752881734056,7.978284823784721,3.8843791732911064,0.17102129904514843,3.5282060427507824,0.1562949597574011,4.393613720569718,2.391822855274189,0.10019039072113298,1.903565212144243,0.08131324009972983,0.0907141372113553,0.1549213187807192,0.11759068270531382,3.1781311273656616,7.627993357275788,1.9064000248211974,1.2717311025444653,4.08529228272714,1.9279458656637831,0.5142897323636956,0.006874388394151045,0.0,0.3394130823731597,0.12440715658683,0.7431851461790546,3.924541744391453,25.739305606701812,6.937014641084416,0.4991173807383975,0.6893964900540849,0.6810222619768826,3.177487003334703,0.23047974873085555,0.39153252184143505,0.38743254704694896,0.02633510509008983,0.21553291716335193,0.5582010582010581,0.005060961582700712,1.828792478564251,0.1302929718299238,0.2671669914023866,0.27450174566696534,0.8888888888888888,1.6997641759483013,0.17035682059795676,27.833333333333332,0.17169627012219615
2,2.2212780288298295,1.2706363837426105,1.7172699609244428,0.0764985783691954,3.1262561047431543,115.84115850793367,0.8952173101113275,1.3359031478185666,21.523203760551976,8.65503108131198,0.5513760803328099,8.373767526030193,0.3621309522820689,3.0072103132234624,6.118615540223298,3.361249687749079,8.619193864534314,0.4169343548218226,0.6431555667239309,0.7034384943547073,0.9511270880946561,0.4888260789181247,0.5477480089898659,0.5458238870473875,0.5752846183710283,0.8349448516879915,18.416594203141152,4.325047470314244,6.709134141240397,2.8965147383534284,0.1251628845750164,3.254459331305946,0.13819350167691585,1.9404948466650265,0.9772165360020224,0.04174242444496675,0.9045135267879648,0.03878865432011424,0.040309232440224094,0.1086604485406858,0.052367921895337045,3.82063259893204,9.331992286797643,2.1299055099984803,1.6907270889335626,3.8582261000378564,1.6854522373160619,0.34308138076005856,0.056254120189578274,0.012993641477499937,0.3014532727069794,0.09610864273562734,0.7455069892520884,5.818515588465997,25.27505473190102,4.31951085704039,0.2566809103339637,0.6403096088818385,0.6817146384576275,3.3852750242039273,0.20103260274274953,0.45810461067663844,0.9502452000676672,0.05346040800516203,0.3598289097167602,0.5424049995200093,0.045295386231954136,3.0073613250668902,0.1773493934383031,0.37765090213513247,0.38091348019074506,0.9773634507320532,5.366406200963299,0.34962877596006803,153.96296296296296,0.3521392831958177
3,4.7073473730157644,2.489671835853105,1.976883919878595,0.44592930284668997,10.144460494288971,117.1963115406275,1.593791595738,1.66210219458181,42.257709624415796,27.19753063660265,0.597990252846941,1.0332386399114655,0.2379032258064515,9.05418576839341,14.4295529110645,18.075818566848703,0.39104597081174897,0.307106407297479,0.444201968335473,0.486466498240159,0.5833333333333335,0.0366770041728104,0.5674238611228655,0.5882009903708969,0.6155585295694506,2.8074052357116903,34.376840163226206,7.282962458303254,10.89655765137688,4.58625925382919,0.19756052807610852,5.60521866493525,0.21992403864264298,3.6886368488439647,2.569710276188815,0.1014747488764004,1.0484387479059696,0.0532481168125602,0.08003187613843345,0.1441050150159846,0.1387747766252435,9.05028464521485,23.3045605676134,3.846293368031125,5.203991277183725,14.256428676347749,7.46202203064166,1.9569782232881598,0.0106269925611052,0.0,0.5756059675290965,0.221444834356853,0.5970260517094195,5.093470533359071,27.7399877899878,15.81805542092585,0.5603490475366095,0.6938138155267815,0.4665026833631485,8.582827802876704,0.30328392423274597,0.45576923076923104,2.7966474128000827,0.09969002405783414,0.326,0.6415929203539825,0.002,0.05986083218807216,0.00212147713908765,0.0,0.0,0.0,0.973377807723389,0.2416666666666665,35.0,0.2550077041602465
4,1.8585243809516587,1.0900307990845752,2.1226211068763297,0.04117670600219927,2.243559162892746,113.04850234499541,1.0664510937709575,1.4702063225231816,16.133748511994842,4.982924467950389,0.5610092264360196,8.204212662222368,0.35709622246385253,1.6363306374799678,3.8899776345237,1.6624908722429292,8.698969630336055,0.24597973741218243,0.6795797523728351,0.8327925749959679,0.9725765361440458,0.6258956537143361,0.5517688262160717,0.545423926224471,0.5659767674501146,0.9325005482817642,14.031536202909576,4.947576886818135,7.120880902508561,3.2666542911356555,0.14731528842491917,3.30814726229536,0.1377634182684803,2.7683869625104993,1.0626804011070476,0.048283818837036814,1.5987456310855814,0.06095375996662555,0.055540032233595805,0.14691436646603986,0.05290453496238808,3.0925803263769747,7.6457363362034245,1.632004642927501,1.4605756834494747,2.218350056358811,0.8961013551355634,0.17829997939386935,0.07480370513157342,0.002006938296040693,0.18807967648636154,0.06766881136015264,0.8524096695606728,5.093142945620053,25.390833436202637,2.9986122532327983,0.22651401584633687,0.6744866109496479,0.6953894431470047,1.5205688055887363,0.11194377725771551,0.3556781610682399,0.463743409128855,0.03564655318161161,0.44662133219104727,0.5847359058565955,0.02058018609742748,2.6863325712749857,0.21210902218372138,0.36671982319392393,0.37005410558453655,0.9769546340216574,5.517880090947378,0.3547924339576891,95.3103448275862,0.3575297669626954
5,3.227844360580348,1.9210740568759648,1.8923307695862097,0.13729063892619203,4.95452049562242,113.46484235711523,1.1955810259982176,1.4857573450091894,27.508154144067888,14.754933004476827,0.529822032000365,7.012457956945795,0.34073272123506454,4.603428757848638,8.675531530282695,7.1272897981545675,6.541847957853283,0.5600560999286794,0.5402460640383151,0.6154122151122157,0.922410464700991,0.3246714277730974,0.5379029190450505,0.5267831025656162,0.5618760626677176,1.705789807294573,24.451348469905547,6.356407722641806,9.821835681995823,4.516698772448127,0.19105265137304717,4.515407978497242,0.1869580519871201,2.8741725589798786,1.7386932772742905,0.07624491549158872,1.0849371455689651,0.04664951079836572,0.06113942739241504,0.16563837430452377,0.0962892271183336,4.653100088122306,11.596176023979176,2.3631242403877533,2.2899758477345524,6.093006857808191,2.90342401531759,0.6795800950278099,0.029351669821606488,0.005153022562747345,0.43427075489620515,0.12047544859014331,0.6404235228101717,5.901926110850651,25.636362823482052,6.8442651626555095,0.31575209503707424,0.6501050462514362,0.551837878258606,6.367351110920458,0.292484075150176,0.4313370593489853,1.5433167309008575,0.06709240203965243,0.40061065516761735,0.6192359316540839,0.06421930927515437,1.8608737845579673,0.08712317413924978,0.3309240488653489,0.33819904188303185,0.9873429134967596,5.1515841723878335,0.33847281578945404,133.0,0.3431178511644448
