ShortName,TeamAbbreviation,GamesPlayed,Minutes,PlusMinus,OffPoss,Points,FG2M,FG2A,Fg2Pct,FG3M,FG3A,Fg3Pct,NonHeaveFg3Pct,FtPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsUnassisted3s,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,FG3APct,ShotQualityAvg,EfgPct,TsPct,PtsPutbacks,Fg2aBlocked,FG2APctBlocked,Fg3aBlocked,FG3APctBlocked
"Jamal Murray, Cameron Johnson, Christian Braun, Aaron Gordon, Nikola Jokić",DEN,10,159,11.464920204757604,328,121.34146341463416,35.97560975609756,56.707317073170735,0.6344086021505376,9.146341463414634,33.53658536585366,0.2727272727272727,0.2727272727272727,21.951219512195124,43.29268292682927,28.65853658536585,22.865853658536587,4.573170731707317,0.6016949152542372,0.6513761467889908,0.8333333333333334,0.3716216216216216,0.5354192567567568,0.5506756756756757,0.5945945945945946,5.487804878048781,3.963414634146341,0.0698924731182795,0.0,0.0
"Brandon Ingram, Jakob Poeltl, RJ Barrett, Immanuel Quickley, Scottie Barnes",TOR,11,152,3.1671249735592117,322,122.98136645962732,36.024844720496894,62.732919254658384,0.5742574257425742,10.869565217391305,28.88198757763975,0.3763440860215054,0.3763440860215054,18.322981366459626,44.72049689440994,27.32919254658385,27.018633540372672,5.590062111801243,0.6206896551724138,0.6728971962616822,0.8285714285714286,0.3152542372881356,0.5489271186440678,0.5711864406779661,0.6055045871559633,5.590062111801243,7.763975155279503,0.1237623762376237,0.3105590062111801,0.010752688172043
"Myles Turner, Gary Trent Jr., Ryan Rollins, AJ Green, Giannis Antetokounmpo",MIL,11,144,-6.178267308404287,292,117.8082191780822,26.36986301369863,47.945205479452056,0.55,16.095890410958905,36.98630136986301,0.4351851851851852,0.4351851851851852,16.78082191780822,22.6027397260274,30.136986301369863,43.15068493150685,5.136986301369863,0.4285714285714285,0.4852941176470588,0.8936170212765957,0.4354838709677419,0.5639477822580645,0.594758064516129,0.6056338028169014,6.164383561643835,4.452054794520548,0.0928571428571428,0.0,0.0
"Josh Okogie, Alperen Sengun, Jabari Smith Jr., Amen Thompson, Kevin Durant",HOU,11,128,11.69824309359194,258,129.84496124031008,39.14728682170543,65.50387596899225,0.5976331360946746,10.852713178294572,25.58139534883721,0.4242424242424242,0.4242424242424242,18.992248062015506,38.75968992248062,39.53488372093023,29.069767441860463,3.488372093023256,0.495049504950495,0.5434782608695652,0.8928571428571429,0.2808510638297872,0.5379195744680851,0.6085106382978723,0.640926640926641,6.976744186046512,4.651162790697675,0.0710059171597633,0.0,0.0
"Deni Avdija, Shaedon Sharpe, Toumani Camara, Donovan Clingan, Jrue Holiday",POR,12,120,0.2538948064240003,259,117.37451737451738,29.343629343629345,47.49034749034749,0.6178861788617886,13.8996138996139,43.62934362934363,0.3185840707964602,0.3185840707964602,16.98841698841699,32.432432432432435,26.254826254826256,34.74903474903475,6.94980694980695,0.5526315789473685,0.6268656716417911,0.8333333333333334,0.4788135593220339,0.5679582627118644,0.5508474576271186,0.5826923076923077,6.94980694980695,3.861003861003861,0.08130081300813,0.0,0.0
"Donte DiVincenzo, Anthony Edwards, Jaden McDaniels, Rudy Gobert, Julius Randle",MIN,10,116,17.352492201499956,244,128.68852459016392,30.327868852459016,48.36065573770492,0.6271186440677966,15.98360655737705,39.34426229508197,0.40625,0.40625,20.081967213114755,30.327868852459016,30.327868852459016,38.114754098360656,9.836065573770492,0.5,0.5606060606060606,0.7948717948717948,0.4485981308411215,0.5571808411214954,0.6191588785046729,0.6548117154811716,6.557377049180328,1.639344262295082,0.0338983050847457,0.0,0.0
"Devin Vassell, Julian Champagnie, Victor Wembanyama, Stephon Castle, Harrison Barnes",SAS,9,110,14.473684210526317,228,120.17543859649123,25.0,44.73684210526316,0.5588235294117647,16.666666666666668,36.8421052631579,0.4523809523809524,0.4523809523809524,20.17543859649123,22.80701754385965,27.19298245614035,46.05263157894737,3.947368421052632,0.4561403508771929,0.5098039215686274,0.9210526315789472,0.4516129032258064,0.5691459677419355,0.6129032258064516,0.6431924882629108,5.2631578947368425,3.0701754385964914,0.0686274509803921,0.0,0.0
"Wendell Carter Jr., Desmond Bane, Franz Wagner, Jalen Suggs, Paolo Banchero",ORL,9,101,19.22975468214192,223,125.11210762331838,32.73542600896861,52.91479820627803,0.6186440677966102,10.762331838565023,30.94170403587444,0.3478260869565217,0.3478260869565217,27.3542600896861,34.08071748878924,31.390134529147986,29.59641255605381,2.690582959641256,0.5205479452054794,0.5588235294117647,0.9166666666666666,0.3689839572192513,0.5641048387096774,0.5828877005347594,0.6405529953917051,4.484304932735426,5.381165919282512,0.1016949152542373,0.0,0.0
"Jaylen Brown, Derrick White, Neemias Queta, Payton Pritchard, Josh Minott",BOS,11,92,5.746812386156648,180,117.22222222222224,35.0,60.55555555555556,0.5779816513761468,10.555555555555555,38.333333333333336,0.2753623188405797,0.2753623188405797,15.555555555555555,38.888888888888886,31.11111111111111,25.0,6.666666666666667,0.5555555555555556,0.603448275862069,0.7894736842105263,0.3876404494382022,0.5386075842696629,0.5140449438202247,0.5466321243523317,5.555555555555555,5.0,0.0825688073394495,0.5555555555555556,0.0144927536231884
"Norman Powell, Davion Mitchell, Pelle Larsson, Kel'el Ware, Andrew Wiggins",MIA,7,90,-6.666666666666671,195,121.53846153846152,30.76923076923077,56.41025641025641,0.5454545454545454,14.871794871794872,37.94871794871795,0.3918918918918919,0.3918918918918919,15.384615384615383,28.71794871794872,32.82051282051282,38.46153846153846,6.153846153846154,0.4666666666666667,0.5283018867924528,0.8620689655172413,0.4021739130434782,0.5574339673913044,0.5625,0.592964824120603,7.17948717948718,5.641025641025641,0.1,0.5128205128205128,0.0135135135135135
