"ShortName","TeamAbbreviation","GamesPlayed","Minutes","PlusMinus","OffPoss","Points","FG2M","FG2A","Fg2Pct","FG3M","FG3A","Fg3Pct","NonHeaveFg3Pct","FtPoints","PtsAssisted2s","PtsUnassisted2s","PtsAssisted3s","PtsUnassisted3s","Assisted2sPct","NonPutbacksAssisted2sPct","Assisted3sPct","FG3APct","ShotQualityAvg","EfgPct","TsPct","PtsPutbacks","Fg2aBlocked","FG2APctBlocked","Fg3aBlocked","FG3APctBlocked"
"Ayton, Dončić, Hachimura, LaRavia, Smart","LAL",7,52,-16.474358974358992,105,113.33333333333333,26.666666666666668,48.57142857142857,0.5490196078431373,13.333333333333334,36.19047619047619,0.3684210526315789,0.3684210526315789,20,38.095238095238095,15.238095238095237,25.714285714285715,14.285714285714286,0.7142857142857143,0.7142857142857143,0.6428571428571429,0.42696629213483145,0.546297191011236,0.550561797752809,0.5833333333333334,0,3.8095238095238093,0.0784313725490196,0,0
"Porter Jr., Mann, Claxton, Thomas, Saraf","BKN",5,51,-20.93951749915051,108,117.5925925925926,35.18518518518518,61.111111111111114,0.5757575757575758,12.962962962962964,31.48148148148148,0.4117647058823529,0.4117647058823529,8.333333333333334,37.03703703703704,33.333333333333336,30.555555555555557,8.333333333333334,0.5263157894736842,0.5882352941176471,0.7857142857142857,0.34,0.5523745,0.59,0.6047619047619047,7.407407407407407,6.481481481481482,0.10606060606060606,0.9259259259259259,0.029411764705882353
"Markkanen, Mykhailiuk, Kessler, George, Filipowski","UTA",5,51,29.893203883495147,103,136.89320388349515,29.12621359223301,42.71844660194175,0.6818181818181818,18.446601941747574,48.54368932038835,0.38,0.38,23.300970873786408,31.067961165048544,27.184466019417474,46.601941747572816,8.737864077669903,0.5333333333333333,0.6666666666666666,0.8421052631578947,0.5319148936170213,0.5357736559139784,0.6223404255319149,0.6588785046728972,11.650485436893204,3.883495145631068,0.09090909090909091,0.970873786407767,0.02
"Moody, Podziemski, Post, Butler III, Green","GSW",9,49,6.22874149659863,96,105.20833333333333,20.833333333333332,38.541666666666664,0.5405405405405406,13.541666666666666,45.833333333333336,0.29545454545454547,0.29545454545454547,22.916666666666668,20.833333333333332,20.833333333333332,40.625,0,0.5,0.5263157894736842,1,0.5432098765432098,0.5199160493827161,0.4876543209876543,0.5434782608695652,2.0833333333333335,2.0833333333333335,0.05405405405405406,0,0
"Brown, White, Queta, Pritchard, Hauser","BOS",10,49,29.131742961530207,99,132.32323232323233,38.38383838383838,61.61616161616162,0.6229508196721312,15.151515151515152,36.36363636363637,0.4166666666666667,0.4166666666666667,10.1010101010101,38.38383838383838,38.38383838383838,30.303030303030305,15.151515151515152,0.5,0.5,0.6666666666666666,0.3711340206185567,0.5152118556701031,0.6237113402061856,0.6435643564356436,0,6.0606060606060606,0.09836065573770492,0,0
"Brown, White, Queta, Pritchard, Walsh","BOS",6,48,30.708915145005378,98,127.55102040816327,32.6530612244898,54.08163265306123,0.6037735849056604,16.3265306122449,38.775510204081634,0.42105263157894735,0.42105263157894735,13.26530612244898,32.6530612244898,32.6530612244898,33.673469387755105,15.306122448979592,0.5,0.5925925925925926,0.6875,0.4175824175824176,0.5291686813186813,0.6153846153846154,0.6377551020408163,10.204081632653061,4.081632653061225,0.07547169811320754,0,0
"Fox, Vassell, Wembanyama, Castle, Barnes","SAS",4,47,13.861386138613852,101,116.83168316831683,27.722772277227723,49.504950495049506,0.56,13.861386138613861,36.633663366336634,0.3783783783783784,0.3783783783783784,19.801980198019802,35.64356435643565,19.801980198019802,41.584158415841586,0,0.6428571428571429,0.6666666666666666,1,0.42528735632183906,0.5800189655172414,0.5632183908045977,0.6145833333333334,1.9801980198019802,2.9702970297029703,0.06,0,0
"Hartenstein, Gilgeous-Alexander, Holmgren, Wallace, Mitchell","OKC",4,47,30.03030303030303,100,127,40,58,0.6896551724137931,10,29,0.3448275862068966,0.3448275862068966,17,44,36,18,12,0.55,0.5641025641025641,0.6,0.3333333333333333,0.5450885057471264,0.632183908045977,0.6684210526315789,2,3,0.05172413793103448,0,0
"Coulibaly, Sarr, George, Middleton, McCollum","WAS",3,46,-9.460077785403797,93,110.75268817204301,21.50537634408602,49.46236559139785,0.43478260869565216,17.204301075268816,36.55913978494624,0.47058823529411764,0.47058823529411764,16.129032258064516,21.50537634408602,21.50537634408602,48.38709677419355,3.225806451612903,0.5,0.5263157894736842,0.9375,0.425,0.5503568750000001,0.55,0.5730337078651685,2.150537634408602,5.376344086021505,0.10869565217391304,0,0
"Bridges, Sexton, Ball, Kalkbrenner, Knueppel","CHA",8,46,2.614379084967325,99,122.22222222222223,29.292929292929294,50.505050505050505,0.58,14.141414141414142,39.39393939393939,0.358974358974359,0.358974358974359,21.21212121212121,26.262626262626263,32.323232323232325,36.36363636363637,6.0606060606060606,0.4482758620689655,0.5416666666666666,0.8571428571428571,0.43820224719101125,0.5651258426966292,0.5617977528089888,0.599009900990099,10.1010101010101,4.040404040404041,0.08,0,0
"Avdija, Sharpe, Camara, Holiday, Grant","POR",11,44,9.43695479777955,97,140.20618556701032,32.98969072164948,46.391752577319586,0.7111111111111111,14.43298969072165,32.98969072164948,0.4375,0.4375,30.927835051546392,30.927835051546392,35.05154639175258,37.11340206185567,6.185567010309279,0.46875,0.4838709677419355,0.8571428571428571,0.4155844155844156,0.5579863636363637,0.6883116883116883,0.723404255319149,2.0618556701030926,5.154639175257732,0.1111111111111111,0,0
"Kuminga, Post, Curry, Butler III, Green","GSW",5,44,20.61133260843299,89,129.2134831460674,26.96629213483146,41.57303370786517,0.6486486486486487,17.97752808988764,40.449438202247194,0.4444444444444444,0.4444444444444444,21.348314606741575,40.449438202247194,13.48314606741573,47.19101123595506,6.741573033707865,0.75,0.75,0.875,0.4931506849315068,0.5463349315068493,0.6575342465753424,0.7037037037037037,0,3.3707865168539324,0.08108108108108109,0,0
"Smith, Jović, Jaquez Jr., Fontecchio, Ware","MIA",7,44,-3.149001536098311,93,118.27956989247312,29.032258064516128,48.38709677419355,0.6,15.053763440860216,31.182795698924732,0.4827586206896552,0.4827586206896552,15.053763440860216,34.40860215053763,23.655913978494624,41.935483870967744,3.225806451612903,0.5925925925925926,0.7272727272727273,0.9285714285714286,0.3918918918918919,0.546272972972973,0.6486486486486487,0.6790123456790124,10.75268817204301,4.301075268817204,0.08888888888888889,0,0
