ShortName,PlusMinus,Minutes
"Jonathan Kuminga, Quinten Post, Stephen Curry, Jimmy Butler III, Draymond Green",20.61133260843299,44
"Dru Smith, Nikola Jović, Jaime Jaquez Jr., Simone Fontecchio, Kel'el Ware",-3.149001536098311,44
"Duncan Robinson, Isaiah Stewart, Cade Cunningham, Jalen Duren, Ausar Thompson",12.70398047887754,41
"Norman Powell, Davion Mitchell, Jaime Jaquez Jr., Kel'el Ware, Andrew Wiggins",9.945027486256876,41
"Nickeil Alexander-Walker, Onyeka Okongwu, Jalen Johnson, Dyson Daniels, Zaccharie Risacher",21.83908045977012,40
"Karl-Anthony Towns, OG Anunoby, Josh Hart, Mikal Bridges, Jalen Brunson",23.837513061650995,40
"Lauri Markkanen, Svi Mykhailiuk, Taylor Hendricks, Keyonte George, Jusuf Nurkić",-10.992116614606571,40
"Norman Powell, Bam Adebayo, Davion Mitchell, Pelle Larsson, Andrew Wiggins",30.45886075949366,40
"Brandon Ingram, RJ Barrett, Immanuel Quickley, Scottie Barnes, Collin Murray-Boyles",-23.13612313612313,40
"Moses Moody, Will Richard, Stephen Curry, Jimmy Butler III, Draymond Green",15.034199726402178,39
"Kelly Oubre Jr., Quentin Grimes, Tyrese Maxey, VJ Edgecombe, Andre Drummond",27.848101265822777,39
"Marvin Bagley III, Corey Kispert, Cam Whitmore, Kyshawn George, Tre Johnson",-27.285788923719963,39
"Nickeil Alexander-Walker, Onyeka Okongwu, Vít Krejčí, Jalen Johnson, Dyson Daniels",5.535714285714292,38
"Devin Booker, Dillon Brooks, Grayson Allen, Oso Ighodaro, Ryan Dunn",-3.94736842105263,37
"Kelly Oubre Jr., Tyrese Maxey, Trendon Watford, VJ Edgecombe, Andre Drummond",-22.41968557758031,37
"Marvin Bagley III, Corey Kispert, Cam Whitmore, Bub Carrington, Tre Johnson",-2.0003125488357654,37
"Isaiah Hartenstein, Shai Gilgeous-Alexander, Luguentz Dort, Aaron Wiggins, Cason Wallace",-3.995433789954348,36
"Wendell Carter Jr., Desmond Bane, Franz Wagner, Jalen Suggs, da Silva",-0.6381381381381459,35
"Pascal Siakam, Aaron Nesmith, Isaiah Jackson, Isaiah Jackson, Jarace Walker",35.63197366014268,35
"D'Angelo Russell, P.J. Washington, Daniel Gafford, Max Christie, Cooper Flagg",-36.77198325085651,35
"Domantas Sabonis, Keon Ellis, DeMar DeRozan, Dennis Schröder, Zach LaVine",-45.233721167585216,33
"Bam Adebayo, Dru Smith, Nikola Jović, Jaime Jaquez Jr., Simone Fontecchio",61.29528366370472,33
"Norman Powell, Davion Mitchell, Jaime Jaquez Jr., Pelle Larsson, Kel'el Ware",-4.336425978217022,33
"Miles Bridges, LaMelo Ball, Ryan Kalkbrenner, Kon Knueppel, Sion James",-19.705882352941188,33
"P.J. Washington, Daniel Gafford, Brandon Williams, Max Christie, Cooper Flagg",4.858134313125134,33
"Bam Adebayo, Davion Mitchell, Jaime Jaquez Jr., Pelle Larsson, Andrew Wiggins",38.112255623292,33
"Zion Williamson, Herbert Jones, Trey Murphy III, Yves Missi, Jeremiah Fears",25.04807692307692,32
"Deandre Ayton, Luka Dončić, Rui Hachimura, Gabe Vincent, Austin Reaves",-27.65376984126985,32
"Karl-Anthony Towns, Josh Hart, Mikal Bridges, Miles McBride, Jordan Clarkson",-17.878787878787875,32
"Karl-Anthony Towns, OG Anunoby, Mikal Bridges, Jalen Brunson, Mitchell Robinson",53.072196620583725,31
"Alex Sarr, Kyshawn George, Tre Johnson, Khris Middleton, CJ McCollum",34.39420544337139,31
"Duncan Robinson, Javonte Green, Paul Reed, Ronald Holland II, Daniss Jenkins",-1.492537313432834,31
"Kelly Oubre Jr., Tyrese Maxey, Jabari Walker, VJ Edgecombe, Joel Embiid",12.638815441565312,31
"Jaylen Brown, Anfernee Simons, Payton Pritchard, Luka Garza, Sam Hauser",-10.9375,31
"Wendell Carter Jr., Desmond Bane, Franz Wagner, Anthony Black, da Silva",25.96491228070176,31
"Jaren Jackson Jr., Santi Aldama, Vince Williams Jr., Jaylen Wells, Cedric Coward",-16.77327647476902,30
"Bobby Portis, Taurean Prince, Kyle Kuzma, Amir Coffey, Cole Anthony",-12.739201749589938,29
