Name,TeamAbbreviation,Turnovers,LiveBallTurnovers,Fouls,Charge Fouls,FoulsDrawn,OnDefRtg,Blocks,Steals,Points,FG2A,Fg2Pct,FG3A,NonHeaveFg3Pct,FtPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsUnassisted3s,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,FG3APct,ShotQualityAvg,EfgPct,TsPct,PtsPutbacks,Usage,Rebounds,DefRebounds,DefTwoPtRebounds,DefTwoPtReboundPct,DefThreePtRebounds,DefThreePtReboundPct,OffRebounds,OffTwoPtRebounds,OffTwoPtReboundPct,OffThreePtRebounds,OffThreePtReboundPct,OffFGReboundPct,DefAtRimReboundPct,OffAtRimReboundPct,Assists,AssistPoints,TwoPtAssists,ThreePtAssists,FTA,TwoPtShootingFoulsDrawn,2pt And 1 Free Throw Trips,ThreePtShootingFoulsDrawn,3pt And 1 Free Throw Trips,NonShootingFoulsDrawn,ShootingFoulsDrawnPct,AtRimFG3AFrequency,Avg2ptShotDistance,Avg3ptShotDistance,AtRimFGA,AtRimFrequency,AtRimAccuracy,AtRimPctAssisted,AtRimPctBlocked,ShortMidRangeFGA,ShortMidRangeFrequency,ShortMidRangeAccuracy,ShortMidRangePctBlocked,LongMidRangeFGA,LongMidRangeFrequency,LongMidRangeAccuracy,LongMidRangePctAssisted,Corner3FGA,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3FGA,Arc3Accuracy,NonHeaveArc3FGM,NonHeaveArc3FGA,NonHeaveArc3Accuracy,Pos
Franz Wagner,ORL,2.671415850400710,1.6918967052537800,1.730257320319430,0.089047195013357,7.034728406055210,112.64367816092000,0.618921308576481,1.5030946065428800,30.45414069456810,15.494211932324100,0.5057471264367820,6.500445235975070,0.3424657534246580,8.103294746215500,8.192341941228850,7.479964381121990,5.609973285841500,1.068566340160290,0.5227272727272730,0.5476190476190480,0.84,0.2955465587044530,0.5457939271255060,0.5080971659919030,0.5721476510067110,0.7123775601068570,25.465838509316800,4.259094942324760,6.10079575596817,3.094606542882410,0.1151315789473680,2.475685234305920,0.1365853658536590,2.404274265360640,1.068566340160290,0.0481927710843373,1.2466607301870000,0.0598290598290598,0.0538302277432712,0.1313131313131310,0.0851063829787234,5.075690115761350,12.377560106856600,2.8495102404274300,2.226179875333930,9.70614425645592,4.007123775601070,0.4452359750667850,0.0,0.0,0.9795191451469280,0.156794425087108,0.6558704453441300,5.357471264367820,25.947945205479500,7.92520035618878,0.3603238866396760,0.6629213483146070,0.559322033898305,0.0337078651685393,6.233303650935000,0.2834008097165990,0.3428571428571430,0.1714285714285710,1.335707925200360,0.0607287449392712,0.3333333333333330,0.4,0.8904719501335710,0.0404858299595141,0.4,0.4,0.75,5.609973285841500,0.3333333333333330,21,63,0.3333333333333330,SF
Devin Booker,PHX,5.102954341987470,3.670546105640110,1.882563872702820,0.0895255147717099,8.236347358997310,112.38779174147200,0.3590664272890490,1.2567324955116700,37.33213965980300,18.442256042972200,0.5533980582524270,7.520143240823640,0.3452380952380950,9.131602506714410,6.624888093106540,13.786929274843300,5.102954341987470,2.6857654431513000,0.3245614035087720,0.3363636363636360,0.6551724137931030,0.2896551724137930,0.498395,0.5431034482758620,0.612759643916914,0.7162041181736800,30.307692307692300,2.823845809054240,4.21903052064632,1.526032315978460,0.0702479338842975,2.603231597845600,0.1062271062271060,1.432408236347360,0.6266786034019700,0.0284552845528455,0.8057296329453900,0.0321428571428571,0.0304182509505703,0.0588235294117647,0.032258064516129,9.221128021486120,23.545210384959700,4.118173679498660,5.102954341987470,10.116383169203200,3.939122649955240,1.1638316920322300,0.0895255147717099,0.0,1.3428827215756500,0.139751552795031,0.4379310344827590,10.233980582524300,26.62142857142860,3.849597135183530,0.1482758620689660,0.7906976744186050,0.3823529411764710,0.0232558139534883,9.042076991942700,0.3482758620689660,0.504950495049505,0.1188118811881190,5.550581915846020,0.2137931034482760,0.4677419354838710,0.2413793103448280,0.7162041181736800,0.0275862068965517,0.375,0.375,1.0,6.803939122649960,0.3421052631578950,26,76,0.3421052631578950,SG
Tyrese Maxey,PHI,3.1746031746031700,2.0541549953314700,1.5355979525360600,0.0933706816059757,6.2558356676003700,115.21335807050100,0.927643784786642,1.6697588126159600,39.49579831932770,17.366946778711500,0.4838709677419360,11.297852474323100,0.4132231404958680,8.683473389355740,6.349206349206350,10.45751633986930,9.803921568627450,4.201680672268910,0.3777777777777780,0.3820224719101120,0.7,0.3941368078175900,0.5231758957654720,0.5374592833876220,0.5909090909090910,0.1867413632119510,30.954290296712100,2.978129362494180,5.565862708719850,2.6901669758812600,0.1137254901960780,2.87569573283859,0.1143911439114390,0.3734827264239030,0.3734827264239030,0.014760147601476,0.0,0.0,0.0078431372549019,0.1078431372549020,0.0098039215686274,9.337068160597570,22.595704948646100,5.415499533146590,3.92156862745098,9.803921568627450,3.1746031746031700,0.3734827264239030,0.1867413632119510,0.1867413632119510,1.4005602240896400,0.1068249258160240,0.6286644951140070,7.743010752688170,26.663636363636400,6.722689075630250,0.2345276872964170,0.5972222222222220,0.3953488372093020,0.1111111111111110,6.816059757236230,0.2377850162866450,0.4383561643835620,0.0547945205479452,3.828197945845010,0.1335504885993490,0.3658536585365850,0.2666666666666670,0.9337068160597570,0.0325732899022801,0.4,0.4,0.75,10.364145658263300,0.4144144144144140,46,111,0.4144144144144140,PG
Cooper Flagg,DAL,3.0927835051546400,1.8744142455482700,1.6263940520446100,0.0,4.404873477038430,114.83870967741900,1.0138248847926300,1.7511520737327200,21.836925960637300,13.120899718837900,0.5214285714285720,5.435801312089970,0.293103448275862,3.373945641986880,4.498594189315840,9.184629803186500,3.655107778819120,1.1246485473289600,0.3287671232876710,0.3333333333333330,0.7647058823529410,0.2929292929292930,0.5183451530612250,0.4974747474747470,0.5344036697247710,0.1874414245548270,20.934111759799800,4.41449814126394,7.28110599078341,3.778801843317970,0.1453900709219860,2.3963133640553,0.1106382978723400,1.499531396438610,0.4686035613870670,0.0193798449612403,0.9372071227741330,0.040650406504065,0.0297619047619047,0.1136363636363640,0.0439560439560439,4.404873477038430,11.059044048734800,2.1555763823805100,2.24929709465792,4.311152764761010,1.9681349578256800,0.5623242736644800,0.0,0.0,0.4686035613870670,0.0985915492957746,0.5808080808080810,7.4,25.27586206896550,5.342080599812560,0.2878787878787880,0.631578947368421,0.3611111111111110,0.0701754385964912,5.342080599812560,0.2878787878787880,0.5087719298245610,0.1228070175438600,2.436738519212750,0.1313131313131310,0.3076923076923080,0.375,1.218369259606370,0.0656565656565656,0.0769230769230769,0.0769230769230769,0.0,4.217432052483600,0.3555555555555560,16,45,0.3555555555555560,PG
Lauri Markkanen,UTA,1.7958412098298700,1.3232514177693800,1.3757115749525600,0.0,8.790170132325140,118.28571428571400,0.6666666666666670,1.3333333333333300,40.54820415879020,15.689981096408300,0.5662650602409640,12.759924385633300,0.3851851851851850,8.034026465028360,13.799621928166400,3.9697542533081300,13.610586011342200,1.1342155009451800,0.776595744680851,0.8488372093023260,0.9230769230769230,0.4485049833887040,0.5221353820598010,0.5714285714285710,0.6228070175438600,1.5122873345935700,28.833865814696500,4.032258064516130,5.047619047619050,2.095238095238100,0.0944206008583691,2.761904761904760,0.1070110701107010,3.0245746691871500,1.3232514177693800,0.0600858369098712,1.7013232514177700,0.0618556701030927,0.0610687022900763,0.064516129032258,0.0806451612903225,2.74102079395085,6.899810964083180,1.3232514177693800,1.4177693761814700,9.073724007561440,3.119092627599240,0.8506616257088850,0.0945179584120983,0.0945179584120983,1.606805293005670,0.1046153846153850,0.6677740863787380,6.301807228915660,25.84,6.238185255198490,0.2192691029900330,0.7575757575757580,0.76,0.0303030303030303,7.466918714555770,0.2624584717607970,0.4683544303797470,0.1392405063291140,1.9848771266540600,0.0697674418604651,0.3333333333333330,0.4285714285714290,2.457466918714560,0.0863787375415282,0.5384615384615380,0.5384615384615380,0.9285714285714290,10.302457466918700,0.3486238532110090,38,109,0.3486238532110090,PF
Shai Gilgeous-Alexander,OKC,2.4975984630163300,1.633045148895290,1.348098218584500,0.0,9.029779058597500,106.08108108108100,1.351351351351350,2.123552123552120,46.01344860710860,20.65321805955810,0.5906976744186050,8.45341018251681,0.3863636363636360,11.81556195965420,4.226705091258410,20.172910662824200,2.3054755043227700,7.492795389048990,0.1732283464566930,0.1746031746031750,0.2352941176470590,0.2904290429042900,0.5101541254125410,0.5874587458745880,0.6606145251396650,0.1921229586935640,32.820512820512800,3.514684641309580,6.467181467181470,3.088803088803090,0.1216730038022810,2.9922779922779900,0.1341991341991340,0.5763688760806920,0.4803073967339100,0.0251256281407035,0.0960614793467819,0.0037878787878787,0.0129589632829373,0.1022727272727270,0.0175438596491228,9.702209414024980,25.072046109510100,4.034582132564840,5.667627281460140,13.064361191162300,5.379442843419790,1.440922190201730,0.2881844380403460,0.0,1.0566762728146000,0.170028818443804,0.5082508250825080,9.346976744186050,25.86704545454550,6.340057636887610,0.2178217821782180,0.7575757575757580,0.24,0.0757575757575757,8.93371757925072,0.3069306930693070,0.5268817204301080,0.043010752688172,5.379442843419790,0.1848184818481850,0.5,0.1071428571428570,0.4803073967339100,0.0165016501650165,0.4,0.4,0.5,7.973102785782900,0.3855421686746990,32,83,0.3855421686746990,PG
Trey Murphy III,NOP,2.909796314258000,1.7458777885548000,1.549636803874090,0.1939864209505330,4.073714839961200,121.37330754352000,0.1934235976789170,2.0309477756286300,26.77012609117360,9.50533462657614,0.5612244897959180,10.281280310378300,0.3773584905660380,4.461687681862270,6.789524733268670,3.879728419010670,9.602327837051410,2.0368574199806000,0.6363636363636360,0.7142857142857140,0.825,0.5196078431372550,0.5454059113300490,0.5637254901960780,0.609375,1.1639185257032000,21.308724832214800,4.552058111380150,6.769825918762090,1.7408123791102500,0.1016949152542370,4.932301740812380,0.2007874015748030,2.327837051406400,1.066925315227930,0.0391459074733096,1.2609117361784700,0.0560344827586206,0.0467836257309941,0.0649350649350649,0.0508474576271186,4.267701260911740,10.184287099903000,2.6188166828322000,1.6488845780795300,4.75266731328807,1.939864209505340,0.3879728419010670,0.0,0.0,0.3879728419010670,0.0909090909090909,0.7843137254901960,5.46734693877551,26.671698113207500,5.237633365664400,0.2647058823529410,0.6851851851851850,0.6756756756756760,0.074074074074074,3.685741998060140,0.1862745098039220,0.4210526315789470,0.1052631578947370,0.5819592628516000,0.0294117647058823,0.3333333333333330,1.0,0.8729388942774010,0.0441176470588235,0.4444444444444440,0.4444444444444440,1.0,9.408341416100870,0.3711340206185570,36,97,0.3711340206185570,SF
Dyson Daniels,ATL,3.073967339097020,2.3054755043227700,1.7694882831181300,0.0960614793467819,2.4975984630163300,114.0,0.6666666666666670,3.333333333333330,12.87223823246880,10.470701248799200,0.5137614678899080,1.2487992315081700,0.2307692307692310,1.2487992315081700,5.95581171950048,4.803073967339100,0.8645533141210370,0.0,0.5535714285714290,0.6078431372549020,1.0,0.1065573770491800,0.5437262295081970,0.4959016393442620,0.5114503816793890,0.9606147934678190,13.919726729291200,4.2563366810138700,5.904761904761910,2.857142857142860,0.1229508196721310,2.6666666666666700,0.1115537848605580,2.5936599423631100,1.440922190201730,0.0609756097560975,1.1527377521613800,0.0585365853658536,0.0598669623059867,0.1458333333333330,0.0588235294117647,8.45341018251681,20.172910662824200,5.187319884726230,3.266090297790590,2.0172910662824200,1.1527377521613800,0.2881844380403460,0.0,0.0,0.0,0.0916030534351145,0.5245901639344260,4.614678899082570,25.53076923076920,4.899135446685880,0.4180327868852460,0.6078431372549020,0.5806451612903230,0.0784313725490196,5.571565802113350,0.4754098360655740,0.4310344827586210,0.0517241379310344,0.0,0.0,0.0,0.0,0.3842459173871280,0.0327868852459016,0.5,0.5,1.0,0.8645533141210370,0.1111111111111110,1,9,0.1111111111111110,SG
Desmond Bane,ORL,3.498542274052480,1.554907677356660,2.4757281553398100,0.3887269193391640,3.206997084548110,113.57904946653700,0.4849660523763340,1.066925315227930,24.68415937803690,13.216715257531600,0.5073529411764710,7.288629737609330,0.3066666666666670,4.567541302235180,6.997084548104960,6.41399416909621,4.373177842565600,2.332361516034990,0.5217391304347830,0.5538461538461540,0.6521739130434780,0.3554502369668250,0.513995971563981,0.490521327014218,0.5413043478260870,0.7774538386783290,22.59983007646560,3.203883495145630,4.849660523763340,2.812803103782740,0.1074074074074070,1.6488845780795300,0.0833333333333333,1.554907677356660,0.6802721088435370,0.0294117647058823,0.7774538386783290,0.0373831775700934,0.0331858407079646,0.0833333333333333,0.0337078651685393,6.511175898931000,15.54907677356660,3.984450923226430,2.526724975704570,4.956268221574340,1.554907677356660,0.4859086491739550,0.0,0.0,0.7774538386783290,0.072072072072072,0.6255924170616110,7.333088235294120,25.674666666666700,5.539358600583090,0.2701421800947870,0.6140350877192980,0.5714285714285710,0.1403508771929820,5.150631681243930,0.2511848341232230,0.4339622641509430,0.1509433962264150,2.526724975704570,0.1232227488151660,0.4230769230769230,0.5454545454545450,1.749271137026240,0.0853080568720379,0.3333333333333330,0.3333333333333330,1.0,5.539358600583090,0.2982456140350880,17,57,0.2982456140350880,SG
Miles Bridges,CHA,2.217936354869820,1.5429122468659600,1.2025012025012000,0.0,3.953712632594020,119.67370441458700,0.5758157389635320,0.9596928982725530,29.797492767598800,11.378977820636500,0.4830508474576270,12.246865959498600,0.3622047244094490,5.496624879459980,5.400192864030860,5.593056894889100,12.15043394406940,1.1571841851494700,0.4912280701754390,0.5185185185185190,0.9130434782608700,0.5183673469387760,0.5215383673469390,0.5142857142857140,0.5597826086956520,0.5785920925747350,25.16835016835020,4.713804713804710,7.9654510556621900,3.3589251439539300,0.1411290322580650,3.742802303262960,0.193069306930693,1.446480231436840,0.2892960462873670,0.0133928571428571,1.0607521697203500,0.04296875,0.0291666666666666,0.16,0.0108695652173913,5.303760848601740,12.92189006750240,2.9893924783028000,2.314368370298940,6.171648987463840,2.1215043394406900,0.0,0.0964320154291224,0.0,0.7714561234329800,0.085820895522388,0.746938775510204,5.859322033898310,25.444881889763800,5.400192864030860,0.2285714285714290,0.5,0.5714285714285710,0.0714285714285714,5.400192864030860,0.2285714285714290,0.4821428571428570,0.0535714285714285,0.5785920925747350,0.0244897959183673,0.3333333333333330,0.5,3.278688524590160,0.1387755102040820,0.4117647058823530,0.4117647058823530,1.0,8.96817743490839,0.3440860215053760,32,93,0.3440860215053760,PF
