Name,TeamAbbreviation,Points,Usage,EfgPct,TsPct,Assists,AssistPoints,Turnovers,FTA,FG3APct,Rebounds,DefRebounds,Blocks,Steals,AtRimFrequency,AtRimAccuracy,Avg2ptShotDistance,Avg3ptShotDistance
Lauri Markkanen,UTA,40.5482041587902,28.8338658146965,0.571428571428571,0.62280701754386,2.74102079395085,6.89981096408318,1.79584120982987,9.07372400756144,0.448504983388704,4.03225806451613,5.04761904761905,0.666666666666667,1.33333333333333,0.219269102990033,0.757575757575758,6.30180722891566,25.84
Miles Bridges,CHA,29.7974927675988,25.1683501683502,0.514285714285714,0.559782608695652,5.30376084860174,12.9218900675024,2.21793635486982,6.17164898746384,0.518367346938776,4.71380471380471,7.96545105566219,0.575815738963532,0.959692898272553,0.228571428571429,0.5,5.85932203389831,25.4448818897638
Toumani Camara,POR,16.2745098039216,16.234309623431,0.49025974025974,0.50609756097561,4.01960784313726,9.31372549019608,2.94117647058824,2.05882352941176,0.616883116883117,3.41130604288499,4.26356589147287,0.581395348837209,1.45348837209302,0.25974025974026,0.725,3.92372881355932,24.9673684210526
Evan Mobley,CLE,26.2948207171315,23.8547968885048,0.527638190954774,0.554621848739496,5.97609561752988,15.2390438247012,3.78486055776893,8.56573705179283,0.331658291457286,6.08308605341246,8.54616895874263,2.16110019646365,1.66994106090373,0.316582914572864,0.698412698412698,5.88721804511278,26.0606060606061
DeMar DeRozan,SAC,26.1431411530815,20.6896551724138,0.532828282828283,0.588636363636364,4.87077534791253,12.1272365805169,1.39165009940358,6.06361829025845,0.166666666666667,2.28061477441745,3.95647873392681,0.19782393669634,1.58259149357072,0.146464646464646,0.689655172413793,11.8478787878788,24.6030303030303
Rui Hachimura,LAL,21.2212212212212,15.5832591273375,0.655172413793103,0.666666666666667,1.7017017017017,4.1041041041041,1.6016016016016,3.003003003003,0.372413793103448,2.65531062124249,4.21263791374122,0.300902708124373,0.902708124373119,0.282758620689655,0.609756097560976,8.52307692307692,24.8833333333333
Julius Randle,MIN,35.2156057494867,27.2892112420671,0.577092511013216,0.642857142857143,8.72689938398357,21.8685831622177,3.59342915811088,9.75359342915811,0.303964757709251,5.21472392638037,8.35030549898167,0.305498981670061,1.83299389002037,0.330396475770925,0.733333333333333,6.09113924050633,25.0608695652174
Scottie Barnes,TOR,28.4816753926702,23.491773308958,0.552132701421801,0.588744588744589,7.74869109947644,17.9057591623037,2.72251308900524,5.0261780104712,0.246445497630332,5.65149136577708,8.47280334728034,2.61506276150628,2.09205020920502,0.322274881516588,0.735294117647059,6.79308176100629,25.6576923076923
Pascal Siakam,IND,34.0336134453782,29.6396396396396,0.504016064257028,0.545454545454545,6.51260504201681,16.4915966386555,3.36134453781513,11.3445378151261,0.27710843373494,4.82939632545932,7.24029380902413,0.524658971668416,1.57397691500525,0.204819277108434,0.588235294117647,8.67055555555556,26.0289855072464
Jaden McDaniels,MIN,27.2525027808676,21.1729622266402,0.626470588235294,0.658602150537634,3.67074527252503,8.78754171301446,3.00333704115684,4.22691879866518,0.282352941176471,3.54767184035477,5.52486187845304,1.98895027624309,1.54696132596685,0.317647058823529,0.740740740740741,5.87540983606557,24.5854166666667
P.J. Washington,DAL,23.1023102310231,22.5461613216715,0.5,0.541237113402062,3.52035203520352,8.47084708470847,4.18041804180418,6.71067106710671,0.347058823529412,5.73144104803494,9.75081256771398,1.62513542795233,1.40845070422535,0.235294117647059,0.6,6.6,24.6372881355932
Jake LaRavia,LAL,17.9054054054054,15.2626362735382,0.558823529411765,0.584558823529412,3.94144144144144,9.00900900900901,2.02702702702703,4.39189189189189,0.420168067226891,3.7451089994410314,5.32741398446171,0.443951165371809,2.44173140954495,0.394957983193277,0.702127659574468,4.41159420289855,25.454
Draymond Green,GSW,13.5844748858447,16.9560776302349,0.495454545454546,0.504237288135593,9.81735159817352,24.0867579908676,5.47945205479452,1.94063926940639,0.581818181818182,5.00853727945362,8.39954597048808,1.36208853575482,1.24858115777526,0.272727272727273,0.5,5.01521739130435,25.1515625
Harrison Barnes,SAS,21.1019929660023,14.7523709167545,0.718181818181818,0.743801652892562,3.51699882766706,8.2063305978898,2.2274325908558,2.81359906213365,0.672727272727273,2.40046838407494,3.85964912280702,0.467836257309942,1.75438596491228,0.181818181818182,0.8,4.43888888888889,24.7351351351351
Giannis Antetokounmpo,MIL,46.9837587006961,36.5046535677353,0.647177419354839,0.659609120521173,10.3248259860789,28.4222737819026,5.33642691415313,15.3132250580046,0.0725806451612903,8.18815331010453,10.8139534883721,1.74418604651163,1.3953488372093,0.709677419354839,0.755681818181818,4.18391304347826,26.0666666666667
Jarace Walker,IND,16.2790697674419,20.0,0.360927152317881,0.414201183431953,4.88372093023256,11.7441860465116,3.72093023255814,4.53488372093023,0.47682119205298,4.21965317919075,7.1264367816092,0.804597701149425,1.03448275862069,0.185430463576159,0.464285714285714,7.00886075949367,25.6944444444444
Paolo Banchero,ORL,31.3630880579011,27.3594909862142,0.491573033707865,0.575221238938053,5.91073582629674,14.8371531966224,3.86007237635706,13.3896260554885,0.247191011235955,6.25375826819002,11.1510791366906,1.3189448441247,1.07913669064748,0.325842696629214,0.672413793103448,7.55298507462687,26.0045454545455
Santi Aldama,MEM,22.8048780487805,20.427807486631,0.522012578616352,0.543604651162791,4.39024390243903,10.8536585365854,2.31707317073171,4.26829268292683,0.415094339622642,6.21951219512195,9.51219512195122,1.09756097560976,1.95121951219512,0.289308176100629,0.695652173913044,5.97204301075269,25.2075757575758
Matas Buzelis,CHI,24.0443896424168,20.5882352941177,0.553333333333333,0.594512195121951,1.97287299630086,4.80887792848335,3.0826140567201,4.19235511713933,0.4,4.41988950276243,6.84596577017115,1.83374083129584,1.22249388753056,0.44,0.590909090909091,3.60888888888889,24.86
